tau,regular_loss,naughty_loss
0, 0.006607, 0.060426
256, 0.003695, 0.061422
512, 0.003210, 0.057112
768, 0.002641, 0.057941
1024, 0.002419, 0.058226
1280, 0.002102, 0.059390
1536, 0.002164, 0.059179
1792, 0.002058, 0.059292
2048, 0.001960, 0.059829
2304, 0.001854, 0.060288
2560, 0.001788, 0.060314
3072, 0.001712, 0.060689
3584, 0.001454, 0.056864
4096, 0.001200, 0.051143
4608, 0.000659, 0.032337
5120, 0.000810, 0.039205
6144, 0.000404, 0.027742
7168, 0.000573, 0.050174
8192, 0.000412, 0.045151
9216, 0.000202, 0.029724
10240, 0.000531, 0.065025
12288, 0.000377, 0.056346
14336, 0.000427, 0.064942
16384, 0.000277, 0.035412
18432, 0.000246, 0.037973
20480, 0.000409, 0.064371
24576, 0.000334, 0.056503
28672, 0.000255, 0.037120
32768, 0.000203, 0.043510
36864, 0.000133, 0.029730
40960, 0.000153, 0.031169
49152, 0.000145, 0.032336
57344, 0.000097, 0.026716
65536, 0.000189, 0.041096
73728, 0.000202, 0.042864
81920, 0.000156, 0.032580
98304, 0.000102, 0.029716
114688, 0.000087, 0.027827
131072, 0.000100, 0.028901
147456, 0.000182, 0.045391
163840, 0.000202, 0.052456
196608, 0.000143, 0.038640
229376, 0.000108, 0.028060
262144, 0.000091, 0.024756
294912, 0.000143, 0.048079
327680, 0.000147, 0.059938
393216, 0.000070, 0.029006
458752, 0.000111, 0.031023
524288, 0.000129, 0.043995
589824, 0.000125, 0.053162
655360, 0.000091, 0.048642
786432, 0.000095, 0.055489
917504, 0.000098, 0.046055
1048576, 0.000061, 0.040971
1179648, 0.000062, 0.053683
1310720, 0.000035, 0.040768
1572864, 0.000000, 0.019517
1835008, 0.000000, 0.054918
2097152, 0.000000, 0.061964
2359296, 0.000000, 0.061404
2621440, 0.000000, 0.030713
3145728, 0.000000, 0.031540
3670016, 0.000000, 0.056231
4194304, 0.000000, 0.022795
4718592, 0.000000, 0.022295
5242880, 0.000000, 0.034329
6291456, 0.000000, 0.026219
7340032, 0.000000, 0.017729
8388608, 0.000000, 0.026820
9437184, 0.000000, 0.020350
10485760, 0.000000, 0.020590
12582912, 0.000000, 0.024980
14680064, 0.000000, 0.033942
16777216, 0.000000, 0.026632
18874368, 0.000000, 0.019704
20971520, 0.000000, 0.020207
25165824, 0.000000, 0.022253
29360128, 0.000000, 0.028591
33554432, 0.000000, 0.012141
37748736, 0.000000, 0.010969
41943040, 0.000000, 0.006376
50331648, 0.000000, 0.001592
58720256, 0.000000, 0.000000
67108864, 0.000000, 0.000000
75497472, 0.000000, 0.000000
83886080, 0.000000, 0.000000
100663296, 0.000000, 0.000000
117440512, 0.000000, 0.000000
134217728, 0.000000, 0.000000
150994944, 0.000000, 0.000000
