tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225228
256, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224373
512, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224793
768, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224804
1024, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224846
1280, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224987
1536, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225798
1792, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224688
2048, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226018
2304, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225315
2560, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226101
2816, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226288
3072, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225917
3328, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.227415
3584, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225547
3840, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226972
4096, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224571
4352, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226043
4608, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225162
4864, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226031
5120, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226193
5376, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225014
5632, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224673
5888, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225890
6144, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226375
6400, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225175
6656, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224270
6912, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.227028
7168, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225868
7424, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.225703
7680, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.224453
7936, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.223851
8192, 155, 0, 0.600000, 0.500000, 10, 100, 0.000000, 0.226440
