tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
25600, 155, 0, 0.600000, 0.500000, 1, 100, 1.001000, 0.000000, 29.999147
25600, 155, 0, 0.600000, 0.500000, 2, 100, 1.001000, 0.000000, 13.961681
25600, 155, 0, 0.600000, 0.500000, 3, 100, 1.001000, 0.000000, 7.517673
25600, 155, 0, 0.600000, 0.500000, 4, 100, 1.001000, 0.000000, 4.323760
25600, 155, 0, 0.600000, 0.500000, 5, 100, 1.001000, 0.000000, 2.566413
25600, 155, 0, 0.600000, 0.500000, 6, 100, 1.001000, 0.000000, 1.553251
25600, 155, 0, 0.600000, 0.500000, 7, 100, 1.001000, 0.000000, 0.953003
25600, 155, 0, 0.600000, 0.500000, 8, 100, 1.001000, 0.000000, 0.586443
25600, 155, 0, 0.600000, 0.500000, 9, 100, 1.001000, 0.000000, 0.364246
25600, 155, 0, 0.600000, 0.500000, 10, 100, 1.001000, 0.000000, 0.223441
25600, 155, 0, 0.600000, 0.500000, 11, 100, 1.001000, 0.000000, 0.138924
25600, 155, 0, 0.600000, 0.500000, 12, 100, 1.001000, 0.000000, 0.086780
25600, 155, 0, 0.600000, 0.500000, 13, 100, 1.001000, 0.000000, 0.054206
25600, 155, 0, 0.600000, 0.500000, 14, 100, 1.001000, 0.000000, 0.033711
25600, 155, 0, 0.600000, 0.500000, 15, 100, 1.001000, 0.000000, 0.021311
25600, 155, 0, 0.600000, 0.500000, 16, 100, 1.001000, 0.000000, 0.013012
25600, 155, 0, 0.600000, 0.500000, 17, 100, 1.001000, 0.000000, 0.008313
25600, 155, 0, 0.600000, 0.500000, 18, 100, 1.001000, 0.000000, 0.005090
25600, 155, 0, 0.600000, 0.500000, 19, 100, 1.001000, 0.000000, 0.003227
25600, 155, 0, 0.600000, 0.500000, 20, 100, 1.001000, 0.000000, 0.002055
25600, 155, 0, 0.600000, 0.500000, 21, 100, 1.001000, 0.000000, 0.001172
25600, 155, 0, 0.600000, 0.500000, 22, 100, 1.001000, 0.000000, 0.000815
25600, 155, 0, 0.600000, 0.500000, 23, 100, 1.001000, 0.000000, 0.000395
25600, 155, 0, 0.600000, 0.500000, 24, 100, 1.001000, 0.000000, 0.000331
25600, 155, 0, 0.600000, 0.500000, 25, 100, 1.001000, 0.000000, 0.000173
25600, 155, 0, 0.600000, 0.500000, 26, 100, 1.001000, 0.000000, 0.000116
25600, 155, 0, 0.600000, 0.500000, 27, 100, 1.001000, 0.000000, 0.000078
25600, 155, 0, 0.600000, 0.500000, 28, 100, 1.001000, 0.000000, 0.000042
25600, 155, 0, 0.600000, 0.500000, 29, 100, 1.001000, 0.000000, 0.000041
25600, 155, 0, 0.600000, 0.500000, 30, 100, 1.001000, 0.000000, 0.000012
25600, 155, 0, 0.600000, 0.500000, 31, 100, 1.001000, 0.000000, 0.000008
25600, 155, 0, 0.600000, 0.500000, 32, 100, 1.001000, 0.000000, 0.000020
25600, 155, 0, 0.600000, 0.500000, 33, 100, 1.001000, 0.000000, 0.000002
25600, 155, 0, 0.600000, 0.500000, 34, 100, 1.001000, 0.000000, 0.000007
25600, 155, 0, 0.600000, 0.500000, 35, 100, 1.001000, 0.000000, 0.000002
25600, 155, 0, 0.600000, 0.500000, 36, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 37, 100, 1.001000, 0.000000, 0.000003
25600, 155, 0, 0.600000, 0.500000, 38, 100, 1.001000, 0.000000, 0.000001
25600, 155, 0, 0.600000, 0.500000, 39, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 40, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 41, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 42, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 43, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 44, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 45, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 46, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 47, 100, 1.001000, 0.000002, 0.000002
25600, 155, 0, 0.600000, 0.500000, 48, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 49, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 50, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 51, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 52, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 53, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 54, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 55, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 56, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 57, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 58, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 59, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 60, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 61, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 62, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 63, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 64, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 65, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 66, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 67, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 68, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 69, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 70, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 71, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 72, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 73, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 74, 100, 1.001000, 0.000000, 0.000000
25600, 155, 0, 0.600000, 0.500000, 75, 100, 1.001000, 0.000000, 0.000000
