tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
25600, 155, 0, 0.600000, 0.500000, 5, 100, 1.000000, 0.000000, 2.568242
25600, 155, 0, 0.700000, 0.500000, 5, 100, 1.000000, 0.000000, 5.627113
25600, 155, 0, 0.800000, 0.500000, 5, 100, 1.000000, 0.000000, 11.381747
25600, 155, 0, 0.900000, 0.500000, 5, 100, 1.000000, 0.000000, 22.754227
25600, 155, 0, 0.600000, 0.500000, 6, 100, 1.000000, 0.000000, 1.556484
25600, 155, 0, 0.700000, 0.500000, 6, 100, 1.000000, 0.000000, 3.918773
25600, 155, 0, 0.800000, 0.500000, 6, 100, 1.000000, 0.000000, 8.878533
25600, 155, 0, 0.900000, 0.500000, 6, 100, 1.000000, 0.000000, 19.731214
25600, 155, 0, 0.600000, 0.500000, 7, 100, 1.000000, 0.000000, 0.949851
25600, 155, 0, 0.700000, 0.500000, 7, 100, 1.000000, 0.000000, 2.769755
25600, 155, 0, 0.800000, 0.500000, 7, 100, 1.000000, 0.000000, 7.012430
25600, 155, 0, 0.900000, 0.500000, 7, 100, 1.000000, 0.000000, 17.244793
25600, 155, 0, 0.600000, 0.500000, 8, 100, 1.000000, 0.000000, 0.584990
25600, 155, 0, 0.700000, 0.500000, 8, 100, 1.000000, 0.000000, 1.974452
25600, 155, 0, 0.800000, 0.500000, 8, 100, 1.000000, 0.000000, 5.594603
25600, 155, 0, 0.900000, 0.500000, 8, 100, 1.000000, 0.000000, 15.148462
25600, 155, 0, 0.600000, 0.500000, 9, 100, 1.000000, 0.000000, 0.362982
25600, 155, 0, 0.700000, 0.500000, 9, 100, 1.000000, 0.000000, 1.414674
25600, 155, 0, 0.800000, 0.500000, 9, 100, 1.000000, 0.000000, 4.483220
25600, 155, 0, 0.900000, 0.500000, 9, 100, 1.000000, 0.000000, 13.382623
25600, 155, 0, 0.600000, 0.500000, 10, 100, 1.000000, 0.000000, 0.226839
25600, 155, 0, 0.700000, 0.500000, 10, 100, 1.000000, 0.000000, 1.016294
25600, 155, 0, 0.800000, 0.500000, 10, 100, 1.000000, 0.000000, 3.628245
25600, 155, 0, 0.900000, 0.500000, 10, 100, 1.000000, 0.000006, 11.868234
25600, 155, 0, 0.600000, 0.500000, 11, 100, 1.000000, 0.000000, 0.141006
25600, 155, 0, 0.700000, 0.500000, 11, 100, 1.000000, 0.000000, 0.738117
25600, 155, 0, 0.800000, 0.500000, 11, 100, 1.000000, 0.000015, 2.945846
25600, 155, 0, 0.900000, 0.500000, 11, 100, 1.000000, 0.000006, 10.576956
25600, 155, 0, 0.600000, 0.500000, 12, 100, 1.000000, 0.000000, 0.087638
25600, 155, 0, 0.700000, 0.500000, 12, 100, 1.000000, 0.000000, 0.534994
25600, 155, 0, 0.800000, 0.500000, 12, 100, 1.000000, 0.000080, 2.398999
25600, 155, 0, 0.900000, 0.500000, 12, 100, 1.000000, 0.000085, 9.449336
25600, 155, 0, 0.600000, 0.500000, 13, 100, 1.000000, 0.000000, 0.055471
25600, 155, 0, 0.700000, 0.500000, 13, 100, 1.000000, 0.000002, 0.388684
25600, 155, 0, 0.800000, 0.500000, 13, 100, 1.000000, 0.000021, 1.943639
25600, 155, 0, 0.900000, 0.500000, 13, 100, 1.000000, 0.000031, 8.452255
25600, 155, 0, 0.600000, 0.500000, 14, 100, 1.000000, 0.000000, 0.033633
25600, 155, 0, 0.700000, 0.500000, 14, 100, 1.000000, 0.000000, 0.282826
25600, 155, 0, 0.800000, 0.500000, 14, 100, 1.000000, 0.000036, 1.599526
25600, 155, 0, 0.900000, 0.500000, 14, 100, 1.000000, 0.000144, 7.584605
25600, 155, 0, 0.600000, 0.500000, 15, 100, 1.000000, 0.000000, 0.020754
25600, 155, 0, 0.700000, 0.500000, 15, 100, 1.000000, 0.000002, 0.205048
25600, 155, 0, 0.800000, 0.500000, 15, 100, 1.000000, 0.000177, 1.308778
25600, 155, 0, 0.900000, 0.500000, 15, 100, 1.000000, 0.000253, 6.819965
25600, 155, 0, 0.600000, 0.500000, 16, 100, 1.000000, 0.000002, 0.013205
25600, 155, 0, 0.700000, 0.500000, 16, 100, 1.000000, 0.000000, 0.148611
25600, 155, 0, 0.800000, 0.500000, 16, 100, 1.000000, 0.000067, 1.071001
25600, 155, 0, 0.900000, 0.500000, 16, 100, 1.000000, 0.000355, 6.152950
25600, 155, 0, 0.600000, 0.500000, 17, 100, 1.000000, 0.000000, 0.007916
25600, 155, 0, 0.700000, 0.500000, 17, 100, 1.000000, 0.000044, 0.107445
25600, 155, 0, 0.800000, 0.500000, 17, 100, 1.000000, 0.000208, 0.884393
25600, 155, 0, 0.900000, 0.500000, 17, 100, 1.000000, 0.000643, 5.550990
25600, 155, 0, 0.600000, 0.500000, 18, 100, 1.000000, 0.000000, 0.005243
25600, 155, 0, 0.700000, 0.500000, 18, 100, 1.000000, 0.000000, 0.078106
25600, 155, 0, 0.800000, 0.500000, 18, 100, 1.000000, 0.000257, 0.726199
25600, 155, 0, 0.900000, 0.500000, 18, 100, 1.000000, 0.001152, 5.009481
25600, 155, 0, 0.600000, 0.500000, 19, 100, 1.000000, 0.000000, 0.003263
25600, 155, 0, 0.700000, 0.500000, 19, 100, 1.000000, 0.000010, 0.057612
25600, 155, 0, 0.800000, 0.500000, 19, 100, 1.000000, 0.000213, 0.598293
25600, 155, 0, 0.900000, 0.500000, 19, 100, 1.000000, 0.001427, 4.549303
25600, 155, 0, 0.600000, 0.500000, 20, 100, 1.000000, 0.000000, 0.001946
25600, 155, 0, 0.700000, 0.500000, 20, 100, 1.000000, 0.000002, 0.042100
25600, 155, 0, 0.800000, 0.500000, 20, 100, 1.000000, 0.000169, 0.491781
25600, 155, 0, 0.900000, 0.500000, 20, 100, 1.000000, 0.001673, 4.115774
25600, 155, 0, 0.600000, 0.500000, 21, 100, 1.000000, 0.000000, 0.001222
25600, 155, 0, 0.700000, 0.500000, 21, 100, 1.000000, 0.000000, 0.030533
25600, 155, 0, 0.800000, 0.500000, 21, 100, 1.000000, 0.000341, 0.409568
25600, 155, 0, 0.900000, 0.500000, 21, 100, 1.000000, 0.002682, 3.745423
25600, 155, 0, 0.600000, 0.500000, 22, 100, 1.000000, 0.000000, 0.000796
25600, 155, 0, 0.700000, 0.500000, 22, 100, 1.000000, 0.000000, 0.022744
25600, 155, 0, 0.800000, 0.500000, 22, 100, 1.000000, 0.000217, 0.335249
25600, 155, 0, 0.900000, 0.500000, 22, 100, 1.000000, 0.003305, 3.403410
25600, 155, 0, 0.600000, 0.500000, 23, 100, 1.000000, 0.000000, 0.000496
25600, 155, 0, 0.700000, 0.500000, 23, 100, 1.000000, 0.000002, 0.016940
25600, 155, 0, 0.800000, 0.500000, 23, 100, 1.000000, 0.000371, 0.276723
25600, 155, 0, 0.900000, 0.500000, 23, 100, 1.000000, 0.004031, 3.101220
25600, 155, 0, 0.600000, 0.500000, 24, 100, 1.000000, 0.000000, 0.000266
25600, 155, 0, 0.700000, 0.500000, 24, 100, 1.000000, 0.000015, 0.011572
25600, 155, 0, 0.800000, 0.500000, 24, 100, 1.000000, 0.000330, 0.228321
25600, 155, 0, 0.900000, 0.500000, 24, 100, 1.000000, 0.004632, 2.816957
25600, 155, 0, 0.600000, 0.500000, 25, 100, 1.000000, 0.000000, 0.000147
25600, 155, 0, 0.700000, 0.500000, 25, 100, 1.000000, 0.000021, 0.008431
25600, 155, 0, 0.800000, 0.500000, 25, 100, 1.000000, 0.000409, 0.188675
25600, 155, 0, 0.900000, 0.500000, 25, 100, 1.000000, 0.005715, 2.555737
25600, 155, 0, 0.600000, 0.500000, 26, 100, 1.000000, 0.000000, 0.000106
25600, 155, 0, 0.700000, 0.500000, 26, 100, 1.000000, 0.000000, 0.006206
25600, 155, 0, 0.800000, 0.500000, 26, 100, 1.000000, 0.000386, 0.155919
25600, 155, 0, 0.900000, 0.500000, 26, 100, 1.000000, 0.006432, 2.338821
25600, 155, 0, 0.600000, 0.500000, 27, 100, 1.000000, 0.000000, 0.000072
25600, 155, 0, 0.700000, 0.500000, 27, 100, 1.000000, 0.000010, 0.004647
25600, 155, 0, 0.800000, 0.500000, 27, 100, 1.000000, 0.000357, 0.129983
25600, 155, 0, 0.900000, 0.500000, 27, 100, 1.000000, 0.007908, 2.125841
25600, 155, 0, 0.600000, 0.500000, 28, 100, 1.000000, 0.000000, 0.000046
25600, 155, 0, 0.700000, 0.500000, 28, 100, 1.000000, 0.000000, 0.003329
25600, 155, 0, 0.800000, 0.500000, 28, 100, 1.000000, 0.000546, 0.106923
25600, 155, 0, 0.900000, 0.500000, 28, 100, 1.000000, 0.007915, 1.946040
25600, 155, 0, 0.600000, 0.500000, 29, 100, 1.000000, 0.000000, 0.000050
25600, 155, 0, 0.700000, 0.500000, 29, 100, 1.000000, 0.000001, 0.002346
25600, 155, 0, 0.800000, 0.500000, 29, 100, 1.000000, 0.000456, 0.087323
25600, 155, 0, 0.900000, 0.500000, 29, 100, 1.000000, 0.008623, 1.774083
25600, 155, 0, 0.600000, 0.500000, 30, 100, 1.000000, 0.000000, 0.000013
25600, 155, 0, 0.700000, 0.500000, 30, 100, 1.000000, 0.000035, 0.001662
25600, 155, 0, 0.800000, 0.500000, 30, 100, 1.000000, 0.000372, 0.071989
25600, 155, 0, 0.900000, 0.500000, 30, 100, 1.000000, 0.008248, 1.617020
25600, 155, 0, 0.600000, 0.500000, 31, 100, 1.000000, 0.000000, 0.000013
25600, 155, 0, 0.700000, 0.500000, 31, 100, 1.000000, 0.000020, 0.001259
25600, 155, 0, 0.800000, 0.500000, 31, 100, 1.000000, 0.000652, 0.059544
25600, 155, 0, 0.900000, 0.500000, 31, 100, 1.000000, 0.011466, 1.482352
25600, 155, 0, 0.600000, 0.500000, 32, 100, 1.000000, 0.000000, 0.000002
25600, 155, 0, 0.700000, 0.500000, 32, 100, 1.000000, 0.000000, 0.000893
25600, 155, 0, 0.800000, 0.500000, 32, 100, 1.000000, 0.000552, 0.050161
