tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 155, 50, 0.968750, 1, 100, 2.052920
0, 155, 50, 0.978750, 1, 100, 2.153771
0, 155, 50, 0.988750, 1, 100, 2.285094
0, 155, 50, 0.998750, 1, 100, 2.617997
32, 155, 50, 0.968750, 1, 100, 2.055799
32, 155, 50, 0.978750, 1, 100, 2.160203
32, 155, 50, 0.988750, 1, 100, 2.284256
32, 155, 50, 0.998750, 1, 100, 2.551463
64, 155, 50, 0.968750, 1, 100, 2.065438
64, 155, 50, 0.978750, 1, 100, 2.146946
64, 155, 50, 0.988750, 1, 100, 2.298382
64, 155, 50, 0.998750, 1, 100, 2.572471
96, 155, 50, 0.968750, 1, 100, 2.068991
96, 155, 50, 0.978750, 1, 100, 2.154520
96, 155, 50, 0.988750, 1, 100, 2.308979
96, 155, 50, 0.998750, 1, 100, 2.522125
128, 155, 50, 0.968750, 1, 100, 2.060744
128, 155, 50, 0.978750, 1, 100, 2.140169
128, 155, 50, 0.988750, 1, 100, 2.271882
128, 155, 50, 0.998750, 1, 100, 2.606525
160, 155, 50, 0.968750, 1, 100, 2.037201
160, 155, 50, 0.978750, 1, 100, 2.116876
160, 155, 50, 0.988750, 1, 100, 2.255101
160, 155, 50, 0.998750, 1, 100, 2.554661
192, 155, 50, 0.968750, 1, 100, 2.011901
192, 155, 50, 0.978750, 1, 100, 2.098014
192, 155, 50, 0.988750, 1, 100, 2.233606
192, 155, 50, 0.998750, 1, 100, 2.529835
224, 155, 50, 0.968750, 1, 100, 2.025145
224, 155, 50, 0.978750, 1, 100, 2.097020
224, 155, 50, 0.988750, 1, 100, 2.236942
224, 155, 50, 0.998750, 1, 100, 2.618446
256, 155, 50, 0.968750, 1, 100, 2.039781
256, 155, 50, 0.978750, 1, 100, 2.101715
256, 155, 50, 0.988750, 1, 100, 2.227953
256, 155, 50, 0.998750, 1, 100, 2.638975
288, 155, 50, 0.968750, 1, 100, 2.016694
288, 155, 50, 0.978750, 1, 100, 2.083011
288, 155, 50, 0.988750, 1, 100, 2.196437
288, 155, 50, 0.998750, 1, 100, 2.532736
320, 155, 50, 0.968750, 1, 100, 2.007037
320, 155, 50, 0.978750, 1, 100, 2.083711
320, 155, 50, 0.988750, 1, 100, 2.232513
320, 155, 50, 0.998750, 1, 100, 2.590219
352, 155, 50, 0.968750, 1, 100, 2.007276
352, 155, 50, 0.978750, 1, 100, 2.073860
352, 155, 50, 0.988750, 1, 100, 2.209128
352, 155, 50, 0.998750, 1, 100, 2.598139
384, 155, 50, 0.968750, 1, 100, 2.017598
384, 155, 50, 0.978750, 1, 100, 2.093689
384, 155, 50, 0.988750, 1, 100, 2.225838
384, 155, 50, 0.998750, 1, 100, 2.537430
416, 155, 50, 0.968750, 1, 100, 2.008764
416, 155, 50, 0.978750, 1, 100, 2.088230
416, 155, 50, 0.988750, 1, 100, 2.189044
416, 155, 50, 0.998750, 1, 100, 2.488092
448, 155, 50, 0.968750, 1, 100, 2.015127
448, 155, 50, 0.978750, 1, 100, 2.088160
448, 155, 50, 0.988750, 1, 100, 2.212863
448, 155, 50, 0.998750, 1, 100, 2.607325
480, 155, 50, 0.968750, 1, 100, 2.006197
480, 155, 50, 0.978750, 1, 100, 2.078054
480, 155, 50, 0.988750, 1, 100, 2.200108
480, 155, 50, 0.998750, 1, 100, 2.480145
512, 155, 50, 0.968750, 1, 100, 2.016686
512, 155, 50, 0.978750, 1, 100, 2.082345
512, 155, 50, 0.988750, 1, 100, 2.218159
512, 155, 50, 0.998750, 1, 100, 2.530670
544, 155, 50, 0.968750, 1, 100, 2.001169
544, 155, 50, 0.978750, 1, 100, 2.082428
544, 155, 50, 0.988750, 1, 100, 2.204936
544, 155, 50, 0.998750, 1, 100, 2.505055
576, 155, 50, 0.968750, 1, 100, 2.006992
576, 155, 50, 0.978750, 1, 100, 2.068659
576, 155, 50, 0.988750, 1, 100, 2.223412
576, 155, 50, 0.998750, 1, 100, 2.582288
608, 155, 50, 0.968750, 1, 100, 2.001780
608, 155, 50, 0.978750, 1, 100, 2.070662
608, 155, 50, 0.988750, 1, 100, 2.220049
608, 155, 50, 0.998750, 1, 100, 2.548780
640, 155, 50, 0.968750, 1, 100, 2.021016
640, 155, 50, 0.978750, 1, 100, 2.081057
640, 155, 50, 0.988750, 1, 100, 2.223302
640, 155, 50, 0.998750, 1, 100, 2.526692
672, 155, 50, 0.968750, 1, 100, 2.001223
672, 155, 50, 0.978750, 1, 100, 2.083198
672, 155, 50, 0.988750, 1, 100, 2.234565
672, 155, 50, 0.998750, 1, 100, 2.553212
704, 155, 50, 0.968750, 1, 100, 1.998791
704, 155, 50, 0.978750, 1, 100, 2.079318
704, 155, 50, 0.988750, 1, 100, 2.228416
704, 155, 50, 0.998750, 1, 100, 2.502934
736, 155, 50, 0.968750, 1, 100, 2.010463
736, 155, 50, 0.978750, 1, 100, 2.094165
736, 155, 50, 0.988750, 1, 100, 2.191834
736, 155, 50, 0.998750, 1, 100, 2.520361
768, 155, 50, 0.968750, 1, 100, 2.013146
768, 155, 50, 0.978750, 1, 100, 2.092845
768, 155, 50, 0.988750, 1, 100, 2.206340
768, 155, 50, 0.998750, 1, 100, 2.606676
800, 155, 50, 0.968750, 1, 100, 2.005203
800, 155, 50, 0.978750, 1, 100, 2.066645
800, 155, 50, 0.988750, 1, 100, 2.197718
800, 155, 50, 0.998750, 1, 100, 2.521639
832, 155, 50, 0.968750, 1, 100, 2.000517
832, 155, 50, 0.978750, 1, 100, 2.076485
832, 155, 50, 0.988750, 1, 100, 2.220776
832, 155, 50, 0.998750, 1, 100, 2.498280
864, 155, 50, 0.968750, 1, 100, 1.998616
864, 155, 50, 0.978750, 1, 100, 2.066239
864, 155, 50, 0.988750, 1, 100, 2.207728
864, 155, 50, 0.998750, 1, 100, 2.583882
896, 155, 50, 0.968750, 1, 100, 2.008908
896, 155, 50, 0.978750, 1, 100, 2.088566
896, 155, 50, 0.988750, 1, 100, 2.209172
896, 155, 50, 0.998750, 1, 100, 2.535452
928, 155, 50, 0.968750, 1, 100, 2.021537
928, 155, 50, 0.978750, 1, 100, 2.080420
928, 155, 50, 0.988750, 1, 100, 2.225831
928, 155, 50, 0.998750, 1, 100, 2.624352
960, 155, 50, 0.968750, 1, 100, 2.006056
960, 155, 50, 0.978750, 1, 100, 2.085352
960, 155, 50, 0.988750, 1, 100, 2.217203
960, 155, 50, 0.998750, 1, 100, 2.488689
992, 155, 50, 0.968750, 1, 100, 1.993514
992, 155, 50, 0.978750, 1, 100, 2.063861
992, 155, 50, 0.988750, 1, 100, 2.184487
992, 155, 50, 0.998750, 1, 100, 2.526363
1024, 155, 50, 0.968750, 1, 100, 1.993280
1024, 155, 50, 0.978750, 1, 100, 2.056651
1024, 155, 50, 0.988750, 1, 100, 2.204497
1024, 155, 50, 0.998750, 1, 100, 2.514954
1056, 155, 50, 0.968750, 1, 100, 1.980781
1056, 155, 50, 0.978750, 1, 100, 2.076034
1056, 155, 50, 0.988750, 1, 100, 2.225572
1056, 155, 50, 0.998750, 1, 100, 2.550395
1088, 155, 50, 0.968750, 1, 100, 2.001352
1088, 155, 50, 0.978750, 1, 100, 2.060388
1088, 155, 50, 0.988750, 1, 100, 2.224658
