tau,regular_loss,naughty_loss
0, 1.100150, 0.952770
0, 1.153700, 1.000071
0, 1.221563, 1.063531
0, 1.397752, 1.220245
32, 1.103091, 0.952708
32, 1.156961, 1.003242
32, 1.225542, 1.058714
32, 1.371101, 1.180361
64, 1.106154, 0.959284
64, 1.151954, 0.994992
64, 1.229422, 1.068960
64, 1.371249, 1.201222
96, 1.107267, 0.961724
96, 1.153450, 1.001070
96, 1.234561, 1.074418
96, 1.353494, 1.168631
128, 1.103486, 0.957258
128, 1.147581, 0.992589
128, 1.217138, 1.054744
128, 1.399128, 1.207397
160, 1.079629, 0.957572
160, 1.121107, 0.995769
160, 1.190628, 1.064472
160, 1.346286, 1.208375
192, 1.064612, 0.947289
192, 1.112806, 0.985208
192, 1.185052, 1.048554
192, 1.330284, 1.199551
224, 1.073138, 0.952006
224, 1.109826, 0.987193
224, 1.183582, 1.053360
224, 1.386742, 1.231703
256, 1.081096, 0.958685
256, 1.111445, 0.990270
256, 1.179985, 1.047968
256, 1.401106, 1.237869
288, 1.060964, 0.955731
288, 1.095443, 0.987567
288, 1.155025, 1.041411
288, 1.326785, 1.205951
320, 1.057331, 0.949706
320, 1.098184, 0.985526
320, 1.176832, 1.055681
320, 1.362962, 1.227257
352, 1.058344, 0.948933
352, 1.091888, 0.981972
352, 1.163599, 1.045529
352, 1.369047, 1.229093
384, 1.062126, 0.955473
384, 1.103882, 0.989807
384, 1.172981, 1.052858
384, 1.335389, 1.202041
416, 1.055349, 0.953415
416, 1.098314, 0.989916
416, 1.151740, 1.037305
416, 1.308340, 1.179751
448, 1.058006, 0.957120
448, 1.098223, 0.989938
448, 1.166607, 1.046255
448, 1.374117, 1.233208
480, 1.054775, 0.951421
480, 1.092766, 0.985288
480, 1.158774, 1.041334
480, 1.304000, 1.176145
512, 1.058606, 0.958080
512, 1.097421, 0.984924
512, 1.168856, 1.049303
512, 1.334848, 1.195822
544, 1.046265, 0.954904
544, 1.094502, 0.987925
544, 1.159820, 1.045115
544, 1.320454, 1.184602
576, 1.046701, 0.960291
576, 1.084786, 0.983873
576, 1.169923, 1.053489
576, 1.352727, 1.229561
608, 1.045010, 0.956769
608, 1.086864, 0.983798
608, 1.167965, 1.052084
608, 1.340595, 1.208185
640, 1.056941, 0.964075
640, 1.092481, 0.988576
640, 1.169558, 1.053744
640, 1.330848, 1.195844
672, 1.038037, 0.963187
672, 1.090041, 0.993157
672, 1.175891, 1.058674
672, 1.338448, 1.214764
704, 1.035140, 0.963651
704, 1.085932, 0.993387
704, 1.171115, 1.057301
704, 1.316133, 1.186801
736, 1.040604, 0.969860
736, 1.094281, 0.999884
736, 1.151265, 1.040569
736, 1.322779, 1.197582
768, 1.042200, 0.970946
768, 1.092616, 1.000229
768, 1.159928, 1.046412
768, 1.371634, 1.235043
800, 1.027068, 0.978135
800, 1.078453, 0.988192
800, 1.153041, 1.044677
800, 1.326927, 1.194712
832, 1.020802, 0.979715
832, 1.078776, 0.997708
832, 1.162002, 1.058773
832, 1.313435, 1.184846
864, 1.018431, 0.980184
864, 1.071489, 0.994750
864, 1.158834, 1.048894
864, 1.355139, 1.228742
896, 1.024023, 0.984885
896, 1.084682, 1.003884
896, 1.158430, 1.050742
896, 1.330139, 1.205313
928, 1.022476, 0.999061
928, 1.076930, 1.003490
928, 1.165649, 1.060182
928, 1.377792, 1.246560
960, 1.010691, 0.995366
960, 1.077814, 1.007538
960, 1.159230, 1.057973
960, 1.311491, 1.177199
