tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.676755, 1.651180, 1.676923, 2.142284
2048, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.187147, 2.062412, 1.187375, 2.554705
4096, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.817055, 2.358085, 0.817208, 2.847924
6144, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.606409, 2.491828, 0.606579, 2.982615
8192, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.488150, 2.597180, 0.488354, 3.087257
10240, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.412384, 2.679594, 0.412587, 3.162976
12288, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.348992, 2.707984, 0.349151, 3.193586
14336, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.306829, 2.735081, 0.306993, 3.223791
16384, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.277263, 2.773374, 0.277453, 3.261591
18432, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.248201, 2.781617, 0.248450, 3.267972
20480, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.229216, 2.831063, 0.229451, 3.316715
22528, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.210497, 2.827155, 0.210704, 3.308373
24576, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.196069, 2.838674, 0.196245, 3.324601
26624, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.182253, 2.868746, 0.182531, 3.357514
28672, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.169552, 2.855946, 0.169709, 3.341596
30720, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.159902, 2.855096, 0.160084, 3.340043
32768, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.148035, 2.843569, 0.148222, 3.328776
34816, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.148849, 2.903478, 0.149092, 3.389578
36864, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.137270, 2.874425, 0.137470, 3.358872
38912, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.130149, 2.878535, 0.130320, 3.361525
40960, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.128727, 2.896091, 0.128880, 3.380221
43008, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.120745, 2.902782, 0.120875, 3.388971
45056, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.114858, 2.885972, 0.115089, 3.371977
47104, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.112626, 2.911199, 0.112837, 3.402063
49152, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.109181, 2.910013, 0.109389, 3.398368
51200, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 0.105534, 2.909954, 0.105729, 3.396470
0, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.496214, 1.443573, 1.505172, 2.600802
2048, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.218282, 1.673275, 1.226794, 2.828206
4096, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.927873, 1.894838, 0.936473, 3.054394
6144, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.733205, 2.041716, 0.741478, 3.196190
8192, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.597492, 2.131040, 0.606002, 3.282542
10240, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.513644, 2.230295, 0.522302, 3.386029
12288, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.435650, 2.246780, 0.444479, 3.394502
14336, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.388229, 2.300619, 0.396366, 3.451925
16384, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.348974, 2.348613, 0.357576, 3.500588
18432, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.314097, 2.363163, 0.322233, 3.515085
20480, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.287315, 2.386833, 0.295304, 3.543933
22528, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.262302, 2.375899, 0.270685, 3.522606
24576, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.247162, 2.426868, 0.255551, 3.574242
26624, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.231004, 2.432657, 0.238821, 3.582606
28672, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.213986, 2.431805, 0.222524, 3.583070
30720, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.201321, 2.447821, 0.209290, 3.588248
32768, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.193910, 2.469145, 0.202364, 3.620761
34816, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.182187, 2.472376, 0.190610, 3.619957
36864, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.173519, 2.457327, 0.182134, 3.605627
38912, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.163228, 2.479354, 0.171768, 3.642032
40960, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.157540, 2.478386, 0.166170, 3.623847
43008, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.152155, 2.500153, 0.160802, 3.646214
45056, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.145467, 2.494917, 0.153703, 3.638264
47104, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.142213, 2.509636, 0.150677, 3.660526
49152, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.138493, 2.523205, 0.146820, 3.672847
51200, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 0.132479, 2.527361, 0.141594, 3.677584
0, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.174047, 1.118130, 1.358371, 3.725276
2048, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.090633, 1.205611, 1.276187, 3.797964
4096, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.934586, 1.329566, 1.120931, 3.921444
6144, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.788630, 1.426889, 0.973319, 4.029222
8192, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.681595, 1.516526, 0.871010, 4.119529
10240, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.603572, 1.616379, 0.788247, 4.214156
12288, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.516267, 1.624834, 0.703305, 4.225108
14336, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.464404, 1.695755, 0.649469, 4.281569
16384, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.420081, 1.731722, 0.606581, 4.326150
18432, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.380173, 1.759903, 0.569315, 4.352469
20480, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 0.348164, 1.784355, 0.537082, 4.376299
