tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 0.648111, 0.626449, 0.872638, 3.180833
2048, 0.472148, 0.751986, 0.696480, 3.291834
4096, 0.335967, 0.874138, 0.559793, 3.412138
6144, 0.251589, 0.931777, 0.477697, 3.468480
8192, 0.200448, 0.972003, 0.426538, 3.514126
10240, 0.169275, 1.002498, 0.398013, 3.535257
12288, 0.143545, 1.027335, 0.369344, 3.561306
14336, 0.122101, 1.019836, 0.347075, 3.546984
16384, 0.109726, 1.038482, 0.335198, 3.572294
18432, 0.098737, 1.058121, 0.325881, 3.596182
20480, 0.089963, 1.066093, 0.314025, 3.597556
22528, 0.082130, 1.069221, 0.306967, 3.607884
24576, 0.075427, 1.076731, 0.302926, 3.615572
26624, 0.069320, 1.073450, 0.297608, 3.603737
28672, 0.064893, 1.084177, 0.290769, 3.620245
30720, 0.059961, 1.071627, 0.284554, 3.601807
32768, 0.058012, 1.094437, 0.281934, 3.625903
34816, 0.052626, 1.079264, 0.276876, 3.615113
36864, 0.050554, 1.085490, 0.277663, 3.615367
38912, 0.048138, 1.100375, 0.276303, 3.636133
40960, 0.045848, 1.096166, 0.271184, 3.632148
43008, 0.042764, 1.095669, 0.268548, 3.624844
45056, 0.043038, 1.111626, 0.271028, 3.657380
47104, 0.040860, 1.105555, 0.266815, 3.628466
49152, 0.039624, 1.116155, 0.265467, 3.649873
51200, 0.036953, 1.099057, 0.262963, 3.630033
0, 0.200812, 0.189168, 1.216084, 4.579430
2048, 0.176784, 0.218579, 1.194148, 4.616875
4096, 0.136073, 0.248679, 1.156411, 4.643901
6144, 0.104736, 0.272173, 1.119855, 4.658985
8192, 0.082436, 0.285813, 1.103860, 4.687444
10240, 0.069656, 0.302784, 1.094183, 4.681275
12288, 0.059126, 0.312870, 1.080981, 4.688573
14336, 0.047943, 0.307159, 1.068741, 4.696099
16384, 0.043831, 0.323355, 1.062372, 4.711864
18432, 0.038244, 0.325859, 1.063643, 4.703653
20480, 0.033403, 0.324579, 1.048656, 4.712752
22528, 0.032163, 0.339346, 1.050091, 4.719205
24576, 0.028965, 0.342492, 1.051385, 4.729351
26624, 0.025717, 0.339610, 1.050578, 4.734379
28672, 0.024017, 0.347013, 1.048815, 4.735436
30720, 0.021607, 0.343237, 1.047368, 4.729522
32768, 0.019418, 0.340042, 1.039854, 4.728514
34816, 0.018332, 0.344494, 1.040929, 4.737980
36864, 0.016633, 0.344222, 1.033090, 4.725403
38912, 0.015406, 0.339336, 1.031578, 4.724350
40960, 0.014243, 0.340826, 1.033407, 4.721722
43008, 0.013394, 0.341113, 1.028500, 4.722077
45056, 0.012446, 0.347441, 1.036084, 4.726142
47104, 0.011837, 0.347298, 1.034616, 4.736055
49152, 0.010532, 0.347781, 1.027723, 4.731008
51200, 0.010774, 0.347328, 1.028417, 4.733740
0, 0.027296, 0.025086, 3.647751, 7.761999
2048, 0.025906, 0.026524, 3.647382, 7.772057
4096, 0.020723, 0.027996, 3.647193, 7.773658
6144, 0.016901, 0.032200, 3.633672, 7.764980
8192, 0.013545, 0.035816, 3.633250, 7.778811
10240, 0.010846, 0.039139, 3.636025, 7.778294
12288, 0.008780, 0.038517, 3.631865, 7.770777
14336, 0.007663, 0.043124, 3.646951, 7.777422
16384, 0.006130, 0.042491, 3.638895, 7.775922
18432, 0.004676, 0.040686, 3.636721, 7.788771
20480, 0.004072, 0.043131, 3.631520, 7.784504
22528, 0.003626, 0.042965, 3.622406, 7.785119
24576, 0.003210, 0.044049, 3.627105, 7.781513
26624, 0.002822, 0.046674, 3.631177, 7.798816
28672, 0.002378, 0.047099, 3.634576, 7.792243
30720, 0.002067, 0.045885, 3.623676, 7.782862
32768, 0.001864, 0.043118, 3.634714, 7.766560
34816, 0.001383, 0.044262, 3.638282, 7.776996
36864, 0.001188, 0.043385, 3.618740, 7.774734
38912, 0.001141, 0.045088, 3.632413, 7.788833
40960, 0.001141, 0.049313, 3.631330, 7.796870
43008, 0.000875, 0.044946, 3.624978, 7.783873
45056, 0.000755, 0.044373, 3.626990, 7.787080
47104, 0.000721, 0.044087, 3.633253, 7.783742
49152, 0.000598, 0.045293, 3.626075, 7.781401
51200, 0.000466, 0.046321, 3.629583, 7.787839
0, 0.001086, 0.001053, 11.866078, 15.411244
2048, 0.001178, 0.001034, 11.870953, 15.425443
4096, 0.000849, 0.000822, 11.886802, 15.407618
6144, 0.000676, 0.001001, 11.876697, 15.414998
8192, 0.000672, 0.001226, 11.891557, 15.413372
10240, 0.000356, 0.001046, 11.851652, 15.420704
12288, 0.000301, 0.001122, 11.860530, 15.398397
14336, 0.000301, 0.001487, 11.860377, 15.421310
16384, 0.000301, 0.001912, 11.885218, 15.417950
18432, 0.000179, 0.001648, 11.862393, 15.423076
20480, 0.000185, 0.001734, 11.870517, 15.395793
22528, 0.000085, 0.001625, 11.877738, 15.420262
24576, 0.000098, 0.001506, 11.873181, 15.395267
26624, 0.000094, 0.001583, 11.872799, 15.423822
28672, 0.000061, 0.001545, 11.862283, 15.400374
30720, 0.000111, 0.002091, 11.883355, 15.429049
32768, 0.000030, 0.001787, 11.878712, 15.414391
34816, 0.000024, 0.001289, 11.867144, 15.423324
36864, 0.000065, 0.002133, 11.861203, 15.427635
38912, 0.000031, 0.001977, 11.881421, 15.422829
40960, 0.000039, 0.002050, 11.867392, 15.420172
43008, 0.000044, 0.001463, 11.881294, 15.408613
45056, 0.000022, 0.001740, 11.848898, 15.406872
47104, 0.000057, 0.001582, 11.859784, 15.423913
49152, 0.000020, 0.001268, 11.852786, 15.412586
51200, 0.000085, 0.002260, 11.865578, 15.424327
