tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
0, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.663968, 1.909604
2048, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.624779, 1.871040
4096, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.587570, 1.832566
6144, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.549119, 1.794597
8192, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.542665, 1.787805
10240, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.545989, 1.787781
12288, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.528488, 1.771368
14336, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.520955, 1.765392
16384, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.525318, 1.769522
18432, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.514909, 1.758211
20480, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.530139, 1.773083
22528, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.518826, 1.759538
24576, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.517372, 1.760423
26624, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.525500, 1.770022
28672, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.512749, 1.755653
30720, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.507499, 1.750064
32768, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.495802, 1.738499
34816, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.526164, 1.769335
36864, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.505848, 1.748171
38912, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.504342, 1.745922
40960, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.512409, 1.754550
43008, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.511763, 1.754923
45056, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.500415, 1.743533
47104, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.511913, 1.757450
49152, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.509597, 1.753879
51200, 155, 50, 0.600000, 0.500000, 25, 100, 1.000000, 1.507744, 1.751100
0, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.469893, 2.052987
2048, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.445778, 2.027500
4096, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.411356, 1.995434
6144, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.387460, 1.968834
8192, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.364266, 1.944272
10240, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.371969, 1.954166
12288, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.341215, 1.919491
14336, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.344424, 1.924145
16384, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.348794, 1.929082
18432, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.338630, 1.918659
20480, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.337074, 1.919619
22528, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.319100, 1.896645
24576, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.337015, 1.914897
26624, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.331830, 1.910714
28672, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.322896, 1.902797
30720, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.324571, 1.898769
32768, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.331528, 1.911562
34816, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.327282, 1.905283
36864, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.315423, 1.893880
38912, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.321291, 1.906900
40960, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.317963, 1.895009
43008, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.326154, 1.903508
45056, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.320192, 1.895983
47104, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.325924, 1.905601
49152, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.330849, 1.909833
51200, 155, 50, 0.700000, 0.500000, 25, 100, 1.000000, 1.329920, 1.909589
0, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.146089, 2.541823
2048, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.148122, 2.537075
4096, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.132076, 2.521187
6144, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.107760, 2.501270
8192, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.099060, 2.495269
10240, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.109975, 2.501201
12288, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.070550, 2.464207
14336, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.080079, 2.465519
16384, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.075902, 2.466365
18432, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.070038, 2.460892
20480, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.066259, 2.456690
22528, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.045671, 2.437127
24576, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.056632, 2.437802
26624, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.060731, 2.450388
28672, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.054523, 2.440077
30720, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.058809, 2.439703
32768, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.051171, 2.436267
34816, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.051668, 2.432411
36864, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.050129, 2.443692
38912, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.057502, 2.449466
40960, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.057779, 2.444818
43008, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.038200, 2.416100
45056, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.045639, 2.432817
47104, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.061174, 2.445228
49152, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.053814, 2.437034
51200, 155, 50, 0.800000, 0.500000, 25, 100, 1.000000, 1.049926, 2.440236
0, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.515877, 5.140054
2048, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.519689, 5.145868
4096, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.507226, 5.124161
6144, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.506559, 5.128168
8192, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.513109, 5.121750
10240, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.502263, 5.123715
12288, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.505710, 5.131416
14336, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.491232, 5.108654
16384, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.488229, 5.097798
18432, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.492006, 5.114664
20480, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.485118, 5.106472
22528, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.496546, 5.120255
24576, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.482297, 5.096569
26624, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.481159, 5.096265
28672, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.490151, 5.117047
30720, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.479517, 5.097031
32768, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.487464, 5.107934
34816, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.476016, 5.090607
36864, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.472648, 5.085400
38912, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.475297, 5.079403
40960, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.471516, 5.087550
43008, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.470346, 5.086323
45056, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.470995, 5.095081
47104, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.467691, 5.074257
49152, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.473539, 5.094561
51200, 155, 50, 0.900000, 0.500000, 25, 100, 1.000000, 0.463989, 5.078289
