tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 0.002393, 0.002197, 0.153021, 2.356818
512, 0.002546, 0.002483, 0.151596, 2.382419
1024, 0.002133, 0.002241, 0.150525, 2.379628
1536, 0.002255, 0.002483, 0.151806, 2.381741
2048, 0.002351, 0.002875, 0.150548, 2.396451
2560, 0.002103, 0.002687, 0.150333, 2.393375
3072, 0.002091, 0.003039, 0.148413, 2.380359
3584, 0.002013, 0.003410, 0.150968, 2.383286
4096, 0.002181, 0.003539, 0.151183, 2.387997
4608, 0.002124, 0.004022, 0.148903, 2.385877
5120, 0.001959, 0.004019, 0.150555, 2.388996
5632, 0.001886, 0.004118, 0.149921, 2.384740
6144, 0.002203, 0.004985, 0.151451, 2.387515
6656, 0.001587, 0.004131, 0.151531, 2.382498
7168, 0.001592, 0.004425, 0.150854, 2.385257
7680, 0.001505, 0.004406, 0.149780, 2.390582
8192, 0.001569, 0.004946, 0.151691, 2.391055
8704, 0.001518, 0.005026, 0.150479, 2.376649
9216, 0.001202, 0.004528, 0.149717, 2.377659
9728, 0.001417, 0.005224, 0.150331, 2.376085
10240, 0.001435, 0.005204, 0.150981, 2.378640
10752, 0.001465, 0.005313, 0.150401, 2.366930
11264, 0.001372, 0.006036, 0.150641, 2.369592
11776, 0.001438, 0.005702, 0.151102, 2.383574
12288, 0.001243, 0.005394, 0.150279, 2.370835
12800, 0.001130, 0.005285, 0.149723, 2.379429
13312, 0.001176, 0.006318, 0.149862, 2.371376
13824, 0.001131, 0.006076, 0.151014, 2.388059
14336, 0.000893, 0.004896, 0.151026, 2.383733
14848, 0.000928, 0.005024, 0.148687, 2.381116
15360, 0.001056, 0.005770, 0.149661, 2.373177
15872, 0.000919, 0.005725, 0.150586, 2.393984
16384, 0.000980, 0.005877, 0.149925, 2.384997
16896, 0.000863, 0.005939, 0.149345, 2.380279
17408, 0.000830, 0.005718, 0.150140, 2.384166
17920, 0.000849, 0.005372, 0.148990, 2.379126
18432, 0.000838, 0.005548, 0.150347, 2.376110
18944, 0.000875, 0.005933, 0.149080, 2.380824
19456, 0.000985, 0.006234, 0.150214, 2.388956
19968, 0.000920, 0.006557, 0.151298, 2.394956
20480, 0.000908, 0.006655, 0.149154, 2.376729
20992, 0.000830, 0.006538, 0.149132, 2.393324
21504, 0.000789, 0.006170, 0.147368, 2.390114
22016, 0.000839, 0.006522, 0.150094, 2.372730
22528, 0.000868, 0.007288, 0.149485, 2.400960
23040, 0.000763, 0.006236, 0.149166, 2.391237
23552, 0.000846, 0.007130, 0.150476, 2.386592
24064, 0.000818, 0.007407, 0.150346, 2.381810
24576, 0.000769, 0.007179, 0.149057, 2.381901
25088, 0.000748, 0.007162, 0.149948, 2.377763
25600, 0.000764, 0.007058, 0.148447, 2.379612
26112, 0.000573, 0.005358, 0.148727, 2.374610
26624, 0.000739, 0.007476, 0.148124, 2.386879
27136, 0.000662, 0.006202, 0.148988, 2.394075
27648, 0.000717, 0.006740, 0.149695, 2.374722
28160, 0.000714, 0.008087, 0.148943, 2.374872
28672, 0.000610, 0.006275, 0.148378, 2.383594
29184, 0.000637, 0.005751, 0.150761, 2.386333
29696, 0.000474, 0.005078, 0.150128, 2.394658
30208, 0.000603, 0.006154, 0.150297, 2.389418
30720, 0.000509, 0.005846, 0.146925, 2.384428
31232, 0.000686, 0.007425, 0.149913, 2.369619
31744, 0.000513, 0.006315, 0.150127, 2.388115
32256, 0.000660, 0.007027, 0.149739, 2.387058
32768, 0.000526, 0.006092, 0.148486, 2.392688
33280, 0.000600, 0.007257, 0.149060, 2.386053
33792, 0.000568, 0.006537, 0.150561, 2.377710
34304, 0.000681, 0.007847, 0.147708, 2.384184
34816, 0.000488, 0.005860, 0.150666, 2.384047
35328, 0.000461, 0.006098, 0.149613, 2.371483
35840, 0.000526, 0.007306, 0.149884, 2.377938
36352, 0.000474, 0.006527, 0.148504, 2.391471
36864, 0.000382, 0.005582, 0.149358, 2.392146
37376, 0.000617, 0.007722, 0.150719, 2.389532
37888, 0.000541, 0.007154, 0.149408, 2.392766
38400, 0.000551, 0.007876, 0.149631, 2.405477
38912, 0.000544, 0.007963, 0.149087, 2.386154
39424, 0.000517, 0.006736, 0.149582, 2.395237
39936, 0.000567, 0.008258, 0.148448, 2.385715
40448, 0.000494, 0.007026, 0.148816, 2.385010
40960, 0.000467, 0.006629, 0.150672, 2.384127
41472, 0.000431, 0.006690, 0.151001, 2.377667
41984, 0.000506, 0.007156, 0.149334, 2.386654
42496, 0.000470, 0.007725, 0.149368, 2.378556
43008, 0.000533, 0.009289, 0.149748, 2.375505
43520, 0.000507, 0.007623, 0.148478, 2.386169
44032, 0.000441, 0.006910, 0.150666, 2.383455
44544, 0.000429, 0.006659, 0.150160, 2.370430
45056, 0.000453, 0.007236, 0.148942, 2.384182
45568, 0.000524, 0.008176, 0.150018, 2.380262
46080, 0.000335, 0.006483, 0.147249, 2.379390
46592, 0.000414, 0.007793, 0.147877, 2.388618
47104, 0.000388, 0.006762, 0.148547, 2.383180
47616, 0.000501, 0.008287, 0.149760, 2.390573
48128, 0.000455, 0.007274, 0.148854, 2.381584
48640, 0.000400, 0.007274, 0.148392, 2.391388
49152, 0.000324, 0.006553, 0.149389, 2.391596
49664, 0.000381, 0.007405, 0.150860, 2.382251
50176, 0.000382, 0.007429, 0.149441, 2.391683
50688, 0.000385, 0.006704, 0.147392, 2.384585
51200, 0.000349, 0.006561, 0.147527, 2.384312
0, 0.002977, 0.002749, 0.045369, 1.701855
512, 0.003531, 0.003418, 0.045313, 1.714097
1024, 0.003436, 0.003594, 0.046175, 1.708655
1536, 0.003721, 0.004210, 0.045289, 1.713233
2048, 0.003495, 0.004056, 0.045752, 1.705942
2560, 0.003519, 0.004781, 0.045157, 1.706006
3072, 0.003242, 0.004692, 0.044792, 1.715806
3584, 0.003039, 0.005038, 0.045028, 1.717485
4096, 0.003835, 0.006698, 0.045767, 1.698982
4608, 0.002960, 0.005820, 0.044352, 1.715319
5120, 0.002967, 0.005987, 0.044333, 1.707353
5632, 0.002827, 0.006210, 0.044677, 1.713467
6144, 0.002935, 0.006886, 0.045448, 1.696899
6656, 0.002836, 0.007574, 0.044751, 1.692094
7168, 0.003057, 0.007854, 0.046102, 1.721467
7680, 0.002108, 0.005972, 0.043858, 1.703438
8192, 0.001738, 0.005685, 0.043606, 1.707672
8704, 0.002219, 0.007212, 0.043667, 1.709437
9216, 0.002135, 0.007376, 0.043769, 1.718031
9728, 0.001842, 0.006430, 0.043402, 1.710465
10240, 0.002084, 0.008126, 0.043540, 1.709990
10752, 0.002310, 0.008912, 0.044981, 1.725418
11264, 0.002032, 0.008637, 0.044490, 1.708267
11776, 0.001818, 0.008008, 0.044269, 1.705645
12288, 0.002165, 0.010337, 0.044123, 1.709560
12800, 0.001798, 0.007969, 0.043815, 1.696004
13312, 0.001723, 0.007910, 0.043723, 1.708672
13824, 0.001810, 0.009181, 0.043971, 1.716833
14336, 0.001751, 0.009741, 0.044007, 1.716013
14848, 0.001717, 0.009571, 0.043819, 1.717267
15360, 0.001596, 0.009158, 0.043240, 1.718146
15872, 0.001609, 0.009412, 0.043902, 1.715011
16384, 0.001576, 0.009244, 0.043514, 1.702076
16896, 0.001631, 0.010484, 0.043239, 1.722299
17408, 0.001407, 0.009208, 0.043118, 1.724758
17920, 0.001294, 0.008558, 0.042802, 1.707346
18432, 0.001386, 0.009134, 0.043478, 1.709774
18944, 0.001335, 0.008656, 0.042312, 1.704524
19456, 0.001545, 0.011389, 0.044649, 1.707310
19968, 0.001595, 0.009599, 0.043150, 1.711082
20480, 0.001342, 0.009240, 0.042968, 1.720040
20992, 0.001288, 0.010810, 0.043048, 1.717229
21504, 0.001079, 0.009089, 0.043037, 1.708134
22016, 0.001347, 0.010583, 0.043085, 1.711105
22528, 0.001242, 0.011104, 0.042817, 1.731012
23040, 0.001336, 0.010962, 0.042509, 1.712461
23552, 0.001212, 0.010708, 0.042650, 1.706782
24064, 0.001287, 0.011221, 0.042276, 1.721014
24576, 0.001128, 0.009710, 0.041982, 1.712834
25088, 0.001292, 0.011854, 0.043385, 1.723579
25600, 0.001056, 0.010525, 0.042365, 1.707545
26112, 0.001162, 0.010964, 0.042941, 1.711513
26624, 0.001156, 0.010501, 0.043734, 1.709713
27136, 0.000913, 0.010063, 0.042964, 1.696871
27648, 0.000961, 0.010023, 0.042878, 1.713439
28160, 0.001043, 0.010448, 0.042554, 1.705596
28672, 0.001161, 0.011267, 0.043495, 1.722961
29184, 0.000910, 0.010054, 0.041789, 1.725437
29696, 0.001010, 0.010632, 0.042712, 1.706507
30208, 0.000869, 0.009631, 0.043104, 1.715510
30720, 0.000997, 0.011051, 0.042049, 1.709500
31232, 0.001085, 0.011325, 0.042697, 1.720063
31744, 0.000833, 0.010076, 0.042966, 1.715303
32256, 0.000792, 0.010413, 0.042741, 1.708709
32768, 0.000978, 0.011969, 0.042107, 1.706897
33280, 0.000932, 0.010941, 0.043067, 1.700944
33792, 0.001039, 0.010817, 0.043000, 1.703830
34304, 0.000966, 0.010671, 0.043262, 1.718320
34816, 0.000900, 0.011256, 0.043339, 1.718136
35328, 0.000852, 0.009920, 0.043068, 1.707843
35840, 0.000976, 0.011522, 0.042117, 1.717432
36352, 0.000841, 0.010302, 0.042962, 1.700981
36864, 0.000878, 0.011056, 0.042771, 1.722699
37376, 0.000803, 0.011662, 0.042824, 1.713713
37888, 0.000765, 0.010836, 0.042167, 1.723163
38400, 0.000898, 0.011878, 0.042655, 1.712630
38912, 0.000778, 0.010804, 0.042444, 1.714785
39424, 0.000740, 0.010879, 0.042835, 1.707909
39936, 0.000808, 0.010819, 0.042263, 1.714749
40448, 0.000812, 0.010771, 0.042192, 1.713753
40960, 0.000780, 0.011732, 0.043122, 1.702414
41472, 0.000785, 0.011334, 0.041966, 1.710290
41984, 0.000786, 0.012238, 0.043381, 1.725827
42496, 0.000775, 0.012072, 0.042651, 1.708934
43008, 0.000798, 0.011282, 0.042701, 1.714692
