tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 25, 0.700000, 0.500000, 16, 100, 0.002344, 0.703970
512, 155, 25, 0.700000, 0.500000, 16, 100, 0.002531, 0.709302
1024, 155, 25, 0.700000, 0.500000, 16, 100, 0.002160, 0.707801
1536, 155, 25, 0.700000, 0.500000, 16, 100, 0.002312, 0.709290
2048, 155, 25, 0.700000, 0.500000, 16, 100, 0.002482, 0.712024
2560, 155, 25, 0.700000, 0.500000, 16, 100, 0.002249, 0.711093
3072, 155, 25, 0.700000, 0.500000, 16, 100, 0.002328, 0.706400
3584, 155, 25, 0.700000, 0.500000, 16, 100, 0.002362, 0.709047
4096, 155, 25, 0.700000, 0.500000, 16, 100, 0.002520, 0.710386
4608, 155, 25, 0.700000, 0.500000, 16, 100, 0.002599, 0.708147
5120, 155, 25, 0.700000, 0.500000, 16, 100, 0.002474, 0.710165
5632, 155, 25, 0.700000, 0.500000, 16, 100, 0.002444, 0.708626
6144, 155, 25, 0.700000, 0.500000, 16, 100, 0.002898, 0.710467
6656, 155, 25, 0.700000, 0.500000, 16, 100, 0.002223, 0.709273
7168, 155, 25, 0.700000, 0.500000, 16, 100, 0.002300, 0.709455
7680, 155, 25, 0.700000, 0.500000, 16, 100, 0.002230, 0.709981
8192, 155, 25, 0.700000, 0.500000, 16, 100, 0.002413, 0.711532
8704, 155, 25, 0.700000, 0.500000, 16, 100, 0.002395, 0.707021
9216, 155, 25, 0.700000, 0.500000, 16, 100, 0.002033, 0.706703
9728, 155, 25, 0.700000, 0.500000, 16, 100, 0.002369, 0.706770
10240, 155, 25, 0.700000, 0.500000, 16, 100, 0.002377, 0.707895
10752, 155, 25, 0.700000, 0.500000, 16, 100, 0.002427, 0.704534
11264, 155, 25, 0.700000, 0.500000, 16, 100, 0.002538, 0.705379
11776, 155, 25, 0.700000, 0.500000, 16, 100, 0.002504, 0.709220
12288, 155, 25, 0.700000, 0.500000, 16, 100, 0.002281, 0.705418
12800, 155, 25, 0.700000, 0.500000, 16, 100, 0.002169, 0.707150
13312, 155, 25, 0.700000, 0.500000, 16, 100, 0.002461, 0.705240
13824, 155, 25, 0.700000, 0.500000, 16, 100, 0.002368, 0.710275
14336, 155, 25, 0.700000, 0.500000, 16, 100, 0.001894, 0.709203
14848, 155, 25, 0.700000, 0.500000, 16, 100, 0.001952, 0.706794
15360, 155, 25, 0.700000, 0.500000, 16, 100, 0.002235, 0.705540
15872, 155, 25, 0.700000, 0.500000, 16, 100, 0.002121, 0.711435
16384, 155, 25, 0.700000, 0.500000, 16, 100, 0.002204, 0.708693
16896, 155, 25, 0.700000, 0.500000, 16, 100, 0.002132, 0.707079
17408, 155, 25, 0.700000, 0.500000, 16, 100, 0.002052, 0.708646
17920, 155, 25, 0.700000, 0.500000, 16, 100, 0.001980, 0.706524
18432, 155, 25, 0.700000, 0.500000, 16, 100, 0.002016, 0.706788
18944, 155, 25, 0.700000, 0.500000, 16, 100, 0.002139, 0.707016
19456, 155, 25, 0.700000, 0.500000, 16, 100, 0.002297, 0.709900
19968, 155, 25, 0.700000, 0.500000, 16, 100, 0.002330, 0.712212
20480, 155, 25, 0.700000, 0.500000, 16, 100, 0.002345, 0.706047
20992, 155, 25, 0.700000, 0.500000, 16, 100, 0.002257, 0.710180
21504, 155, 25, 0.700000, 0.500000, 16, 100, 0.002134, 0.708054
22016, 155, 25, 0.700000, 0.500000, 16, 100, 0.002259, 0.705753
22528, 155, 25, 0.700000, 0.500000, 16, 100, 0.002473, 0.712354
23040, 155, 25, 0.700000, 0.500000, 16, 100, 0.002131, 0.709684
23552, 155, 25, 0.700000, 0.500000, 16, 100, 0.002417, 0.709505
24064, 155, 25, 0.700000, 0.500000, 16, 100, 0.002465, 0.708212
24576, 155, 25, 0.700000, 0.500000, 16, 100, 0.002372, 0.707268
25088, 155, 25, 0.700000, 0.500000, 16, 100, 0.002351, 0.706902
25600, 155, 25, 0.700000, 0.500000, 16, 100, 0.002338, 0.706238
26112, 155, 25, 0.700000, 0.500000, 16, 100, 0.001769, 0.705198
26624, 155, 25, 0.700000, 0.500000, 16, 100, 0.002423, 0.707813
27136, 155, 25, 0.700000, 0.500000, 16, 100, 0.002047, 0.710260
27648, 155, 25, 0.700000, 0.500000, 16, 100, 0.002223, 0.705952
28160, 155, 25, 0.700000, 0.500000, 16, 100, 0.002557, 0.705425
28672, 155, 25, 0.700000, 0.500000, 16, 100, 0.002026, 0.707182
29184, 155, 25, 0.700000, 0.500000, 16, 100, 0.001915, 0.709654
29696, 155, 25, 0.700000, 0.500000, 16, 100, 0.001625, 0.711261
30208, 155, 25, 0.700000, 0.500000, 16, 100, 0.001991, 0.710077
30720, 155, 25, 0.700000, 0.500000, 16, 100, 0.001843, 0.706301
31232, 155, 25, 0.700000, 0.500000, 16, 100, 0.002371, 0.704840
31744, 155, 25, 0.700000, 0.500000, 16, 100, 0.001963, 0.709624
32256, 155, 25, 0.700000, 0.500000, 16, 100, 0.002252, 0.709069
32768, 155, 25, 0.700000, 0.500000, 16, 100, 0.001917, 0.709537
33280, 155, 25, 0.700000, 0.500000, 16, 100, 0.002264, 0.708308
33792, 155, 25, 0.700000, 0.500000, 16, 100, 0.002060, 0.707348
34304, 155, 25, 0.700000, 0.500000, 16, 100, 0.002473, 0.706827
34816, 155, 25, 0.700000, 0.500000, 16, 100, 0.001831, 0.709012
35328, 155, 25, 0.700000, 0.500000, 16, 100, 0.001870, 0.705081
35840, 155, 25, 0.700000, 0.500000, 16, 100, 0.002221, 0.706898
36352, 155, 25, 0.700000, 0.500000, 16, 100, 0.001987, 0.709245
36864, 155, 25, 0.700000, 0.500000, 16, 100, 0.001682, 0.710055
37376, 155, 25, 0.700000, 0.500000, 16, 100, 0.002393, 0.710422
37888, 155, 25, 0.700000, 0.500000, 16, 100, 0.002194, 0.710248
38400, 155, 25, 0.700000, 0.500000, 16, 100, 0.002382, 0.713593
