tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 0.643098, 0.621068, 0.867269, 3.166217
256, 0.645189, 0.620167, 0.867218, 3.164925
512, 0.626705, 0.640052, 0.849683, 3.195073
768, 0.604021, 0.649608, 0.827349, 3.201267
1024, 0.584387, 0.681614, 0.808670, 3.221281
1280, 0.541778, 0.682982, 0.765286, 3.226876
1536, 0.526606, 0.717031, 0.750841, 3.259936
1792, 0.499391, 0.735699, 0.725866, 3.281895
2048, 0.472098, 0.749070, 0.696938, 3.293384
2304, 0.453928, 0.774122, 0.679294, 3.317340
2560, 0.433426, 0.795072, 0.657306, 3.339077
2816, 0.417128, 0.812130, 0.640676, 3.352255
3072, 0.393406, 0.817724, 0.617966, 3.362828
3328, 0.374542, 0.823515, 0.599571, 3.362035
3584, 0.361634, 0.843573, 0.587826, 3.381627
3840, 0.348870, 0.855660, 0.575496, 3.396091
4096, 0.333255, 0.861297, 0.556437, 3.405401
4352, 0.318305, 0.872966, 0.544201, 3.409720
4608, 0.307169, 0.877561, 0.532281, 3.406885
4864, 0.300379, 0.896121, 0.526589, 3.434111
5120, 0.283792, 0.894007, 0.509209, 3.431100
5376, 0.280268, 0.918268, 0.506073, 3.459281
5632, 0.268324, 0.919549, 0.494111, 3.460215
5888, 0.260791, 0.928691, 0.486449, 3.469899
6144, 0.252125, 0.930936, 0.479668, 3.463681
6400, 0.248419, 0.946183, 0.472590, 3.484209
6656, 0.242326, 0.960081, 0.466894, 3.496386
6912, 0.231810, 0.950722, 0.458291, 3.487154
7168, 0.224472, 0.956378, 0.449621, 3.493178
7424, 0.217962, 0.957358, 0.444746, 3.484681
7680, 0.213336, 0.971903, 0.438283, 3.516652
7936, 0.210947, 0.981674, 0.435592, 3.517875
8192, 0.202126, 0.974157, 0.427042, 3.509640
8448, 0.198458, 0.987152, 0.424114, 3.520527
8704, 0.191597, 0.989311, 0.415703, 3.524792
8960, 0.182408, 0.976806, 0.404666, 3.518032
9216, 0.181599, 0.985917, 0.405494, 3.524949
9472, 0.177385, 0.987341, 0.403509, 3.523828
9728, 0.174281, 0.990362, 0.400147, 3.527448
9984, 0.168171, 0.989623, 0.393761, 3.527444
10240, 0.164222, 0.987375, 0.387953, 3.523053
10496, 0.161193, 1.000328, 0.385640, 3.539631
10752, 0.160802, 1.012178, 0.387221, 3.548559
11008, 0.159191, 1.024938, 0.384035, 3.564637
11264, 0.153866, 1.011046, 0.379067, 3.547397
11520, 0.150848, 1.018806, 0.375829, 3.555323
11776, 0.147255, 1.013174, 0.371534, 3.548648
12032, 0.143967, 1.008556, 0.366869, 3.552658
12288, 0.141705, 1.021591, 0.365564, 3.561675
12544, 0.139166, 1.021601, 0.362479, 3.563532
12800, 0.137857, 1.034175, 0.362417, 3.579939
13056, 0.135650, 1.020270, 0.360722, 3.556188
13312, 0.132020, 1.027971, 0.355839, 3.564327
13568, 0.129759, 1.023972, 0.355645, 3.559220
13824, 0.128251, 1.034135, 0.352710, 3.566644
14080, 0.123739, 1.024896, 0.345770, 3.560974
14336, 0.123374, 1.033814, 0.348433, 3.570703
14592, 0.122793, 1.036338, 0.346710, 3.575278
14848, 0.121175, 1.043541, 0.346862, 3.577427
15104, 0.118011, 1.039720, 0.344012, 3.578910
15360, 0.118455, 1.054151, 0.344213, 3.580874
15616, 0.114527, 1.037648, 0.339362, 3.580564
15872, 0.115203, 1.054088, 0.341381, 3.585295
16128, 0.110701, 1.043250, 0.333200, 3.577650
16384, 0.111519, 1.059031, 0.337849, 3.596695
16640, 0.108192, 1.049645, 0.333610, 3.586488
16896, 0.108195, 1.049252, 0.333622, 3.582120
17152, 0.103709, 1.046305, 0.327784, 3.581204
17408, 0.103397, 1.042242, 0.329101, 3.576704
17664, 0.102859, 1.065254, 0.329150, 3.596384
