tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 50, 0.600000, 0.500000, 10, 100, 0.632083, 2.016743
256, 155, 50, 0.600000, 0.500000, 10, 100, 0.632678, 2.016071
512, 155, 50, 0.600000, 0.500000, 10, 100, 0.633378, 2.022378
768, 155, 50, 0.600000, 0.500000, 10, 100, 0.626815, 2.014308
1024, 155, 50, 0.600000, 0.500000, 10, 100, 0.633000, 2.014975
1280, 155, 50, 0.600000, 0.500000, 10, 100, 0.612380, 1.996081
1536, 155, 50, 0.600000, 0.500000, 10, 100, 0.621819, 2.005388
1792, 155, 50, 0.600000, 0.500000, 10, 100, 0.617545, 2.003880
2048, 155, 50, 0.600000, 0.500000, 10, 100, 0.610584, 1.995161
2304, 155, 50, 0.600000, 0.500000, 10, 100, 0.614025, 1.998317
2560, 155, 50, 0.600000, 0.500000, 10, 100, 0.614249, 1.998192
2816, 155, 50, 0.600000, 0.500000, 10, 100, 0.614629, 1.996465
3072, 155, 50, 0.600000, 0.500000, 10, 100, 0.605565, 1.990397
3328, 155, 50, 0.600000, 0.500000, 10, 100, 0.599029, 1.980803
3584, 155, 50, 0.600000, 0.500000, 10, 100, 0.602604, 1.984727
3840, 155, 50, 0.600000, 0.500000, 10, 100, 0.602265, 1.985794
4096, 155, 50, 0.600000, 0.500000, 10, 100, 0.597276, 1.980919
4352, 155, 50, 0.600000, 0.500000, 10, 100, 0.595635, 1.976961
4608, 155, 50, 0.600000, 0.500000, 10, 100, 0.592365, 1.969583
4864, 155, 50, 0.600000, 0.500000, 10, 100, 0.598250, 1.980350
5120, 155, 50, 0.600000, 0.500000, 10, 100, 0.588899, 1.970154
5376, 155, 50, 0.600000, 0.500000, 10, 100, 0.599268, 1.982677
5632, 155, 50, 0.600000, 0.500000, 10, 100, 0.593937, 1.977163
5888, 155, 50, 0.600000, 0.500000, 10, 100, 0.594741, 1.978174
6144, 155, 50, 0.600000, 0.500000, 10, 100, 0.591530, 1.971674
6400, 155, 50, 0.600000, 0.500000, 10, 100, 0.597301, 1.978399
6656, 155, 50, 0.600000, 0.500000, 10, 100, 0.601203, 1.981640
