tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 1.598946, 1.574766, 1.599049, 2.065057
1024, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 1.395509, 1.743923, 1.395736, 2.234655
2048, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 1.125262, 1.951177, 1.125460, 2.442948
3072, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.921859, 2.109914, 0.922009, 2.599616
4096, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.778336, 2.232199, 0.778484, 2.727128
5120, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.662801, 2.303577, 0.662958, 2.792272
6144, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.588734, 2.389740, 0.588903, 2.874579
7168, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.523941, 2.449198, 0.524101, 2.945589
8192, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.470076, 2.469009, 0.470243, 2.962597
9216, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.422348, 2.481634, 0.422527, 2.971817
10240, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.391277, 2.532546, 0.391484, 3.027388
11264, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.363275, 2.551078, 0.363489, 3.043463
12288, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.334858, 2.572626, 0.335029, 3.061326
13312, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.313479, 2.593970, 0.313674, 3.081810
14336, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.293378, 2.602443, 0.293554, 3.091650
15360, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.278773, 2.623590, 0.278950, 3.120510
16384, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.260600, 2.616789, 0.260822, 3.106943
17408, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.248281, 2.636554, 0.248435, 3.124018
18432, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.238533, 2.656839, 0.238729, 3.144797
19456, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.225958, 2.653625, 0.226103, 3.146581
20480, 155, 50, 0.600000, 0.500000, 25, 100, 1.001000, 0.216145, 2.666206, 0.216332, 3.149574
