tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
47104, 0.138917, 3.073541, 0.138930, 3.409836
49152, 0.136006, 3.097060, 0.136025, 3.429163
51200, 0.127311, 3.091435, 0.127335, 3.424741
0, 1.814497, 1.777569, 1.814538, 2.152647
2048, 1.371305, 2.103071, 1.371372, 2.472379
4096, 1.012365, 2.429634, 1.012415, 2.806564
6144, 0.766545, 2.574478, 0.766577, 2.945810
8192, 0.622658, 2.682779, 0.622685, 3.053415
10240, 0.523935, 2.771928, 0.523968, 3.144470
12288, 0.456209, 2.848398, 0.456298, 3.223675
14336, 0.397373, 2.877827, 0.397398, 3.252712
16384, 0.355353, 2.903896, 0.355405, 3.278746
18432, 0.319152, 2.907376, 0.319191, 3.272868
20480, 0.291307, 2.948686, 0.291341, 3.324582
22528, 0.267912, 2.959648, 0.267977, 3.326800
24576, 0.248996, 2.977657, 0.249039, 3.348649
26624, 0.237187, 3.018045, 0.237198, 3.384942
28672, 0.218349, 2.993637, 0.218414, 3.366306
30720, 0.208371, 3.028367, 0.208386, 3.400585
32768, 0.197722, 3.061998, 0.197749, 3.435860
34816, 0.188343, 3.044140, 0.188400, 3.411820
36864, 0.179503, 3.061666, 0.179552, 3.428573
38912, 0.168934, 3.043950, 0.168984, 3.408368
40960, 0.163051, 3.057622, 0.163084, 3.428490
43008, 0.155515, 3.054042, 0.155557, 3.419444
45056, 0.148493, 3.067932, 0.148522, 3.436008
47104, 0.143955, 3.067613, 0.144000, 3.436471
49152, 0.138845, 3.081988, 0.138861, 3.450721
51200, 0.136057, 3.086778, 0.136070, 3.460092
0, 1.812112, 1.769252, 1.812163, 2.185789
2048, 1.386559, 2.076826, 1.386623, 2.492272
4096, 1.018514, 2.371903, 1.018564, 2.789851
6144, 0.788665, 2.552053, 0.788696, 2.961093
8192, 0.643835, 2.682899, 0.643871, 3.099972
10240, 0.536743, 2.723155, 0.536790, 3.135944
12288, 0.469991, 2.827146, 0.470057, 3.241779
14336, 0.407586, 2.845821, 0.407622, 3.260928
16384, 0.362380, 2.868313, 0.362412, 3.282716
18432, 0.327226, 2.882152, 0.327250, 3.293044
20480, 0.303694, 2.920945, 0.303745, 3.332121
22528, 0.280885, 2.937511, 0.280932, 3.346119
24576, 0.262623, 2.978134, 0.262672, 3.394631
26624, 0.243455, 2.985021, 0.243551, 3.396256
28672, 0.224070, 2.964526, 0.224162, 3.381934
30720, 0.215914, 3.012254, 0.215957, 3.425035
32768, 0.205174, 3.025048, 0.205218, 3.441061
34816, 0.192568, 3.014083, 0.192631, 3.430194
36864, 0.184759, 3.029645, 0.184868, 3.446962
38912, 0.172948, 3.017052, 0.172985, 3.429204
40960, 0.167183, 3.030366, 0.167259, 3.441132
43008, 0.157209, 3.023272, 0.157276, 3.433146
45056, 0.157137, 3.078725, 0.157189, 3.493541
47104, 0.147258, 3.053943, 0.147286, 3.470138
49152, 0.143882, 3.066887, 0.143937, 3.476309
51200, 0.135063, 3.037762, 0.135146, 3.450794
0, 1.791581, 1.748008, 1.791736, 2.211213
2048, 1.415572, 2.075461, 1.415633, 2.530339
4096, 1.042801, 2.344688, 1.042889, 2.799934
6144, 0.807643, 2.511751, 0.807703, 2.972042
8192, 0.662046, 2.644494, 0.662119, 3.099714
10240, 0.553926, 2.719096, 0.554009, 3.179984
12288, 0.476934, 2.757648, 0.477058, 3.216366
14336, 0.424361, 2.812650, 0.424457, 3.273788
16384, 0.372705, 2.832628, 0.372746, 3.295337
18432, 0.341454, 2.880368, 0.341620, 3.337486
20480, 0.313197, 2.900725, 0.313330, 3.355125
22528, 0.289134, 2.911600, 0.289181, 3.366955
24576, 0.270847, 2.941025, 0.270918, 3.394905
26624, 0.250831, 2.954118, 0.250899, 3.405025
28672, 0.234048, 2.958720, 0.234153, 3.419586
30720, 0.220135, 2.979434, 0.220246, 3.428522
32768, 0.212101, 2.993009, 0.212205, 3.445193
34816, 0.201705, 3.016325, 0.201815, 3.475747
36864, 0.191665, 3.020653, 0.191747, 3.481846
38912, 0.180016, 3.005690, 0.180116, 3.462680
40960, 0.172513, 3.020983, 0.172660, 3.482469
43008, 0.167539, 3.033983, 0.167613, 3.490233
45056, 0.160873, 3.042338, 0.160942, 3.500726
47104, 0.155139, 3.035752, 0.155254, 3.490830
49152, 0.147841, 3.039380, 0.147929, 3.496835
51200, 0.140101, 3.022045, 0.140161, 3.480371
0, 1.797333, 1.747525, 1.797478, 2.259084
2048, 1.410303, 2.029157, 1.410528, 2.536848
4096, 1.054845, 2.292523, 1.055016, 2.801226
6144, 0.826081, 2.476354, 0.826242, 2.990231
8192, 0.670968, 2.584521, 0.671175, 3.091921
10240, 0.566247, 2.668255, 0.566373, 3.178842
12288, 0.489823, 2.736160, 0.490035, 3.236503
14336, 0.434384, 2.784569, 0.434558, 3.294226
16384, 0.390200, 2.817105, 0.390394, 3.316852
18432, 0.354397, 2.856352, 0.354514, 3.364428
20480, 0.320815, 2.850250, 0.320987, 3.357018
22528, 0.297245, 2.879739, 0.297459, 3.386635
24576, 0.275076, 2.896521, 0.275195, 3.398539
26624, 0.258649, 2.928591, 0.258828, 3.436346
28672, 0.245797, 2.963623, 0.245985, 3.477013
30720, 0.229502, 2.959180, 0.229684, 3.466810
32768, 0.218532, 2.969214, 0.218802, 3.479513
34816, 0.204460, 2.967211, 0.204637, 3.473504
36864, 0.190623, 2.955063, 0.190778, 3.462420
38912, 0.183776, 2.948244, 0.183969, 3.450062
40960, 0.176577, 2.976862, 0.176652, 3.485525
43008, 0.173050, 3.005750, 0.173309, 3.514626
45056, 0.163561, 2.999344, 0.163759, 3.511295
47104, 0.161625, 3.023717, 0.161803, 3.531306
49152, 0.150668, 2.984600, 0.150799, 3.491039
51200, 0.147545, 3.013494, 0.147676, 3.527452
0, 1.894045, 1.873032, 1.894045, 2.009064
