tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 50, 0.600000, 0.500000, 16, 100, 1.309373, 1.917522
2048, 155, 50, 0.600000, 0.500000, 16, 100, 1.288377, 1.901157
4096, 155, 50, 0.600000, 0.500000, 16, 100, 1.252212, 1.858413
6144, 155, 50, 0.600000, 0.500000, 16, 100, 1.216326, 1.824821
8192, 155, 50, 0.600000, 0.500000, 16, 100, 1.209121, 1.816892
10240, 155, 50, 0.600000, 0.500000, 16, 100, 1.198290, 1.802264
12288, 155, 50, 0.600000, 0.500000, 16, 100, 1.204280, 1.811423
14336, 155, 50, 0.600000, 0.500000, 16, 100, 1.193411, 1.796901
16384, 155, 50, 0.600000, 0.500000, 16, 100, 1.208975, 1.813897
18432, 155, 50, 0.600000, 0.500000, 16, 100, 1.189976, 1.796922
20480, 155, 50, 0.600000, 0.500000, 16, 100, 1.187542, 1.792798
22528, 155, 50, 0.600000, 0.500000, 16, 100, 1.174909, 1.780163
24576, 155, 50, 0.600000, 0.500000, 16, 100, 1.193160, 1.800997
26624, 155, 50, 0.600000, 0.500000, 16, 100, 1.187432, 1.792257
28672, 155, 50, 0.600000, 0.500000, 16, 100, 1.179050, 1.781516
30720, 155, 50, 0.600000, 0.500000, 16, 100, 1.181240, 1.786376
32768, 155, 50, 0.600000, 0.500000, 16, 100, 1.179286, 1.784683
34816, 155, 50, 0.600000, 0.500000, 16, 100, 1.182711, 1.789249
36864, 155, 50, 0.600000, 0.500000, 16, 100, 1.182719, 1.786598
38912, 155, 50, 0.600000, 0.500000, 16, 100, 1.180496, 1.787507
40960, 155, 50, 0.600000, 0.500000, 16, 100, 1.176903, 1.782267
43008, 155, 50, 0.600000, 0.500000, 16, 100, 1.192029, 1.799398
45056, 155, 50, 0.600000, 0.500000, 16, 100, 1.167485, 1.770576
47104, 155, 50, 0.600000, 0.500000, 16, 100, 1.188340, 1.794734
49152, 155, 50, 0.600000, 0.500000, 16, 100, 1.189416, 1.796242
51200, 155, 50, 0.600000, 0.500000, 16, 100, 1.171791, 1.774519
0, 155, 50, 0.610000, 0.500000, 16, 100, 1.268675, 1.927713
2048, 155, 50, 0.610000, 0.500000, 16, 100, 1.247152, 1.900816
4096, 155, 50, 0.610000, 0.500000, 16, 100, 1.203636, 1.856919
6144, 155, 50, 0.610000, 0.500000, 16, 100, 1.189429, 1.837878
8192, 155, 50, 0.610000, 0.500000, 16, 100, 1.182533, 1.832358
10240, 155, 50, 0.610000, 0.500000, 16, 100, 1.179569, 1.830322
12288, 155, 50, 0.610000, 0.500000, 16, 100, 1.165403, 1.813841
14336, 155, 50, 0.610000, 0.500000, 16, 100, 1.167192, 1.818173
16384, 155, 50, 0.610000, 0.500000, 16, 100, 1.155056, 1.804288
18432, 155, 50, 0.610000, 0.500000, 16, 100, 1.163793, 1.815651
20480, 155, 50, 0.610000, 0.500000, 16, 100, 1.159642, 1.813471
22528, 155, 50, 0.610000, 0.500000, 16, 100, 1.149434, 1.801378
24576, 155, 50, 0.610000, 0.500000, 16, 100, 1.156545, 1.805991
26624, 155, 50, 0.610000, 0.500000, 16, 100, 1.139468, 1.785443
28672, 155, 50, 0.610000, 0.500000, 16, 100, 1.155310, 1.806060
30720, 155, 50, 0.610000, 0.500000, 16, 100, 1.143469, 1.793829
32768, 155, 50, 0.610000, 0.500000, 16, 100, 1.150315, 1.802233
34816, 155, 50, 0.610000, 0.500000, 16, 100, 1.154110, 1.807445
36864, 155, 50, 0.610000, 0.500000, 16, 100, 1.152762, 1.802855
38912, 155, 50, 0.610000, 0.500000, 16, 100, 1.160221, 1.810602
40960, 155, 50, 0.610000, 0.500000, 16, 100, 1.151087, 1.801149
43008, 155, 50, 0.610000, 0.500000, 16, 100, 1.141343, 1.789611
45056, 155, 50, 0.610000, 0.500000, 16, 100, 1.149124, 1.799303
47104, 155, 50, 0.610000, 0.500000, 16, 100, 1.144250, 1.795352
49152, 155, 50, 0.610000, 0.500000, 16, 100, 1.143998, 1.795218
51200, 155, 50, 0.610000, 0.500000, 16, 100, 1.144194, 1.795223
0, 155, 50, 0.620000, 0.500000, 16, 100, 1.241578, 1.944910
2048, 155, 50, 0.620000, 0.500000, 16, 100, 1.214138, 1.919438
4096, 155, 50, 0.620000, 0.500000, 16, 100, 1.172637, 1.876492
6144, 155, 50, 0.620000, 0.500000, 16, 100, 1.157827, 1.856309
8192, 155, 50, 0.620000, 0.500000, 16, 100, 1.155414, 1.853399
10240, 155, 50, 0.620000, 0.500000, 16, 100, 1.145213, 1.842092
12288, 155, 50, 0.620000, 0.500000, 16, 100, 1.135889, 1.833141
14336, 155, 50, 0.620000, 0.500000, 16, 100, 1.124673, 1.821697
