tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 0.335227, 0.344861, 0.558652, 4.729825
256, 0.312397, 0.323717, 0.538237, 4.706406
512, 0.272683, 0.305466, 0.497395, 4.699165
768, 0.257226, 0.304018, 0.481228, 4.696378
1024, 0.233095, 0.293008, 0.457331, 4.683735
1280, 0.224938, 0.297530, 0.448274, 4.691309
1536, 0.209934, 0.295421, 0.433206, 4.685119
1792, 0.199368, 0.300218, 0.424659, 4.682836
2048, 0.193202, 0.305322, 0.419725, 4.693222
2304, 0.187636, 0.312548, 0.413661, 4.697776
2560, 0.176255, 0.307297, 0.400314, 4.697952
2816, 0.170917, 0.316677, 0.396129, 4.707269
3072, 0.164654, 0.321755, 0.389743, 4.715713
3328, 0.158988, 0.322718, 0.383257, 4.707113
3584, 0.156303, 0.332265, 0.383439, 4.725184
3840, 0.148422, 0.333641, 0.373572, 4.721784
4096, 0.140228, 0.327295, 0.368005, 4.716457
4352, 0.142119, 0.343667, 0.368073, 4.737132
4608, 0.131088, 0.333147, 0.356396, 4.718209
4864, 0.129708, 0.344841, 0.353595, 4.728618
5120, 0.124783, 0.344487, 0.350430, 4.735275
5376, 0.118533, 0.341899, 0.342161, 4.722479
5632, 0.119384, 0.353617, 0.345797, 4.746947
5888, 0.113015, 0.349154, 0.338094, 4.737011
6144, 0.110781, 0.354060, 0.331774, 4.745750
6400, 0.105120, 0.353176, 0.330599, 4.738704
6656, 0.103669, 0.354415, 0.329591, 4.732201
6912, 0.103646, 0.368401, 0.329973, 4.761957
7168, 0.098089, 0.361497, 0.323285, 4.756388
7424, 0.094486, 0.362577, 0.319077, 4.743898
7680, 0.093508, 0.368102, 0.319030, 4.754498
7936, 0.089419, 0.365975, 0.313049, 4.756182
8192, 0.086648, 0.364431, 0.311193, 4.752784
8448, 0.083694, 0.358446, 0.308743, 4.752725
8704, 0.082843, 0.366662, 0.307770, 4.756104
8960, 0.082808, 0.380145, 0.308608, 4.765710
9216, 0.081304, 0.380783, 0.307580, 4.765744
9472, 0.077568, 0.375990, 0.302956, 4.766759
9728, 0.075067, 0.372733, 0.298942, 4.757628
9984, 0.076336, 0.384300, 0.303438, 4.767512
10240, 0.071252, 0.370742, 0.296626, 4.754448
10496, 0.070434, 0.371712, 0.295516, 4.764902
10752, 0.070652, 0.380034, 0.294924, 4.761965
11008, 0.067690, 0.376680, 0.290307, 4.757100
11264, 0.067330, 0.381269, 0.293044, 4.764586
11520, 0.066018, 0.385655, 0.291551, 4.773164
11776, 0.065687, 0.389637, 0.290515, 4.781081
12032, 0.066014, 0.394282, 0.293155, 4.774791
12288, 0.064997, 0.401449, 0.291639, 4.788300
12544, 0.060081, 0.382820, 0.285975, 4.771072
12800, 0.059657, 0.382107, 0.283658, 4.768059
