tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 50, 0.600000, 0.700000, 10, 100, 0.340044, 2.644239
256, 155, 50, 0.600000, 0.700000, 10, 100, 0.318057, 2.622321
512, 155, 50, 0.600000, 0.700000, 10, 100, 0.289075, 2.598280
768, 155, 50, 0.600000, 0.700000, 10, 100, 0.280622, 2.588803
1024, 155, 50, 0.600000, 0.700000, 10, 100, 0.263052, 2.570533
1280, 155, 50, 0.600000, 0.700000, 10, 100, 0.261234, 2.569791
1536, 155, 50, 0.600000, 0.700000, 10, 100, 0.252677, 2.559162
1792, 155, 50, 0.600000, 0.700000, 10, 100, 0.249793, 2.553748
2048, 155, 50, 0.600000, 0.700000, 10, 100, 0.249262, 2.556474
2304, 155, 50, 0.600000, 0.700000, 10, 100, 0.250092, 2.555718
2560, 155, 50, 0.600000, 0.700000, 10, 100, 0.241776, 2.549133
2816, 155, 50, 0.600000, 0.700000, 10, 100, 0.243797, 2.551699
3072, 155, 50, 0.600000, 0.700000, 10, 100, 0.243205, 2.552728
3328, 155, 50, 0.600000, 0.700000, 10, 100, 0.240853, 2.545185
3584, 155, 50, 0.600000, 0.700000, 10, 100, 0.244284, 2.554312
3840, 155, 50, 0.600000, 0.700000, 10, 100, 0.241032, 2.547678
4096, 155, 50, 0.600000, 0.700000, 10, 100, 0.233762, 2.542231
4352, 155, 50, 0.600000, 0.700000, 10, 100, 0.242893, 2.552603
4608, 155, 50, 0.600000, 0.700000, 10, 100, 0.232118, 2.537303
4864, 155, 50, 0.600000, 0.700000, 10, 100, 0.237275, 2.541107
5120, 155, 50, 0.600000, 0.700000, 10, 100, 0.234635, 2.542852
5376, 155, 50, 0.600000, 0.700000, 10, 100, 0.230216, 2.532320
5632, 155, 50, 0.600000, 0.700000, 10, 100, 0.236501, 2.546372
5888, 155, 50, 0.600000, 0.700000, 10, 100, 0.231084, 2.537552
6144, 155, 50, 0.600000, 0.700000, 10, 100, 0.232420, 2.538762
6400, 155, 50, 0.600000, 0.700000, 10, 100, 0.229148, 2.534652
6656, 155, 50, 0.600000, 0.700000, 10, 100, 0.229042, 2.530896
6912, 155, 50, 0.600000, 0.700000, 10, 100, 0.236024, 2.545965
7168, 155, 50, 0.600000, 0.700000, 10, 100, 0.229793, 2.539836
7424, 155, 50, 0.600000, 0.700000, 10, 100, 0.228532, 2.531487
7680, 155, 50, 0.600000, 0.700000, 10, 100, 0.230805, 2.536764
7936, 155, 50, 0.600000, 0.700000, 10, 100, 0.227697, 2.534615
8192, 155, 50, 0.600000, 0.700000, 10, 100, 0.225539, 2.531989
8448, 155, 50, 0.600000, 0.700000, 10, 100, 0.221070, 2.530734
8704, 155, 50, 0.600000, 0.700000, 10, 100, 0.224753, 2.531937
8960, 155, 50, 0.600000, 0.700000, 10, 100, 0.231477, 2.537159
9216, 155, 50, 0.600000, 0.700000, 10, 100, 0.231044, 2.536662
9472, 155, 50, 0.600000, 0.700000, 10, 100, 0.226779, 2.534858
9728, 155, 50, 0.600000, 0.700000, 10, 100, 0.223900, 2.528285
9984, 155, 50, 0.600000, 0.700000, 10, 100, 0.230318, 2.535475
10240, 155, 50, 0.600000, 0.700000, 10, 100, 0.220997, 2.525537
