tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 155, 0, 0.968750, 1, 100, 0.000041
0, 155, 0, 0.978750, 1, 100, 0.000171
0, 155, 0, 0.988750, 1, 100, 0.001571
0, 155, 0, 0.998750, 1, 100, 0.011965
32, 155, 0, 0.968750, 1, 100, 0.000077
32, 155, 0, 0.978750, 1, 100, 0.000150
32, 155, 0, 0.988750, 1, 100, 0.001301
32, 155, 0, 0.998750, 1, 100, 0.013133
64, 155, 0, 0.968750, 1, 100, 0.000020
64, 155, 0, 0.978750, 1, 100, 0.000365
64, 155, 0, 0.988750, 1, 100, 0.001662
64, 155, 0, 0.998750, 1, 100, 0.015000
96, 155, 0, 0.968750, 1, 100, 0.000055
96, 155, 0, 0.978750, 1, 100, 0.000274
96, 155, 0, 0.988750, 1, 100, 0.001335
96, 155, 0, 0.998750, 1, 100, 0.014745
128, 155, 0, 0.968750, 1, 100, 0.000024
128, 155, 0, 0.978750, 1, 100, 0.000278
128, 155, 0, 0.988750, 1, 100, 0.001262
128, 155, 0, 0.998750, 1, 100, 0.015919
160, 155, 0, 0.968750, 1, 100, 0.000006
160, 155, 0, 0.978750, 1, 100, 0.000059
160, 155, 0, 0.988750, 1, 100, 0.000701
160, 155, 0, 0.998750, 1, 100, 0.008617
192, 155, 0, 0.968750, 1, 100, 0.000000
192, 155, 0, 0.978750, 1, 100, 0.000067
192, 155, 0, 0.988750, 1, 100, 0.000663
192, 155, 0, 0.998750, 1, 100, 0.014117
224, 155, 0, 0.968750, 1, 100, 0.000000
224, 155, 0, 0.978750, 1, 100, 0.000066
224, 155, 0, 0.988750, 1, 100, 0.000655
224, 155, 0, 0.998750, 1, 100, 0.013475
256, 155, 0, 0.968750, 1, 100, 0.000054
256, 155, 0, 0.978750, 1, 100, 0.000108
256, 155, 0, 0.988750, 1, 100, 0.000658
256, 155, 0, 0.998750, 1, 100, 0.010601
288, 155, 0, 0.968750, 1, 100, 0.000015
288, 155, 0, 0.978750, 1, 100, 0.000041
288, 155, 0, 0.988750, 1, 100, 0.000409
288, 155, 0, 0.998750, 1, 100, 0.010172
320, 155, 0, 0.968750, 1, 100, 0.000000
320, 155, 0, 0.978750, 1, 100, 0.000046
320, 155, 0, 0.988750, 1, 100, 0.000627
320, 155, 0, 0.998750, 1, 100, 0.011584
352, 155, 0, 0.968750, 1, 100, 0.000000
352, 155, 0, 0.978750, 1, 100, 0.000052
352, 155, 0, 0.988750, 1, 100, 0.000360
352, 155, 0, 0.998750, 1, 100, 0.009128
384, 155, 0, 0.968750, 1, 100, 0.000000
384, 155, 0, 0.978750, 1, 100, 0.000051
384, 155, 0, 0.988750, 1, 100, 0.000716
384, 155, 0, 0.998750, 1, 100, 0.010960
416, 155, 0, 0.968750, 1, 100, 0.000000
416, 155, 0, 0.978750, 1, 100, 0.000042
416, 155, 0, 0.988750, 1, 100, 0.000564
416, 155, 0, 0.998750, 1, 100, 0.010416
448, 155, 0, 0.968750, 1, 100, 0.000003
448, 155, 0, 0.978750, 1, 100, 0.000045
448, 155, 0, 0.988750, 1, 100, 0.000408
448, 155, 0, 0.998750, 1, 100, 0.012286
480, 155, 0, 0.968750, 1, 100, 0.000000
480, 155, 0, 0.978750, 1, 100, 0.000015
480, 155, 0, 0.988750, 1, 100, 0.000664
480, 155, 0, 0.998750, 1, 100, 0.010893
512, 155, 0, 0.968750, 1, 100, 0.000000
512, 155, 0, 0.978750, 1, 100, 0.000068
512, 155, 0, 0.988750, 1, 100, 0.000337
512, 155, 0, 0.998750, 1, 100, 0.008668
544, 155, 0, 0.968750, 1, 100, 0.000000
544, 155, 0, 0.978750, 1, 100, 0.000048
544, 155, 0, 0.988750, 1, 100, 0.000357
544, 155, 0, 0.998750, 1, 100, 0.008977
576, 155, 0, 0.968750, 1, 100, 0.000010
576, 155, 0, 0.978750, 1, 100, 0.000077
576, 155, 0, 0.988750, 1, 100, 0.000562
576, 155, 0, 0.998750, 1, 100, 0.011009
608, 155, 0, 0.968750, 1, 100, 0.000001
608, 155, 0, 0.978750, 1, 100, 0.000046
608, 155, 0, 0.988750, 1, 100, 0.000765
608, 155, 0, 0.998750, 1, 100, 0.011099
640, 155, 0, 0.968750, 1, 100, 0.000000
640, 155, 0, 0.978750, 1, 100, 0.000078
640, 155, 0, 0.988750, 1, 100, 0.000756
640, 155, 0, 0.998750, 1, 100, 0.012644
672, 155, 0, 0.968750, 1, 100, 0.000000
672, 155, 0, 0.978750, 1, 100, 0.000092
672, 155, 0, 0.988750, 1, 100, 0.000639
672, 155, 0, 0.998750, 1, 100, 0.009118
704, 155, 0, 0.968750, 1, 100, 0.000000
704, 155, 0, 0.978750, 1, 100, 0.000030
704, 155, 0, 0.988750, 1, 100, 0.000668
704, 155, 0, 0.998750, 1, 100, 0.009604
736, 155, 0, 0.968750, 1, 100, 0.000000
736, 155, 0, 0.978750, 1, 100, 0.000059
