tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
0, 155, 0, 0.968750, 1, 100, 0.000041, 0.000000
0, 155, 0, 0.978750, 1, 100, 0.000171, 0.000000
0, 155, 0, 0.988750, 1, 100, 0.001571, 0.000000
0, 155, 0, 0.998750, 1, 100, 0.011965, 0.000000
32, 155, 0, 0.968750, 1, 100, 0.000077, 0.000000
32, 155, 0, 0.978750, 1, 100, 0.000150, 0.000000
32, 155, 0, 0.988750, 1, 100, 0.001301, 0.000000
32, 155, 0, 0.998750, 1, 100, 0.013133, 0.000000
64, 155, 0, 0.968750, 1, 100, 0.000020, 0.000000
64, 155, 0, 0.978750, 1, 100, 0.000365, 0.000000
64, 155, 0, 0.988750, 1, 100, 0.001662, 0.000000
64, 155, 0, 0.998750, 1, 100, 0.015000, 0.000000
96, 155, 0, 0.968750, 1, 100, 0.000055, 0.000000
96, 155, 0, 0.978750, 1, 100, 0.000274, 0.000000
96, 155, 0, 0.988750, 1, 100, 0.001335, 0.000000
96, 155, 0, 0.998750, 1, 100, 0.014745, 0.000000
128, 155, 0, 0.968750, 1, 100, 0.000024, 0.000000
128, 155, 0, 0.978750, 1, 100, 0.000278, 0.000000
128, 155, 0, 0.988750, 1, 100, 0.001262, 0.000000
128, 155, 0, 0.998750, 1, 100, 0.015919, 0.000000
160, 155, 0, 0.968750, 1, 100, 0.000006, 0.000000
160, 155, 0, 0.978750, 1, 100, 0.000059, 0.000000
160, 155, 0, 0.988750, 1, 100, 0.000701, 0.000000
160, 155, 0, 0.998750, 1, 100, 0.008617, 0.000000
192, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
192, 155, 0, 0.978750, 1, 100, 0.000067, 0.000000
192, 155, 0, 0.988750, 1, 100, 0.000663, 0.000000
192, 155, 0, 0.998750, 1, 100, 0.014117, 0.000000
224, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
224, 155, 0, 0.978750, 1, 100, 0.000066, 0.000000
224, 155, 0, 0.988750, 1, 100, 0.000655, 0.000000
224, 155, 0, 0.998750, 1, 100, 0.013475, 0.000000
256, 155, 0, 0.968750, 1, 100, 0.000054, 0.000000
256, 155, 0, 0.978750, 1, 100, 0.000108, 0.000000
256, 155, 0, 0.988750, 1, 100, 0.000658, 0.000000
256, 155, 0, 0.998750, 1, 100, 0.010601, 0.000000
288, 155, 0, 0.968750, 1, 100, 0.000015, 0.000000
288, 155, 0, 0.978750, 1, 100, 0.000041, 0.000000
288, 155, 0, 0.988750, 1, 100, 0.000409, 0.000000
288, 155, 0, 0.998750, 1, 100, 0.010172, 0.000000
320, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
320, 155, 0, 0.978750, 1, 100, 0.000046, 0.000000
320, 155, 0, 0.988750, 1, 100, 0.000627, 0.000000
320, 155, 0, 0.998750, 1, 100, 0.011584, 0.000000
352, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
352, 155, 0, 0.978750, 1, 100, 0.000052, 0.000000
352, 155, 0, 0.988750, 1, 100, 0.000360, 0.000000
352, 155, 0, 0.998750, 1, 100, 0.009128, 0.000000
384, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
384, 155, 0, 0.978750, 1, 100, 0.000051, 0.000000
384, 155, 0, 0.988750, 1, 100, 0.000716, 0.000000
384, 155, 0, 0.998750, 1, 100, 0.010960, 0.000000
416, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
416, 155, 0, 0.978750, 1, 100, 0.000042, 0.000000
416, 155, 0, 0.988750, 1, 100, 0.000564, 0.000000
416, 155, 0, 0.998750, 1, 100, 0.010416, 0.000000
448, 155, 0, 0.968750, 1, 100, 0.000003, 0.000000
448, 155, 0, 0.978750, 1, 100, 0.000045, 0.000000
448, 155, 0, 0.988750, 1, 100, 0.000408, 0.000000
448, 155, 0, 0.998750, 1, 100, 0.012286, 0.000000
480, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
480, 155, 0, 0.978750, 1, 100, 0.000015, 0.000000
480, 155, 0, 0.988750, 1, 100, 0.000664, 0.000000
480, 155, 0, 0.998750, 1, 100, 0.010893, 0.000000
512, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
512, 155, 0, 0.978750, 1, 100, 0.000068, 0.000000
512, 155, 0, 0.988750, 1, 100, 0.000337, 0.000000
512, 155, 0, 0.998750, 1, 100, 0.008668, 0.000000
544, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
544, 155, 0, 0.978750, 1, 100, 0.000048, 0.000000
544, 155, 0, 0.988750, 1, 100, 0.000357, 0.000000
544, 155, 0, 0.998750, 1, 100, 0.008977, 0.000000
576, 155, 0, 0.968750, 1, 100, 0.000010, 0.000000
576, 155, 0, 0.978750, 1, 100, 0.000077, 0.000000
576, 155, 0, 0.988750, 1, 100, 0.000562, 0.000000
576, 155, 0, 0.998750, 1, 100, 0.011009, 0.000000
608, 155, 0, 0.968750, 1, 100, 0.000001, 0.000000
608, 155, 0, 0.978750, 1, 100, 0.000046, 0.000000
608, 155, 0, 0.988750, 1, 100, 0.000765, 0.000000
608, 155, 0, 0.998750, 1, 100, 0.011099, 0.000000
640, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
640, 155, 0, 0.978750, 1, 100, 0.000078, 0.000000
640, 155, 0, 0.988750, 1, 100, 0.000756, 0.000000
640, 155, 0, 0.998750, 1, 100, 0.012644, 0.000000
672, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
672, 155, 0, 0.978750, 1, 100, 0.000092, 0.000000
672, 155, 0, 0.988750, 1, 100, 0.000639, 0.000000
672, 155, 0, 0.998750, 1, 100, 0.009118, 0.000000
704, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
704, 155, 0, 0.978750, 1, 100, 0.000030, 0.000000
704, 155, 0, 0.988750, 1, 100, 0.000668, 0.000000
704, 155, 0, 0.998750, 1, 100, 0.009604, 0.000000
736, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
736, 155, 0, 0.978750, 1, 100, 0.000059, 0.000000
736, 155, 0, 0.988750, 1, 100, 0.000742, 0.000000
736, 155, 0, 0.998750, 1, 100, 0.009871, 0.000000
768, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
768, 155, 0, 0.978750, 1, 100, 0.000028, 0.000000
768, 155, 0, 0.988750, 1, 100, 0.000750, 0.000000
768, 155, 0, 0.998750, 1, 100, 0.009827, 0.000000
800, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
800, 155, 0, 0.978750, 1, 100, 0.000011, 0.000000
800, 155, 0, 0.988750, 1, 100, 0.000977, 0.000000
800, 155, 0, 0.998750, 1, 100, 0.011816, 0.000000
832, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
832, 155, 0, 0.978750, 1, 100, 0.000011, 0.000000
832, 155, 0, 0.988750, 1, 100, 0.000738, 0.000000
832, 155, 0, 0.998750, 1, 100, 0.009408, 0.000000
864, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
864, 155, 0, 0.978750, 1, 100, 0.000054, 0.000000
864, 155, 0, 0.988750, 1, 100, 0.000484, 0.000000
864, 155, 0, 0.998750, 1, 100, 0.012465, 0.000000
896, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
896, 155, 0, 0.978750, 1, 100, 0.000028, 0.000000
896, 155, 0, 0.988750, 1, 100, 0.000622, 0.000000
896, 155, 0, 0.998750, 1, 100, 0.008435, 0.000000
928, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
928, 155, 0, 0.978750, 1, 100, 0.000002, 0.000000
928, 155, 0, 0.988750, 1, 100, 0.000814, 0.000000
928, 155, 0, 0.998750, 1, 100, 0.009799, 0.000000
960, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
960, 155, 0, 0.978750, 1, 100, 0.000075, 0.000000
960, 155, 0, 0.988750, 1, 100, 0.000886, 0.000000
960, 155, 0, 0.998750, 1, 100, 0.009895, 0.000000
992, 155, 0, 0.968750, 1, 100, 0.000004, 0.000000
992, 155, 0, 0.978750, 1, 100, 0.000015, 0.000000
992, 155, 0, 0.988750, 1, 100, 0.000646, 0.000000
992, 155, 0, 0.998750, 1, 100, 0.011606, 0.000000
1024, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1024, 155, 0, 0.978750, 1, 100, 0.000036, 0.000000
1024, 155, 0, 0.988750, 1, 100, 0.000798, 0.000000
1024, 155, 0, 0.998750, 1, 100, 0.011464, 0.000000
1056, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1056, 155, 0, 0.978750, 1, 100, 0.000066, 0.000000
1056, 155, 0, 0.988750, 1, 100, 0.000699, 0.000000
1056, 155, 0, 0.998750, 1, 100, 0.008930, 0.000000
1088, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1088, 155, 0, 0.978750, 1, 100, 0.000070, 0.000000
1088, 155, 0, 0.988750, 1, 100, 0.000497, 0.000000
1088, 155, 0, 0.998750, 1, 100, 0.010022, 0.000000
1120, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1120, 155, 0, 0.978750, 1, 100, 0.000002, 0.000000
1120, 155, 0, 0.988750, 1, 100, 0.000510, 0.000000
1120, 155, 0, 0.998750, 1, 100, 0.011209, 0.000000
1152, 155, 0, 0.968750, 1, 100, 0.000000, 0.000000
1152, 155, 0, 0.978750, 1, 100, 0.000132, 0.000000
1152, 155, 0, 0.988750, 1, 100, 0.000477, 0.000000
