tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 155, 50, 0.700000, 2, 100, 2.084862
0, 155, 50, 0.800000, 2, 100, 2.225795
0, 155, 50, 0.900000, 2, 100, 2.614136
0, 155, 50, 0.600000, 2, 100, 2.036273
0, 155, 50, 0.800000, 2, 100, 2.309226
0, 155, 50, 0.900000, 2, 100, 2.693241
0, 155, 50, 0.600000, 2, 100, 2.168708
0, 155, 50, 0.700000, 2, 100, 2.268298
0, 155, 50, 0.900000, 2, 100, 2.839406
0, 155, 50, 0.600000, 2, 100, 2.522086
0, 155, 50, 0.700000, 2, 100, 2.634026
0, 155, 50, 0.800000, 2, 100, 2.781214
64, 155, 50, 0.700000, 2, 100, 2.065704
64, 155, 50, 0.800000, 2, 100, 2.220950
64, 155, 50, 0.900000, 2, 100, 2.598689
64, 155, 50, 0.600000, 2, 100, 2.048357
64, 155, 50, 0.800000, 2, 100, 2.309188
64, 155, 50, 0.900000, 2, 100, 2.686119
64, 155, 50, 0.600000, 2, 100, 2.166502
64, 155, 50, 0.700000, 2, 100, 2.267684
64, 155, 50, 0.900000, 2, 100, 2.843118
64, 155, 50, 0.600000, 2, 100, 2.531807
64, 155, 50, 0.700000, 2, 100, 2.626856
64, 155, 50, 0.800000, 2, 100, 2.794585
128, 155, 50, 0.700000, 2, 100, 2.069478
128, 155, 50, 0.800000, 2, 100, 2.230511
128, 155, 50, 0.900000, 2, 100, 2.632684
128, 155, 50, 0.600000, 2, 100, 2.052547
128, 155, 50, 0.800000, 2, 100, 2.317043
128, 155, 50, 0.900000, 2, 100, 2.706500
128, 155, 50, 0.600000, 2, 100, 2.178415
128, 155, 50, 0.700000, 2, 100, 2.263649
128, 155, 50, 0.900000, 2, 100, 2.836362
128, 155, 50, 0.600000, 2, 100, 2.520593
128, 155, 50, 0.700000, 2, 100, 2.630381
128, 155, 50, 0.800000, 2, 100, 2.793732
192, 155, 50, 0.700000, 2, 100, 2.074738
192, 155, 50, 0.800000, 2, 100, 2.213741
192, 155, 50, 0.900000, 2, 100, 2.617236
192, 155, 50, 0.600000, 2, 100, 2.033807
192, 155, 50, 0.800000, 2, 100, 2.291490
192, 155, 50, 0.900000, 2, 100, 2.683080
192, 155, 50, 0.600000, 2, 100, 2.148776
192, 155, 50, 0.700000, 2, 100, 2.264549
192, 155, 50, 0.900000, 2, 100, 2.823319
192, 155, 50, 0.600000, 2, 100, 2.482677
192, 155, 50, 0.700000, 2, 100, 2.589394
192, 155, 50, 0.800000, 2, 100, 2.778186
256, 155, 50, 0.700000, 2, 100, 2.058770
256, 155, 50, 0.800000, 2, 100, 2.224910
256, 155, 50, 0.900000, 2, 100, 2.613908
256, 155, 50, 0.600000, 2, 100, 2.026046
256, 155, 50, 0.800000, 2, 100, 2.279452
256, 155, 50, 0.900000, 2, 100, 2.670886
256, 155, 50, 0.600000, 2, 100, 2.141690
256, 155, 50, 0.700000, 2, 100, 2.250212
256, 155, 50, 0.900000, 2, 100, 2.817329
256, 155, 50, 0.600000, 2, 100, 2.496741
256, 155, 50, 0.700000, 2, 100, 2.602779
256, 155, 50, 0.800000, 2, 100, 2.768689
320, 155, 50, 0.700000, 2, 100, 2.071597
320, 155, 50, 0.800000, 2, 100, 2.199935
320, 155, 50, 0.900000, 2, 100, 2.614208
320, 155, 50, 0.600000, 2, 100, 2.023837
320, 155, 50, 0.800000, 2, 100, 2.288923
320, 155, 50, 0.900000, 2, 100, 2.673343
320, 155, 50, 0.600000, 2, 100, 2.159711
320, 155, 50, 0.700000, 2, 100, 2.240661
320, 155, 50, 0.900000, 2, 100, 2.809790
320, 155, 50, 0.600000, 2, 100, 2.453385
320, 155, 50, 0.700000, 2, 100, 2.590034
320, 155, 50, 0.800000, 2, 100, 2.750059
384, 155, 50, 0.700000, 2, 100, 2.052746
384, 155, 50, 0.800000, 2, 100, 2.214652
384, 155, 50, 0.900000, 2, 100, 2.610665
384, 155, 50, 0.600000, 2, 100, 2.021208
384, 155, 50, 0.800000, 2, 100, 2.274451
384, 155, 50, 0.900000, 2, 100, 2.692953
384, 155, 50, 0.600000, 2, 100, 2.116926
384, 155, 50, 0.700000, 2, 100, 2.228074
384, 155, 50, 0.900000, 2, 100, 2.807406
