tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,regular_loss,naughty_loss
0, 155, 50, 0.700000, 2, 100, 1.120925, 0.963937
0, 155, 50, 0.800000, 2, 100, 1.241345, 0.984450
0, 155, 50, 0.900000, 2, 100, 1.508565, 1.105571
0, 155, 50, 0.600000, 2, 100, 1.008025, 1.028249
0, 155, 50, 0.800000, 2, 100, 1.244270, 1.064956
0, 155, 50, 0.900000, 2, 100, 1.504584, 1.188658
0, 155, 50, 0.600000, 2, 100, 1.031600, 1.137108
0, 155, 50, 0.700000, 2, 100, 1.129445, 1.138853
0, 155, 50, 0.900000, 2, 100, 1.532840, 1.306566
0, 155, 50, 0.600000, 2, 100, 1.149731, 1.372355
0, 155, 50, 0.700000, 2, 100, 1.256333, 1.377692
0, 155, 50, 0.800000, 2, 100, 1.385141, 1.396073
64, 155, 50, 0.700000, 2, 100, 1.109662, 0.956042
64, 155, 50, 0.800000, 2, 100, 1.238945, 0.982004
64, 155, 50, 0.900000, 2, 100, 1.499568, 1.099122
64, 155, 50, 0.600000, 2, 100, 1.014394, 1.033962
64, 155, 50, 0.800000, 2, 100, 1.244026, 1.065162
64, 155, 50, 0.900000, 2, 100, 1.501510, 1.184609
64, 155, 50, 0.600000, 2, 100, 1.030049, 1.136453
64, 155, 50, 0.700000, 2, 100, 1.128559, 1.139126
64, 155, 50, 0.900000, 2, 100, 1.534473, 1.308646
64, 155, 50, 0.600000, 2, 100, 1.153053, 1.378755
64, 155, 50, 0.700000, 2, 100, 1.252157, 1.374698
64, 155, 50, 0.800000, 2, 100, 1.392479, 1.402106
128, 155, 50, 0.700000, 2, 100, 1.112043, 0.957436
128, 155, 50, 0.800000, 2, 100, 1.244116, 0.986395
128, 155, 50, 0.900000, 2, 100, 1.519451, 1.113233
128, 155, 50, 0.600000, 2, 100, 1.017283, 1.035263
128, 155, 50, 0.800000, 2, 100, 1.247239, 1.069804
128, 155, 50, 0.900000, 2, 100, 1.512666, 1.193833
128, 155, 50, 0.600000, 2, 100, 1.036051, 1.142363
128, 155, 50, 0.700000, 2, 100, 1.127703, 1.135946
128, 155, 50, 0.900000, 2, 100, 1.530240, 1.306123
128, 155, 50, 0.600000, 2, 100, 1.146398, 1.374195
128, 155, 50, 0.700000, 2, 100, 1.255652, 1.374729
128, 155, 50, 0.800000, 2, 100, 1.390613, 1.403118
192, 155, 50, 0.700000, 2, 100, 1.120517, 0.954221
192, 155, 50, 0.800000, 2, 100, 1.255162, 0.958580
192, 155, 50, 0.900000, 2, 100, 1.547529, 1.069707
192, 155, 50, 0.600000, 2, 100, 0.990638, 1.043169
192, 155, 50, 0.800000, 2, 100, 1.242851, 1.048639
192, 155, 50, 0.900000, 2, 100, 1.523372, 1.159708
192, 155, 50, 0.600000, 2, 100, 0.993293, 1.155484
192, 155, 50, 0.700000, 2, 100, 1.110047, 1.154501
192, 155, 50, 0.900000, 2, 100, 1.534658, 1.288661
192, 155, 50, 0.600000, 2, 100, 1.084620, 1.398056
192, 155, 50, 0.700000, 2, 100, 1.203765, 1.385629
192, 155, 50, 0.800000, 2, 100, 1.366364, 1.411821
256, 155, 50, 0.700000, 2, 100, 1.113608, 0.945162
256, 155, 50, 0.800000, 2, 100, 1.263882, 0.961028
256, 155, 50, 0.900000, 2, 100, 1.553114, 1.060794
256, 155, 50, 0.600000, 2, 100, 0.986129, 1.039917
256, 155, 50, 0.800000, 2, 100, 1.236735, 1.042717
256, 155, 50, 0.900000, 2, 100, 1.522347, 1.148539
256, 155, 50, 0.600000, 2, 100, 0.988434, 1.153256
256, 155, 50, 0.700000, 2, 100, 1.102542, 1.147670
256, 155, 50, 0.900000, 2, 100, 1.535703, 1.281626
256, 155, 50, 0.600000, 2, 100, 1.085083, 1.411658
256, 155, 50, 0.700000, 2, 100, 1.204465, 1.398313
256, 155, 50, 0.800000, 2, 100, 1.357027, 1.411662
320, 155, 50, 0.700000, 2, 100, 1.123253, 0.948344
320, 155, 50, 0.800000, 2, 100, 1.255777, 0.944158
320, 155, 50, 0.900000, 2, 100, 1.570323, 1.043884
320, 155, 50, 0.600000, 2, 100, 0.978878, 1.044958
320, 155, 50, 0.800000, 2, 100, 1.245371, 1.043552
320, 155, 50, 0.900000, 2, 100, 1.535284, 1.138059
320, 155, 50, 0.600000, 2, 100, 0.984382, 1.175329
320, 155, 50, 0.700000, 2, 100, 1.089609, 1.151052
320, 155, 50, 0.900000, 2, 100, 1.539116, 1.270674
320, 155, 50, 0.600000, 2, 100, 1.046204, 1.407182
320, 155, 50, 0.700000, 2, 100, 1.181184, 1.408850
320, 155, 50, 0.800000, 2, 100, 1.336056, 1.414003
384, 155, 50, 0.700000, 2, 100, 1.110205, 0.942541
384, 155, 50, 0.800000, 2, 100, 1.282513, 0.932139
384, 155, 50, 0.900000, 2, 100, 1.610692, 0.999973
384, 155, 50, 0.600000, 2, 100, 0.946389, 1.074819
384, 155, 50, 0.800000, 2, 100, 1.247416, 1.027035
384, 155, 50, 0.900000, 2, 100, 1.582269, 1.110684
384, 155, 50, 0.600000, 2, 100, 0.918577, 1.198349
384, 155, 50, 0.700000, 2, 100, 1.056093, 1.171981
384, 155, 50, 0.900000, 2, 100, 1.556533, 1.250873
384, 155, 50, 0.600000, 2, 100, 0.967289, 1.461075
384, 155, 50, 0.700000, 2, 100, 1.116010, 1.440075
384, 155, 50, 0.800000, 2, 100, 1.310831, 1.438043
448, 155, 50, 0.700000, 2, 100, 1.115174, 0.944694
448, 155, 50, 0.800000, 2, 100, 1.286005, 0.921446
448, 155, 50, 0.900000, 2, 100, 1.624403, 0.987457
448, 155, 50, 0.600000, 2, 100, 0.939517, 1.081737
448, 155, 50, 0.800000, 2, 100, 1.255747, 1.031236
448, 155, 50, 0.900000, 2, 100, 1.569788, 1.085093
448, 155, 50, 0.600000, 2, 100, 0.910854, 1.210569
448, 155, 50, 0.700000, 2, 100, 1.040951, 1.164997
448, 155, 50, 0.900000, 2, 100, 1.562734, 1.244758
448, 155, 50, 0.600000, 2, 100, 0.957045, 1.485531
448, 155, 50, 0.700000, 2, 100, 1.102922, 1.447250
448, 155, 50, 0.800000, 2, 100, 1.288322, 1.429863
512, 155, 50, 0.700000, 2, 100, 1.104040, 0.940245
512, 155, 50, 0.800000, 2, 100, 1.291676, 0.918339
512, 155, 50, 0.900000, 2, 100, 1.628796, 0.962571
512, 155, 50, 0.600000, 2, 100, 0.914794, 1.081685
512, 155, 50, 0.800000, 2, 100, 1.249950, 1.022829
512, 155, 50, 0.900000, 2, 100, 1.592658, 1.081725
512, 155, 50, 0.600000, 2, 100, 0.889068, 1.226352
512, 155, 50, 0.700000, 2, 100, 1.029253, 1.180134
512, 155, 50, 0.900000, 2, 100, 1.555429, 1.229786
512, 155, 50, 0.600000, 2, 100, 0.918022, 1.501974
512, 155, 50, 0.700000, 2, 100, 1.072108, 1.459745
512, 155, 50, 0.800000, 2, 100, 1.271371, 1.439592
576, 155, 50, 0.700000, 2, 100, 1.105954, 0.942147
576, 155, 50, 0.800000, 2, 100, 1.298999, 0.915954
576, 155, 50, 0.900000, 2, 100, 1.657751, 0.967627
576, 155, 50, 0.600000, 2, 100, 0.914068, 1.091925
576, 155, 50, 0.800000, 2, 100, 1.253715, 1.021618
576, 155, 50, 0.900000, 2, 100, 1.593882, 1.072476
576, 155, 50, 0.600000, 2, 100, 0.876282, 1.225164
576, 155, 50, 0.700000, 2, 100, 1.024286, 1.181567
576, 155, 50, 0.900000, 2, 100, 1.557541, 1.222808
576, 155, 50, 0.600000, 2, 100, 0.908960, 1.512961
576, 155, 50, 0.700000, 2, 100, 1.064588, 1.470920
576, 155, 50, 0.800000, 2, 100, 1.263534, 1.444866
640, 155, 50, 0.700000, 2, 100, 1.105529, 0.948666
640, 155, 50, 0.800000, 2, 100, 1.299092, 0.913708
640, 155, 50, 0.900000, 2, 100, 1.658244, 0.953708
640, 155, 50, 0.600000, 2, 100, 0.898675, 1.092049
