tau,regular_loss,naughty_loss
0, 0.000000, 0.000000
32, 0.000000, 0.000000
64, 0.000000, 0.000000
96, 0.000000, 0.000000
128, 0.000000, 0.000000
160, 0.000000, 0.000000
192, 0.000000, 0.000000
224, 0.000000, 0.000000
256, 0.000000, 0.000000
288, 0.000000, 0.000000
320, 0.000000, 0.000000
352, 0.000000, 0.000000
384, 0.000000, 0.000000
416, 0.000000, 0.000000
448, 0.000000, 0.000000
480, 0.000000, 0.000000
512, 0.000000, 0.000000
544, 0.000000, 0.000000
576, 0.000000, 0.000000
608, 0.000000, 0.000000
640, 0.000000, 0.000000
672, 0.000000, 0.000000
704, 0.000000, 0.000000
736, 0.000000, 0.000000
768, 0.000000, 0.000000
800, 0.000000, 0.000000
832, 0.000000, 0.000000
864, 0.000000, 0.000000
896, 0.000000, 0.000000
928, 0.000000, 0.000000
960, 0.000000, 0.000000
992, 0.000000, 0.000000
1024, 0.000000, 0.000000
1056, 0.000000, 0.000000
1088, 0.000000, 0.000000
1120, 0.000000, 0.000000
1152, 0.000000, 0.000000
1184, 0.000000, 0.000000
1216, 0.000000, 0.000000
1248, 0.000000, 0.000000
1280, 0.000000, 0.000000
1312, 0.000000, 0.000000
1344, 0.000000, 0.000000
1376, 0.000000, 0.000000
1408, 0.000000, 0.000000
1440, 0.000000, 0.000000
1472, 0.000000, 0.000000
1504, 0.000000, 0.000000
1536, 0.000000, 0.000000
1568, 0.000000, 0.000000
1600, 0.000000, 0.000000
1632, 0.000000, 0.000000
1664, 0.000000, 0.000000
1696, 0.000000, 0.000000
1728, 0.000000, 0.000000
1760, 0.000000, 0.000000
1792, 0.000000, 0.000000
1824, 0.000000, 0.000000
1856, 0.000000, 0.000000
1888, 0.000000, 0.000000
1920, 0.000000, 0.000000
1952, 0.000000, 0.000000
1984, 0.000000, 0.000000
2016, 0.000000, 0.000000
2048, 0.000000, 0.000000
2080, 0.000000, 0.000000
2112, 0.000000, 0.000000
2144, 0.000000, 0.000000
2176, 0.000000, 0.000000
2208, 0.000000, 0.000000
2240, 0.000000, 0.000000
2272, 0.000000, 0.000000
2304, 0.000000, 0.000000
2336, 0.000000, 0.000000
2368, 0.000000, 0.000000
2400, 0.000000, 0.000000
2432, 0.000000, 0.000000
2464, 0.000000, 0.000000
2496, 0.000000, 0.000000
2528, 0.000000, 0.000000
2560, 0.000000, 0.000000
2592, 0.000000, 0.000000
2624, 0.000000, 0.000000
2656, 0.000000, 0.000000
2688, 0.000000, 0.000000
2720, 0.000000, 0.000000
2752, 0.000000, 0.000000
2784, 0.000000, 0.000000
2816, 0.000000, 0.000000
2848, 0.000000, 0.000000
2880, 0.000000, 0.000000
2912, 0.000000, 0.000000
2944, 0.000000, 0.000000
2976, 0.000000, 0.000000
3008, 0.000000, 0.000000
3040, 0.000000, 0.000000
3072, 0.000000, 0.000000
3104, 0.000000, 0.000000
3136, 0.000000, 0.000000
3168, 0.000000, 0.000000
3200, 0.000000, 0.000000
3232, 0.000000, 0.000000
3264, 0.000000, 0.000000
