tau,regular_loss,naughty_loss
512, 0.118344, 0.140178
640, 0.112993, 0.143741
768, 0.104791, 0.148488
896, 0.100282, 0.151806
904, 0.100509, 0.152097
912, 0.100304, 0.152056
914, 0.099189, 0.153478
916, 0.100019, 0.152856
918, 0.098976, 0.153745
920, 0.099328, 0.152893
928, 0.099445, 0.152627
960, 0.097699, 0.153871
992, 0.095585, 0.155667
1024, 0.096282, 0.152937
1536, 0.029947, 0.245062
2048, 0.039200, 0.220932
2560, 0.028423, 0.246098
3072, 0.030137, 0.231387
3584, 0.022545, 0.241645
4096, 0.024093, 0.239580
4608, 0.019079, 0.246736
5120, 0.016722, 0.245509
5632, 0.017717, 0.244628
10752, 0.014173, 0.228540
15872, 0.010917, 0.236264
20992, 0.009427, 0.234217
26112, 0.008615, 0.236033
31232, 0.004943, 0.252441
36352, 0.009309, 0.229242
41472, 0.004461, 0.247817
46592, 0.003013, 0.259248
51200, 0.007193, 0.239049
102400, 0.004087, 0.243456
153600, 0.003409, 0.258308
204800, 0.004455, 0.242490
256000, 0.004982, 0.247695
307200, 0.003615, 0.248404
358400, 0.003088, 0.252667
409600, 0.004772, 0.234778
460800, 0.003666, 0.246702
512000, 0.003370, 0.248408
1024000, 0.001860, 0.246910
1536000, 0.000983, 0.251577
2048000, 0.001634, 0.253085
2560000, 0.001860, 0.258290
3072000, 0.002454, 0.254660
3584000, 0.002693, 0.245842
4096000, 0.003249, 0.266199
4096000, 0.003204, 0.242807
4147200, 0.003204, 0.255190
4198400, 0.003208, 0.237041
4249600, 0.003293, 0.247563
4300800, 0.003357, 0.244695
4352000, 0.003417, 0.250693
4403200, 0.003439, 0.250443
4454400, 0.003435, 0.252850
4505600, 0.003425, 0.235449
4556800, 0.003495, 0.254626
4608000, 0.003524, 0.237460
5120000, 0.003830, 0.244554
5632000, 0.004027, 0.240008
6144000, 0.004520, 0.245987
6656000, 0.005062, 0.242875
7168000, 0.006106, 0.249236
7680000, 0.006355, 0.255611
8192000, 0.006645, 0.255796
8704000, 0.006928, 0.241572
9216000, 0.007642, 0.246904
9728000, 0.008348, 0.245784
10240000, 0.008887, 0.239163
10752000, 0.009441, 0.238186
11264000, 0.010144, 0.239128
11776000, 0.010431, 0.240785
12288000, 0.010909, 0.240266
12800000, 0.012019, 0.238944
13312000, 0.012367, 0.232934
13824000, 0.013017, 0.242220
14336000, 0.013224, 0.236464
14848000, 0.013763, 0.228072
15360000, 0.014387, 0.236300
15872000, 0.014656, 0.232731
16384000, 0.015095, 0.228263
16896000, 0.015388, 0.231281
17408000, 0.015941, 0.237646
17920000, 0.016473, 0.231094
18432000, 0.016692, 0.221520
18944000, 0.017179, 0.231283
19456000, 0.017482, 0.226586
19968000, 0.018027, 0.228817
20480000, 0.018300, 0.232590
20992000, 0.018894, 0.225766
21504000, 0.019351, 0.221850
22016000, 0.019969, 0.223351
22528000, 0.020098, 0.226619
23040000, 0.020184, 0.216211
23552000, 0.020547, 0.222869
24064000, 0.020696, 0.219047
24576000, 0.021240, 0.229824
25088000, 0.021513, 0.230061
25600000, 0.022065, 0.224159
26112000, 0.022509, 0.230265
26624000, 0.022930, 0.221865
27136000, 0.023594, 0.225270
27648000, 0.024218, 0.228622
28160000, 0.024747, 0.224093
28672000, 0.025081, 0.217243
29184000, 0.025431, 0.218586
29696000, 0.025722, 0.227035
30208000, 0.025974, 0.219756
30720000, 0.026181, 0.216754
31232000, 0.026678, 0.213802
31744000, 0.027288, 0.222567
32256000, 0.027451, 0.228351
32768000, 0.028120, 0.215900
33280000, 0.028592, 0.216790
33792000, 0.029075, 0.212371
34304000, 0.029620, 0.214615
34816000, 0.030179, 0.206805
35328000, 0.030514, 0.221037
35840000, 0.031396, 0.219717
36352000, 0.032132, 0.220217
36864000, 0.032363, 0.215665
37376000, 0.032805, 0.210063
37888000, 0.033196, 0.214520
38400000, 0.033337, 0.216227
38912000, 0.034035, 0.213181
39424000, 0.034462, 0.210679
39936000, 0.034712, 0.211126
40448000, 0.035105, 0.210302
40960000, 0.035555, 0.210951
41472000, 0.036022, 0.205914
41984000, 0.036606, 0.205775
42496000, 0.037171, 0.199553
43008000, 0.037511, 0.199266
43520000, 0.037984, 0.208200
44032000, 0.038158, 0.204035
44544000, 0.039154, 0.207197
45056000, 0.039532, 0.207789
45568000, 0.040004, 0.198164
46080000, 0.040235, 0.207591
46592000, 0.040703, 0.202284
47104000, 0.040949, 0.200030
47616000, 0.041344, 0.199699
48128000, 0.041466, 0.201282
48640000, 0.041841, 0.194380
49152000, 0.042065, 0.197772
49664000, 0.042510, 0.199680
50176000, 0.042902, 0.196643
50688000, 0.043186, 0.201064
102400000, 0.085480, 0.142001
153600000, 0.089177, 0.137316
204800000, 0.089269, 0.137390
256000000, 0.089315, 0.137381
307200000, 0.089258, 0.137441
358400000, 0.089313, 0.137313
409600000, 0.089293, 0.137346
460800000, 0.089274, 0.137420
512000000, 0.089191, 0.137222
1024000000, 0.089182, 0.137412
1536000000, 0.089251, 0.137363
2048000000, 0.089260, 0.137323
2560000000, 0.089212, 0.137409
3072000000, 0.089313, 0.137336
3584000000, 0.089310, 0.137327
4096000000, 0.089299, 0.137326
4608000000, 0.089211, 0.137336
5120000000, 0.089271, 0.137225
10240000000, 0.089210, 0.137274
15360000000, 0.089207, 0.137314
20480000000, 0.089183, 0.137328
25600000000, 0.089177, 0.137291
30720000000, 0.089182, 0.137291
35840000000, 0.089128, 0.137378
40960000000, 0.089186, 0.137283
46080000000, 0.089163, 0.137324
51200000000, 0.089258, 0.137097


