tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
51200, 0.044450, 2.127106, 0.045686, 3.395910
51200, 0.050339, 2.483589, 0.051456, 3.742969
51200, 0.058666, 2.847895, 0.060026, 4.105300
51200, 0.064311, 3.191766, 0.065543, 4.441042
51200, 0.070098, 3.520033, 0.071287, 4.771046
51200, 0.074542, 3.841339, 0.075601, 5.089236
51200, 0.082041, 4.167414, 0.083185, 5.405884
51200, 0.087259, 4.453467, 0.088514, 5.686590
51200, 0.094956, 4.758759, 0.096264, 5.989366
51200, 0.096785, 5.041928, 0.097981, 6.276878
51200, 0.101550, 5.311820, 0.102647, 6.537744
51200, 0.106892, 5.576954, 0.108114, 6.802236
51200, 0.113633, 5.845262, 0.114840, 7.066130
51200, 0.123528, 6.096392, 0.124672, 7.314004
51200, 0.121718, 6.328091, 0.123007, 7.542293
51200, 0.124135, 6.555996, 0.125289, 7.767038
51200, 0.130406, 6.788089, 0.131565, 8.000024
51200, 0.132512, 7.002222, 0.133638, 8.206438
51200, 0.138004, 7.223833, 0.139094, 8.424411
51200, 0.138940, 7.427296, 0.140193, 8.625457
51200, 0.148893, 7.637223, 0.150145, 8.831767
51200, 0.150542, 7.830815, 0.151688, 9.023512
51200, 0.150808, 8.016541, 0.151943, 9.206290
51200, 0.162639, 8.215129, 0.163924, 9.404997
51200, 0.165129, 8.395654, 0.166292, 9.583219
51200, 0.165914, 8.564255, 0.167240, 9.750800
