tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
51200, 155, 50, 0.500000, 0.500000, 10, 100, 1.085778, 1.720798
51200, 155, 51, 0.500000, 0.500000, 10, 100, 1.291296, 1.934128
51200, 155, 52, 0.500000, 0.500000, 10, 100, 1.509065, 2.163568
51200, 155, 53, 0.500000, 0.500000, 10, 100, 1.721862, 2.384557
51200, 155, 54, 0.500000, 0.500000, 10, 100, 1.933063, 2.609157
51200, 155, 55, 0.500000, 0.500000, 10, 100, 2.146280, 2.833100
51200, 155, 56, 0.500000, 0.500000, 10, 100, 2.369850, 3.063896
51200, 155, 57, 0.500000, 0.500000, 10, 100, 2.575997, 3.279418
51200, 155, 58, 0.500000, 0.500000, 10, 100, 2.799962, 3.514263
51200, 155, 59, 0.500000, 0.500000, 10, 100, 3.014419, 3.743530
51200, 155, 60, 0.500000, 0.500000, 10, 100, 3.227712, 3.963705
51200, 155, 61, 0.500000, 0.500000, 10, 100, 3.443630, 4.191528
51200, 155, 62, 0.500000, 0.500000, 10, 100, 3.667243, 4.424640
51200, 155, 63, 0.500000, 0.500000, 10, 100, 3.886433, 4.653951
51200, 155, 64, 0.500000, 0.500000, 10, 100, 4.093797, 4.871350
51200, 155, 65, 0.500000, 0.500000, 10, 100, 4.304845, 5.092426
51200, 155, 66, 0.500000, 0.500000, 10, 100, 4.524477, 5.324748
51200, 155, 67, 0.500000, 0.500000, 10, 100, 4.735218, 5.542414
51200, 155, 68, 0.500000, 0.500000, 10, 100, 4.956368, 5.773109
51200, 155, 69, 0.500000, 0.500000, 10, 100, 5.167906, 5.995025
51200, 155, 70, 0.500000, 0.500000, 10, 100, 5.390724, 6.227280
51200, 155, 71, 0.500000, 0.500000, 10, 100, 5.603536, 6.450683
51200, 155, 72, 0.500000, 0.500000, 10, 100, 5.814136, 6.671072
51200, 155, 73, 0.500000, 0.500000, 10, 100, 6.040956, 6.909907
51200, 155, 74, 0.500000, 0.500000, 10, 100, 6.255718, 7.134818
51200, 155, 75, 0.500000, 0.500000, 10, 100, 6.464670, 7.354910
