tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 140, 0, 0.967500, 1, 100, 0.002603
0, 140, 0, 0.977500, 1, 100, 0.012695
0, 140, 0, 0.987500, 1, 100, 0.088199
32, 140, 0, 0.967500, 1, 100, 0.001545
32, 140, 0, 0.977500, 1, 100, 0.031842
32, 140, 0, 0.987500, 1, 100, 0.100774
64, 140, 0, 0.967500, 1, 100, 0.000407
64, 140, 0, 0.977500, 1, 100, 0.035465
64, 140, 0, 0.987500, 1, 100, 0.114270
96, 140, 0, 0.967500, 1, 100, 0.001872
96, 140, 0, 0.977500, 1, 100, 0.014905
96, 140, 0, 0.987500, 1, 100, 0.126044
128, 140, 0, 0.967500, 1, 100, 0.000489
128, 140, 0, 0.977500, 1, 100, 0.016286
128, 140, 0, 0.987500, 1, 100, 0.073508
160, 140, 0, 0.967500, 1, 100, 0.000325
160, 140, 0, 0.977500, 1, 100, 0.002033
160, 140, 0, 0.987500, 1, 100, 0.059547
192, 140, 0, 0.967500, 1, 100, 0.000000
192, 140, 0, 0.977500, 1, 100, 0.002848
192, 140, 0, 0.987500, 1, 100, 0.077958
224, 140, 0, 0.967500, 1, 100, 0.000000
224, 140, 0, 0.977500, 1, 100, 0.010175
224, 140, 0, 0.987500, 1, 100, 0.062193
256, 140, 0, 0.967500, 1, 100, 0.000000
256, 140, 0, 0.977500, 1, 100, 0.006917
256, 140, 0, 0.987500, 1, 100, 0.055256
288, 140, 0, 0.967500, 1, 100, 0.000000
288, 140, 0, 0.977500, 1, 100, 0.007731
288, 140, 0, 0.987500, 1, 100, 0.072421
320, 140, 0, 0.967500, 1, 100, 0.000000
320, 140, 0, 0.977500, 1, 100, 0.002767
320, 140, 0, 0.987500, 1, 100, 0.061365
352, 140, 0, 0.967500, 1, 100, 0.000000
352, 140, 0, 0.977500, 1, 100, 0.000000
352, 140, 0, 0.987500, 1, 100, 0.042233
384, 140, 0, 0.967500, 1, 100, 0.000000
384, 140, 0, 0.977500, 1, 100, 0.000000
