tau, regular_loss, naughty_loss
1000448, 0.003454, 0.144237
1001472, 0.002573, 0.096288
1002496, 0.002230, 0.085819
1003520, 0.002853, 0.106203
1004544, 0.002110, 0.082415
1005568, 0.001671, 0.061287
1006592, 0.003244, 0.126824
1007616, 0.002224, 0.079987
1008640, 0.002181, 0.081931
1009664, 0.001310, 0.045224
1010688, 0.002030, 0.076537
1011712, 0.001939, 0.068098
1012736, 0.002113, 0.083485
1013760, 0.002007, 0.080019
1014784, 0.002684, 0.105272
1015808, 0.002274, 0.091587
1016832, 0.003301, 0.142179
1017856, 0.001432, 0.053388
1018880, 0.001524, 0.058010
1019904, 0.001799, 0.067574
1020928, 0.001791, 0.068906
1021952, 0.001438, 0.051341
1022976, 0.001422, 0.055074
1024000, 0.001327, 0.052985
1025024, 0.003021, 0.134186
1026048, 0.001744, 0.067034
1027072, 0.001510, 0.055205
1028096, 0.001508, 0.059679
1029120, 0.001380, 0.050947
1030144, 0.003045, 0.133400
1031168, 0.000968, 0.036283
1032192, 0.002448, 0.097719
1033216, 0.001687, 0.066722
1034240, 0.001884, 0.072142
1035264, 0.001991, 0.081029
1036288, 0.001505, 0.057594
1037312, 0.001684, 0.065036
1038336, 0.002172, 0.087162
1039360, 0.001832, 0.074723
1040384, 0.002679, 0.112579
1041408, 0.001386, 0.053000
1042432, 0.001965, 0.082505
1043456, 0.002195, 0.092729
1044480, 0.001614, 0.063315
1045504, 0.002100, 0.084485
1046528, 0.002149, 0.089417
1047552, 0.002261, 0.092481
1048576, 0.003545, 0.171967
1049600, 0.002408, 0.105865
1050624, 0.001510, 0.059139
1051648, 0.002121, 0.083833
1052672, 0.000944, 0.035963
1053696, 0.002526, 0.109372
1054720, 0.002211, 0.090656
1055744, 0.001977, 0.077653
1056768, 0.001612, 0.061218
1057792, 0.001822, 0.072767
1058816, 0.001436, 0.063845
1059840, 0.002341, 0.098580
1060864, 0.001627, 0.064410
1061888, 0.002744, 0.118726
1062912, 0.002346, 0.106775
1063936, 0.004021, 0.193285
1064960, 0.001942, 0.083346
1065984, 0.002038, 0.085723
1067008, 0.001202, 0.046094
1068032, 0.001783, 0.076563
1069056, 0.002315, 0.098142
1070080, 0.002310, 0.100048
1071104, 0.000984, 0.038889
1072128, 0.001815, 0.072767
1073152, 0.001466, 0.059487
1074176, 0.001783, 0.073239
1075200, 0.001409, 0.057177
1076224, 0.002277, 0.097385
1077248, 0.002020, 0.081541
1078272, 0.001672, 0.074109
1079296, 0.002629, 0.120086
1080320, 0.001939, 0.079996
1081344, 0.002035, 0.090220
1082368, 0.001007, 0.041565
1083392, 0.002245, 0.099752
1084416, 0.002561, 0.109422
1085440, 0.002152, 0.093638
1086464, 0.001010, 0.043002
1087488, 0.001342, 0.054475
1088512, 0.002058, 0.087024
1089536, 0.002404, 0.110291
1090560, 0.002084, 0.090096
1091584, 0.002395, 0.098421
1092608, 0.002001, 0.093610
1093632, 0.002509, 0.109346
1094656, 0.001485, 0.062162
1095680, 0.001321, 0.055663
1096704, 0.002141, 0.102468
1097728, 0.001811, 0.082172
1098752, 0.001515, 0.062628
1099776, 0.001760, 0.072891
1100800, 0.001500, 0.065820
1101824, 0.001853, 0.077825
1102848, 0.001685, 0.068377
1103872, 0.002406, 0.104598
1104896, 0.002190, 0.099030
1105920, 0.001934, 0.084824
1106944, 0.001877, 0.081550
1107968, 0.001624, 0.068243
1108992, 0.003086, 0.137760
1110016, 0.001957, 0.086957
1111040, 0.002393, 0.110948
1112064, 0.002582, 0.118362
1113088, 0.001684, 0.078653
1114112, 0.001409, 0.058796
1115136, 0.002177, 0.093731
1116160, 0.001806, 0.077576
1117184, 0.002331, 0.105859
1118208, 0.001575, 0.066454
1119232, 0.002476, 0.116286
1120256, 0.001506, 0.066622
1121280, 0.001539, 0.070576
1122304, 0.001905, 0.087058
1123328, 0.000849, 0.036653
1124352, 0.001897, 0.088214
1125376, 0.001292, 0.059133
1126400, 0.001018, 0.046241
1127424, 0.001962, 0.098143
1128448, 0.001449, 0.064774
1129472, 0.002390, 0.123208
1130496, 0.001911, 0.092143
1131520, 0.001283, 0.055586
1132544, 0.002429, 0.125255
1133568, 0.001968, 0.091973
1134592, 0.001482, 0.070544
1135616, 0.002565, 0.125119
1136640, 0.001510, 0.072857
1137664, 0.002038, 0.106264
1138688, 0.001259, 0.058769
1139712, 0.001352, 0.064353
1140736, 0.001329, 0.065465
1141760, 0.002447, 0.127267
1142784, 0.001449, 0.067603
1143808, 0.001347, 0.067634
1144832, 0.001503, 0.076277
1145856, 0.001692, 0.087074
1146880, 0.001270, 0.063173
1147904, 0.001785, 0.088674
1148928, 0.002378, 0.127791
1149952, 0.002255, 0.117219
1150976, 0.002390, 0.128780
1152000, 0.002346, 0.120010
1153024, 0.001498, 0.071149
1154048, 0.001419, 0.067473
1155072, 0.001088, 0.052123
1156096, 0.001850, 0.088849
1157120, 0.002124, 0.115967
1158144, 0.001529, 0.078189
1159168, 0.001188, 0.054700
1160192, 0.001236, 0.062629
1161216, 0.001687, 0.093022
1162240, 0.001493, 0.083596
1163264, 0.001676, 0.089724
1164288, 0.002315, 0.133548
1165312, 0.002027, 0.108354
1166336, 0.001376, 0.069240
1167360, 0.001822, 0.099968
1168384, 0.001319, 0.064810
1169408, 0.002014, 0.110670
1170432, 0.002749, 0.156187
1171456, 0.001921, 0.105142
1172480, 0.002232, 0.126099
1173504, 0.001365, 0.065681
1174528, 0.001451, 0.075196
1175552, 0.001513, 0.073479
1176576, 0.001894, 0.119016
1177600, 0.001401, 0.068955
1178624, 0.001650, 0.085733
1179648, 0.001467, 0.073997
1180672, 0.001959, 0.108121
1181696, 0.001825, 0.100294
1182720, 0.002203, 0.120558
1183744, 0.002284, 0.129186
1184768, 0.001279, 0.064239
1185792, 0.001765, 0.099226
1186816, 0.001480, 0.078564
1187840, 0.001409, 0.076511
1188864, 0.001100, 0.055134
1189888, 0.001511, 0.088707
1190912, 0.001623, 0.091159
1191936, 0.001041, 0.058908
1192960, 0.001360, 0.073060
1193984, 0.001183, 0.065965
1195008, 0.000698, 0.035871
1196032, 0.001702, 0.094543
1197056, 0.001554, 0.079389
1198080, 0.001103, 0.057299
1199104, 0.001189, 0.065989
1200128, 0.001492, 0.079962
1201152, 0.001508, 0.083471
1202176, 0.000830, 0.043008
1203200, 0.001246, 0.069727
1204224, 0.002058, 0.125236
1205248, 0.001267, 0.074603
1206272, 0.001287, 0.068821
1207296, 0.001231, 0.069706
1208320, 0.001568, 0.086329
1209344, 0.002019, 0.119798
1210368, 0.001360, 0.074891
1211392, 0.001119, 0.057737
1212416, 0.001648, 0.099693
1213440, 0.001233, 0.074064
1214464, 0.001601, 0.092081
1215488, 0.001820, 0.111606
1216512, 0.001085, 0.061339
1217536, 0.002182, 0.138600
1218560, 0.002461, 0.148867
1219584, 0.001432, 0.079577
1220608, 0.001106, 0.065750
1221632, 0.001423, 0.077718
1222656, 0.001163, 0.064019
1223680, 0.001053, 0.063561
1224704, 0.001155, 0.068331
1225728, 0.001074, 0.060660
1226752, 0.001622, 0.092721
1227776, 0.002050, 0.129044
1228800, 0.001266, 0.077087
1229824, 0.001298, 0.078367
1230848, 0.001796, 0.104219
1231872, 0.001049, 0.065769
1232896, 0.000776, 0.043979
1233920, 0.002040, 0.130395
1234944, 0.001521, 0.088694
1235968, 0.001793, 0.114847
1236992, 0.001881, 0.113773
1238016, 0.000932, 0.055226
1239040, 0.001293, 0.077056
1240064, 0.001090, 0.062567
1241088, 0.001243, 0.068051
1242112, 0.000885, 0.052615
1243136, 0.001599, 0.104606
1244160, 0.001451, 0.082190
1245184, 0.001176, 0.071627
1246208, 0.001417, 0.081226
1247232, 0.001724, 0.106474
1248256, 0.001993, 0.132934
1249280, 0.001659, 0.098433
1250304, 0.002038, 0.123597
1251328, 0.001848, 0.125593
1252352, 0.001490, 0.092073
1253376, 0.000963, 0.058779
1254400, 0.001145, 0.070137
1255424, 0.002492, 0.172165
1256448, 0.001118, 0.066828
1257472, 0.001173, 0.072119
1258496, 0.001261, 0.076722
1259520, 0.001597, 0.098999
1260544, 0.001336, 0.081853
1261568, 0.001119, 0.070743
1262592, 0.001365, 0.086956
1263616, 0.001139, 0.076893
1264640, 0.000823, 0.053917
1265664, 0.001554, 0.104603
1266688, 0.001205, 0.087159
1267712, 0.001243, 0.083233
1268736, 0.000721, 0.045470
