tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001205
256, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001247
512, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001261
768, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001237
1024, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001170
1280, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001247
1536, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001172
1792, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001202
2048, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001300
2304, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001215
2560, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001252
2816, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001188
3072, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001192
3328, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001196
3584, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001213
3840, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001250
4096, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001205
4352, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001177
4608, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001245
4864, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001236
5120, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001225
5376, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001228
5632, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001278
5888, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001185
6144, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001248
6400, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001238
6656, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001273
6912, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001238
7168, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001225
7424, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001221
7680, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001264
7936, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001241
8192, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001194
8448, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001188
8704, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001224
8960, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001280
9216, 155, 50, 0.500000, 0.500000, 10, 100, 0.000000, 0.001199
