tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001212, 1.324377
256, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001242, 1.297424
512, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001252, 1.282178
768, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001199, 1.283029
1024, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001148, 1.277267
1280, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001180, 1.283871
1536, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001250, 1.295371
1792, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001260, 1.286022
2048, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001180, 1.312433
2304, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001112, 1.277679
2560, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001217, 1.317923
2816, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001186, 1.241409
3072, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001144, 1.293597
3328, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001184, 1.304032
3584, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001191, 1.327777
3840, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001309, 1.283017
4096, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001185, 1.277823
4352, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001171, 1.302967
4608, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001240, 1.294205
4864, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001222, 1.314269
5120, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001272, 1.289669
5376, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001224, 1.300468
5632, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001221, 1.293947
5888, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001189, 1.306760
6144, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001302, 1.289965
6400, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001141, 1.280688
6656, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001242, 1.297270
6912, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001269, 1.305967
7168, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001263, 1.294841
7424, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001149, 1.276726
7680, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001268, 1.316069
7936, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001298, 1.319390
8192, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001216, 1.288099
8448, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001249, 1.295136
8704, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001242, 1.266858
8960, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001122, 1.275811
9216, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001333, 1.285809
9472, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001266, 1.288554
9728, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001213, 1.317215
9984, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001200, 1.298419
10240, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001194, 1.276870
10496, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001166, 1.332481
10752, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001239, 1.293727
11008, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001277, 1.257319
11264, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001163, 1.274419
11520, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001262, 1.277087
11776, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001267, 1.282482
12032, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001168, 1.290550
12288, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001244, 1.286921
12544, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001240, 1.275416
12800, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001308, 1.312930
13056, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001230, 1.270761
13312, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001189, 1.299655
13568, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001173, 1.270221
13824, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001226, 1.262940
14080, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001196, 1.267714
14336, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001222, 1.264500
14592, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001184, 1.285959
14848, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001201, 1.302333
15104, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001261, 1.282912
15360, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001180, 1.287204
15616, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001162, 1.313150
15872, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001283, 1.282340
16128, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001205, 1.268670
16384, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001231, 1.298727
16640, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001293, 1.263860
16896, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001235, 1.267332
17152, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001146, 1.287741
17408, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001216, 1.334608
17664, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001181, 1.274893
17920, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001256, 1.303078
18176, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001177, 1.275634
18432, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001241, 1.288349
18688, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001245, 1.332373
18944, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001147, 1.294169
19200, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001215, 1.323213
19456, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001214, 1.287181
19712, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001203, 1.313265
19968, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001238, 1.317300
20224, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.000000, 0.001189, 1.293494
