tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 0.000000, 0.000000, 0.001181, 1.292074
256, 0.000000, 0.000000, 0.001266, 1.281068
512, 0.000000, 0.000000, 0.001160, 1.313965
768, 0.000000, 0.000000, 0.001224, 1.310201
1024, 0.000000, 0.000000, 0.001246, 1.251315
1280, 0.000000, 0.000000, 0.001248, 1.304418
1536, 0.000000, 0.000000, 0.001163, 1.276756
1792, 0.000000, 0.000000, 0.001180, 1.262045
2048, 0.000000, 0.000000, 0.001132, 1.326263
2304, 0.000000, 0.000000, 0.001203, 1.293544
2560, 0.000000, 0.000000, 0.001269, 1.330408
2816, 0.000000, 0.000000, 0.001255, 1.287486
3072, 0.000000, 0.000000, 0.001248, 1.300534
3328, 0.000000, 0.000000, 0.001182, 1.316074
3584, 0.000000, 0.000000, 0.001198, 1.306715
3840, 0.000000, 0.000000, 0.001244, 1.299863
4096, 0.000000, 0.000000, 0.001276, 1.297929
4352, 0.000000, 0.000000, 0.001206, 1.311954
4608, 0.000000, 0.000000, 0.001131, 1.311805
4864, 0.000000, 0.000000, 0.001181, 1.252170
5120, 0.000000, 0.000000, 0.001268, 1.287884
5376, 0.000000, 0.000000, 0.001263, 1.312513
5632, 0.000000, 0.000000, 0.001246, 1.339482
5888, 0.000000, 0.000000, 0.001192, 1.284405
6144, 0.000000, 0.000000, 0.001217, 1.300671
6400, 0.000000, 0.000000, 0.001203, 1.288338
6656, 0.000000, 0.000000, 0.001248, 1.318798
6912, 0.000000, 0.000000, 0.001234, 1.290277
7168, 0.000000, 0.000000, 0.001240, 1.306546
7424, 0.000000, 0.000000, 0.001257, 1.310442
7680, 0.000000, 0.000000, 0.001234, 1.287139
7936, 0.000000, 0.000000, 0.001191, 1.312596
8192, 0.000000, 0.000000, 0.001226, 1.279965
8448, 0.000000, 0.000000, 0.001280, 1.294101
8704, 0.000000, 0.000000, 0.001244, 1.259990
8960, 0.000000, 0.000000, 0.001266, 1.271306
9216, 0.000000, 0.000000, 0.001322, 1.279214
9472, 0.000000, 0.000000, 0.001258, 1.312789
9728, 0.000000, 0.000000, 0.001210, 1.297285
9984, 0.000000, 0.000000, 0.001230, 1.352366
10240, 0.000000, 0.000000, 0.001245, 1.279439
10496, 0.000000, 0.000000, 0.001200, 1.232673
10752, 0.000000, 0.000000, 0.001237, 1.302459
11008, 0.000000, 0.000000, 0.001280, 1.283452
11264, 0.000000, 0.000000, 0.001216, 1.299982
11520, 0.000000, 0.000000, 0.001285, 1.280472
11776, 0.000000, 0.000000, 0.001193, 1.285985
12032, 0.000000, 0.000000, 0.001222, 1.300882
12288, 0.000000, 0.000000, 0.001198, 1.297902
12544, 0.000000, 0.000000, 0.001297, 1.284202
12800, 0.000000, 0.000000, 0.001269, 1.285074
13056, 0.000000, 0.000000, 0.001160, 1.277877
13312, 0.000000, 0.000000, 0.001178, 1.306900
13568, 0.000000, 0.000000, 0.001243, 1.315618
13824, 0.000000, 0.000000, 0.001245, 1.310963
14080, 0.000000, 0.000000, 0.001239, 1.286089
14336, 0.000000, 0.000000, 0.001214, 1.306854
14592, 0.000000, 0.000000, 0.001178, 1.288921
14848, 0.000000, 0.000000, 0.001234, 1.284705
15104, 0.000000, 0.000000, 0.001287, 1.320960
15360, 0.000000, 0.000000, 0.001206, 1.282198
15616, 0.000000, 0.000000, 0.001218, 1.259228
15872, 0.000000, 0.000000, 0.001201, 1.302949
