tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014090
256, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014064
512, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014288
768, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014314
1024, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013747
1280, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014280
1536, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013919
1792, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013789
2048, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014383
2304, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014126
2560, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014561
2816, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014117
3072, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014241
3328, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014331
3584, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014253
3840, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014230
4096, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014243
4352, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014313
4608, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014238
4864, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013691
5120, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014135
5376, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014375
5632, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014628
5888, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014024
6144, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014211
6400, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014074
6656, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014423
6912, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014124
7168, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014293
7424, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014349
7680, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014093
7936, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014305
8192, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014014
8448, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014208
8704, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013831
8960, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013966
9216, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014101
9472, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014373
9728, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014171
9984, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014741
10240, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014027
10496, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013515
10752, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014249
11008, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014102
11264, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014203
11520, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014077
11776, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014041
12032, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014219
12288, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014165
12544, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014126
12800, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014107
13056, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013927
13312, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014235
13568, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014387
13824, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014342
14080, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014088
14336, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014270
14592, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014055
14848, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014069
15104, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014484
15360, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014016
15616, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013798
15872, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014219
16128, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014085
16384, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014401
16640, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014123
16896, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013981
17152, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014505
17408, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014271
17664, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014341
17920, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013940
18176, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014230
18432, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014014
18688, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014305
18944, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013981
19200, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014591
19456, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014072
19712, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014327
19968, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014203
20224, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014359
20480, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014085
20736, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013856
20992, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014349
21248, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014379
21504, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014423
21760, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014449
22016, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014317
22272, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014390
22528, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014032
22784, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014058
23040, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013774
23296, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014189
23552, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014289
23808, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014090
24064, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013978
24320, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014296
24576, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.013850
24832, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014104
25088, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014090
25344, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014295
25600, 155, 1, 0.500000, 0.500000, 10, 100, 0.000000, 0.014071
0, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323163
256, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324889
512, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325369
768, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324984
1024, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.326227
1280, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325572
1536, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324874
1792, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324236
2048, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.322420
2304, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323913
2560, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323956
2816, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324647
3072, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323031
3328, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324975
3584, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324394
3840, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323475
4096, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325211
4352, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325530
4608, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323916
4864, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324710
5120, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324998
5376, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324013
5632, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325042
5888, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325001
6144, 155, 25, 0.500000, 0.500000, 10, 100, 0.000003, 0.324787
6400, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323971
6656, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.322552
6912, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325706
7168, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324764
7424, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324349
7680, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325137
7936, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324847
8192, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.322635
8448, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324514
8704, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.325716
8960, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323440
9216, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.324452
9472, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323680
9728, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.322982
9984, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323616
10240, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.326879
10496, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.322595
10752, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323949
11008, 155, 25, 0.500000, 0.500000, 10, 100, 0.000000, 0.323940
