tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 5.129188, 5.731789, 5.197360, 8.453797
512, 4.291864, 5.958961, 4.361487, 8.672818
1024, 3.363484, 6.195708, 3.434812, 8.903065
1536, 2.662296, 6.385308, 2.733449, 9.088582
2048, 2.170791, 6.510381, 2.241925, 9.211441
2560, 1.827328, 6.597145, 1.898215, 9.289818
3072, 1.569078, 6.670989, 1.641009, 9.363269
3584, 1.374570, 6.712564, 1.446060, 9.399293
4096, 1.220271, 6.758030, 1.292014, 9.448144
4608, 1.105530, 6.797085, 1.177572, 9.485787
5120, 1.001869, 6.823353, 1.074336, 9.515284
5632, 0.916048, 6.836856, 0.987818, 9.524162
6144, 0.852114, 6.864434, 0.924563, 9.557424
6656, 0.788669, 6.877177, 0.860758, 9.564040
7168, 0.739401, 6.901392, 0.810774, 9.589101
7680, 0.691637, 6.903654, 0.764889, 9.590292
8192, 0.650486, 6.921377, 0.722930, 9.611791
8704, 0.614566, 6.923379, 0.685133, 9.607501
9216, 0.583603, 6.924177, 0.655997, 9.607535
9728, 0.553393, 6.939184, 0.626111, 9.621955
10240, 0.524944, 6.939752, 0.596438, 9.625424
10752, 0.507179, 6.959237, 0.579052, 9.647819
11264, 0.482304, 6.962794, 0.552639, 9.650362
11776, 0.465295, 6.961460, 0.536117, 9.646372
12288, 0.449369, 6.966756, 0.521444, 9.654560
12800, 0.431764, 6.977602, 0.503180, 9.663598
13312, 0.415840, 6.974785, 0.488279, 9.660191
13824, 0.398156, 6.984486, 0.470687, 9.672988
14336, 0.396613, 6.989957, 0.468753, 9.678561
14848, 0.378992, 6.989630, 0.451447, 9.675283
15360, 0.365205, 6.992916, 0.437668, 9.678307
15872, 0.348629, 6.989664, 0.420319, 9.675798
16384, 0.342330, 6.993302, 0.415149, 9.675038
16896, 0.338673, 7.004990, 0.410395, 9.686490
17408, 0.322801, 7.003803, 0.396471, 9.689140
17920, 0.319468, 7.002895, 0.391922, 9.686027
18432, 0.308286, 7.015423, 0.379245, 9.705268
18944, 0.305387, 7.014405, 0.378040, 9.700270
19456, 0.295003, 7.016584, 0.368191, 9.701948
19968, 0.290659, 7.011768, 0.362946, 9.694827
20480, 0.285409, 7.014480, 0.358148, 9.696256
20992, 0.282025, 7.019255, 0.355377, 9.708759
21504, 0.275594, 7.029934, 0.348678, 9.716327
22016, 0.263882, 7.022310, 0.335615, 9.705843
22528, 0.265041, 7.031744, 0.338785, 9.716675
23040, 0.252089, 7.022796, 0.325486, 9.705380
23552, 0.253131, 7.034478, 0.326916, 9.715459
24064, 0.238979, 7.019984, 0.311165, 9.700188
24576, 0.243528, 7.025465, 0.316070, 9.706478
25088, 0.228435, 7.026260, 0.300601, 9.705673
25600, 0.226728, 7.028921, 0.298363, 9.711060
26112, 0.223240, 7.021436, 0.296183, 9.704868
26624, 0.225110, 7.032712, 0.298759, 9.717869
27136, 0.219082, 7.029948, 0.292503, 9.717246
27648, 0.213857, 7.032716, 0.286231, 9.719450
28160, 0.212746, 7.034060, 0.285673, 9.720003
28672, 0.206275, 7.032765, 0.279447, 9.714692
29184, 0.203136, 7.034643, 0.276762, 9.723112
