tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 75, 0.500000, 0.500000, 6, 100, 5.581138, 7.639687
512, 155, 75, 0.500000, 0.500000, 6, 100, 5.542187, 7.594985
1024, 155, 75, 0.500000, 0.500000, 6, 100, 5.487652, 7.536002
1536, 155, 75, 0.500000, 0.500000, 6, 100, 5.454555, 7.499799
2048, 155, 75, 0.500000, 0.500000, 6, 100, 5.425484, 7.469062
2560, 155, 75, 0.500000, 0.500000, 6, 100, 5.404691, 7.441917
3072, 155, 75, 0.500000, 0.500000, 6, 100, 5.395511, 7.432704
3584, 155, 75, 0.500000, 0.500000, 6, 100, 5.378066, 7.410985
4096, 155, 75, 0.500000, 0.500000, 6, 100, 5.373591, 7.409111
4608, 155, 75, 0.500000, 0.500000, 6, 100, 5.374196, 7.408733
5120, 155, 75, 0.500000, 0.500000, 6, 100, 5.367982, 7.405047
5632, 155, 75, 0.500000, 0.500000, 6, 100, 5.356654, 7.390076
6144, 155, 75, 0.500000, 0.500000, 6, 100, 5.361354, 7.399209
6656, 155, 75, 0.500000, 0.500000, 6, 100, 5.355050, 7.388220
7168, 155, 75, 0.500000, 0.500000, 6, 100, 5.360894, 7.394519
7680, 155, 75, 0.500000, 0.500000, 6, 100, 5.350650, 7.383942
8192, 155, 75, 0.500000, 0.500000, 6, 100, 5.353654, 7.389576
8704, 155, 75, 0.500000, 0.500000, 6, 100, 5.346176, 7.376909
9216, 155, 75, 0.500000, 0.500000, 6, 100, 5.339033, 7.369650
9728, 155, 75, 0.500000, 0.500000, 6, 100, 5.342736, 7.372994
10240, 155, 75, 0.500000, 0.500000, 6, 100, 5.336050, 7.368177
10752, 155, 75, 0.500000, 0.500000, 6, 100, 5.346223, 7.380628
11264, 155, 75, 0.500000, 0.500000, 6, 100, 5.342672, 7.375931
11776, 155, 75, 0.500000, 0.500000, 6, 100, 5.337419, 7.368808
12288, 155, 75, 0.500000, 0.500000, 6, 100, 5.337409, 7.371281
12800, 155, 75, 0.500000, 0.500000, 6, 100, 5.341143, 7.373493
13312, 155, 75, 0.500000, 0.500000, 6, 100, 5.335049, 7.367213
13824, 155, 75, 0.500000, 0.500000, 6, 100, 5.337904, 7.372413
14336, 155, 75, 0.500000, 0.500000, 6, 100, 5.341621, 7.376109
14848, 155, 75, 0.500000, 0.500000, 6, 100, 5.336970, 7.369324
15360, 155, 75, 0.500000, 0.500000, 6, 100, 5.335988, 7.368147
15872, 155, 75, 0.500000, 0.500000, 6, 100, 5.329405, 7.361928
16384, 155, 75, 0.500000, 0.500000, 6, 100, 5.330559, 7.360066
16896, 155, 75, 0.500000, 0.500000, 6, 100, 5.338411, 7.367466
17408, 155, 75, 0.500000, 0.500000, 6, 100, 5.333552, 7.365973
17920, 155, 75, 0.500000, 0.500000, 6, 100, 5.332039, 7.362501
18432, 155, 75, 0.500000, 0.500000, 6, 100, 5.338639, 7.373762
18944, 155, 75, 0.500000, 0.500000, 6, 100, 5.337150, 7.369712
19456, 155, 75, 0.500000, 0.500000, 6, 100, 5.336189, 7.368509
19968, 155, 75, 0.500000, 0.500000, 6, 100, 5.331491, 7.361857
20480, 155, 75, 0.500000, 0.500000, 6, 100, 5.332212, 7.361729
20992, 155, 75, 0.500000, 0.500000, 6, 100, 5.334948, 7.370414
21504, 155, 75, 0.500000, 0.500000, 6, 100, 5.341349, 7.374415
22016, 155, 75, 0.500000, 0.500000, 6, 100, 5.332703, 7.363286
22528, 155, 75, 0.500000, 0.500000, 6, 100, 5.340068, 7.372202
23040, 155, 75, 0.500000, 0.500000, 6, 100, 5.330119, 7.360407
23552, 155, 75, 0.500000, 0.500000, 6, 100, 5.339141, 7.368323
24064, 155, 75, 0.500000, 0.500000, 6, 100, 5.324733, 7.352932
24576, 155, 75, 0.500000, 0.500000, 6, 100, 5.329981, 7.358876
25088, 155, 75, 0.500000, 0.500000, 6, 100, 5.326804, 7.354405
25600, 155, 75, 0.500000, 0.500000, 6, 100, 5.328372, 7.357886
26112, 155, 75, 0.500000, 0.500000, 6, 100, 5.321887, 7.352697
26624, 155, 75, 0.500000, 0.500000, 6, 100, 5.330811, 7.363091
27136, 155, 75, 0.500000, 0.500000, 6, 100, 5.327232, 7.361060
27648, 155, 75, 0.500000, 0.500000, 6, 100, 5.328002, 7.361145
28160, 155, 75, 0.500000, 0.500000, 6, 100, 5.328731, 7.361421
28672, 155, 75, 0.500000, 0.500000, 6, 100, 5.326142, 7.355881
29184, 155, 75, 0.500000, 0.500000, 6, 100, 5.326767, 7.361524
