tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
51200, 0.108813, 5.566121, 0.110049, 6.788639
51200, 0.122878, 6.544316, 0.123955, 7.753243
51200, 0.130296, 6.773094, 0.131364, 7.981690
51200, 0.134358, 6.995517, 0.135612, 8.194978
51200, 0.141350, 7.215992, 0.142782, 8.421648
51200, 0.146231, 7.418830, 0.147450, 8.615635
51200, 0.145765, 7.624912, 0.146897, 8.820664
51200, 0.154529, 7.808868, 0.155722, 8.999313
51200, 0.152578, 8.009251, 0.153846, 9.202684
51200, 0.160077, 8.201632, 0.161392, 9.390898
51200, 0.163039, 8.380531, 0.164292, 9.562821
51200, 0.166115, 8.555282, 0.167421, 9.741788
51200, 0.174491, 8.735579, 0.175625, 9.920773
51200, 0.182321, 8.895134, 0.183525, 10.071363
51200, 0.169866, 9.056406, 0.170930, 10.234958
51200, 0.171645, 9.210516, 0.172856, 10.381926
51200, 0.183774, 9.374731, 0.184932, 10.544358
51200, 0.179550, 9.519399, 0.180683, 10.690367
51200, 0.184828, 9.675779, 0.185929, 10.843650
51200, 0.188528, 9.820581, 0.189875, 10.988569
51200, 0.196524, 9.949430, 0.197697, 11.113532
51200, 0.201521, 10.102054, 0.202761, 11.269162
51200, 0.195003, 10.227049, 0.196152, 11.391319
51200, 0.194135, 10.361203, 0.195584, 11.522961
51200, 0.211441, 10.494015, 0.212760, 11.654953
51200, 0.213068, 10.619055, 0.214249, 11.777210
51200, 0.212394, 10.733491, 0.213888, 11.886537
51200, 0.196287, 10.862409, 0.197596, 12.016222
51200, 0.216493, 10.976912, 0.217792, 12.130169
51200, 0.203802, 11.094367, 0.205229, 12.248056
51200, 0.226919, 11.205796, 0.228299, 12.355395
51200, 0.229953, 11.313145, 0.231219, 12.460597
51200, 0.212026, 11.433701, 0.213062, 12.585775
51200, 0.215120, 11.532493, 0.216799, 12.677278
51200, 0.223286, 11.635840, 0.224463, 12.779966
51200, 0.231439, 11.737765, 0.233062, 12.880284
51200, 0.104438, 5.290179, 0.105535, 6.513805
51200, 0.105593, 5.555169, 0.106796, 6.786111
51200, 0.110723, 5.815105, 0.111837, 7.035816
51200, 0.121615, 6.064786, 0.122838, 7.277917
51200, 0.123634, 6.303696, 0.124857, 7.515714
51200, 0.126665, 6.530490, 0.127921, 7.739256
51200, 0.134443, 6.758926, 0.135566, 7.961295
51200, 0.130348, 6.975266, 0.131572, 8.176544
51200, 0.136202, 7.187775, 0.137436, 8.384327
51200, 0.147804, 7.406591, 0.149081, 8.603825
51200, 0.145365, 7.607333, 0.146470, 8.804945
51200, 0.151245, 7.810077, 0.152402, 9.002986
51200, 0.151370, 7.998009, 0.152429, 9.189918
51200, 0.155003, 8.177949, 0.156253, 9.367940
51200, 0.166595, 8.365283, 0.167842, 9.553145
51200, 0.169166, 8.532302, 0.170362, 9.709881
51200, 0.167599, 8.713368, 0.168933, 9.896748
51200, 0.174874, 8.884765, 0.176152, 10.066177
51200, 0.167434, 9.037111, 0.168583, 10.211766
51200, 0.172298, 9.197292, 0.173532, 10.372071
51200, 0.183273, 9.363202, 0.184313, 10.535332
51200, 0.184690, 9.518166, 0.186045, 10.690801
51200, 0.193672, 9.663384, 0.194845, 10.830315
51200, 0.189569, 9.805593, 0.190639, 10.975393
51200, 0.198451, 9.946829, 0.199785, 11.110060
51200, 0.196606, 10.086783, 0.197987, 11.249456
51200, 0.199941, 10.217713, 0.201090, 11.380203
51200, 0.197146, 10.355744, 0.198352, 11.515735
51200, 0.202615, 10.478628, 0.203678, 11.639336
51200, 0.202579, 10.606899, 0.203783, 11.763783
51200, 0.205359, 10.730634, 0.206480, 11.882471
51200, 0.210288, 10.851357, 0.211326, 12.007436
51200, 0.207583, 10.969218, 0.208994, 12.120660
51200, 0.217839, 11.087323, 0.218894, 12.239506
51200, 0.215707, 11.202140, 0.216830, 12.353689
51200, 0.218322, 11.304928, 0.219572, 12.454008
51200, 0.218612, 11.417987, 0.219505, 12.565546
51200, 0.220716, 11.525477, 0.222259, 12.670873
51200, 0.218441, 11.624468, 0.219416, 12.765316
51200, 0.252440, 11.724772, 0.254063, 12.864503
51200, 0.102904, 5.264511, 0.104134, 6.489111
51200, 0.106794, 5.529976, 0.108065, 6.754185
51200, 0.113139, 5.800124, 0.114304, 7.022104
51200, 0.116829, 6.041492, 0.117991, 7.257806
51200, 0.122656, 6.281722, 0.123665, 7.490935
51200, 0.123521, 6.520573, 0.124775, 7.728688
51200, 0.136965, 6.754536, 0.138265, 7.959528
51200, 0.134793, 6.962574, 0.135970, 8.163444
51200, 0.136416, 7.174346, 0.137737, 8.373408
51200, 0.138588, 7.396181, 0.139765, 8.595145
51200, 0.142418, 7.578687, 0.143496, 8.774246
51200, 0.144003, 7.779526, 0.145231, 8.970182
51200, 0.155302, 7.985064, 0.156402, 9.174106
51200, 0.153471, 8.172338, 0.154801, 9.363585
51200, 0.162977, 8.349142, 0.164224, 9.532911
51200, 0.157225, 8.526335, 0.158463, 9.713337
51200, 0.170006, 8.702212, 0.171350, 9.886695
51200, 0.171377, 8.874054, 0.172631, 10.055097
51200, 0.176842, 9.032512, 0.177909, 10.207616
51200, 0.176849, 9.193072, 0.177974, 10.369816
51200, 0.176511, 9.344419, 0.177705, 10.519456
51200, 0.179578, 9.493953, 0.181126, 10.663248
51200, 0.182759, 9.635566, 0.183828, 10.803102
51200, 0.194012, 9.795940, 0.195230, 10.965997
51200, 0.198555, 9.933597, 0.200245, 11.100333
51200, 0.204259, 10.079213, 0.205319, 11.245440
51200, 0.193506, 10.202088, 0.194801, 11.364869
51200, 0.209972, 10.351353, 0.211171, 11.512369
51200, 0.211477, 10.475179, 0.212735, 11.634586
51200, 0.197117, 10.600449, 0.198454, 11.761719
51200, 0.208143, 10.714532, 0.209215, 11.871726
51200, 0.199832, 10.832336, 0.200987, 11.984250
51200, 0.201789, 10.959270, 0.202805, 12.115495
51200, 0.213809, 11.073240, 0.215039, 12.223471
51200, 0.215279, 11.195308, 0.216646, 12.347435
51200, 0.220600, 11.298018, 0.221770, 12.447012
51200, 0.216720, 11.404583, 0.217755, 12.550944
51200, 0.233559, 11.512933, 0.234939, 12.654762
51200, 0.231267, 11.618910, 0.232404, 12.762100
51200, 0.174124, 11.719963, 0.175182, 12.864680
51200, 0.103906, 5.259820, 0.105073, 6.487397
51200, 0.105770, 5.524434, 0.107012, 6.753570
51200, 0.112172, 5.774223, 0.113419, 6.991238
51200, 0.114998, 6.027823, 0.116193, 7.244144
51200, 0.121695, 6.267292, 0.122935, 7.477357
51200, 0.125275, 6.504930, 0.126494, 7.714715
51200, 0.130733, 6.729496, 0.131941, 7.937571
51200, 0.135712, 6.959520, 0.137157, 8.167491
51200, 0.140000, 7.166950, 0.141239, 8.364644
51200, 0.139611, 7.363863, 0.140806, 8.560526
51200, 0.140419, 7.570452, 0.141585, 8.761460
51200, 0.151253, 7.771015, 0.152576, 8.966598
51200, 0.154204, 7.970308, 0.155458, 9.164329
51200, 0.155319, 8.152317, 0.156469, 9.339439
51200, 0.162516, 8.339125, 0.163681, 9.527174
51200, 0.163093, 8.517025, 0.164192, 9.701060
51200, 0.168845, 8.679278, 0.169956, 9.862306
51200, 0.167999, 8.856584, 0.169264, 10.039210
51200, 0.177037, 9.019392, 0.178212, 10.198810
51200, 0.177854, 9.182495, 0.179126, 10.356229
51200, 0.174557, 9.335953, 0.175646, 10.509982
51200, 0.181728, 9.489872, 0.183074, 10.656785
51200, 0.184328, 9.638194, 0.185636, 10.808532
51200, 0.190754, 9.785696, 0.191868, 10.952424
