tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
51200, 155, 61, 0.500000, 0.500000, 10, 100, 3.437771, 4.183989
51200, 155, 65, 0.500000, 0.500000, 10, 100, 4.296813, 5.082993
51200, 155, 66, 0.500000, 0.500000, 10, 100, 4.514543, 5.312579
51200, 155, 67, 0.500000, 0.500000, 10, 100, 4.731334, 5.535387
51200, 155, 68, 0.500000, 0.500000, 10, 100, 4.952106, 5.772411
51200, 155, 69, 0.500000, 0.500000, 10, 100, 5.164324, 5.990497
51200, 155, 70, 0.500000, 0.500000, 10, 100, 5.381168, 6.218534
51200, 155, 71, 0.500000, 0.500000, 10, 100, 5.589110, 6.434672
51200, 155, 72, 0.500000, 0.500000, 10, 100, 5.809383, 6.669009
51200, 155, 73, 0.500000, 0.500000, 10, 100, 6.030412, 6.898931
51200, 155, 74, 0.500000, 0.500000, 10, 100, 6.243983, 7.119204
51200, 155, 75, 0.500000, 0.500000, 10, 100, 6.457990, 7.348196
51200, 155, 76, 0.500000, 0.500000, 10, 100, 6.680918, 7.581938
51200, 155, 77, 0.500000, 0.500000, 10, 100, 6.891187, 7.797160
51200, 155, 78, 0.500000, 0.500000, 10, 100, 7.101367, 8.020871
51200, 155, 79, 0.500000, 0.500000, 10, 100, 7.312353, 8.238021
51200, 155, 80, 0.500000, 0.500000, 10, 100, 7.536539, 8.472473
51200, 155, 81, 0.500000, 0.500000, 10, 100, 7.744828, 8.693527
51200, 155, 82, 0.500000, 0.500000, 10, 100, 7.967407, 8.925261
51200, 155, 83, 0.500000, 0.500000, 10, 100, 8.183132, 9.152791
51200, 155, 84, 0.500000, 0.500000, 10, 100, 8.388965, 9.366998
51200, 155, 85, 0.500000, 0.500000, 10, 100, 8.616974, 9.609202
51200, 155, 86, 0.500000, 0.500000, 10, 100, 8.822563, 9.823995
51200, 155, 87, 0.500000, 0.500000, 10, 100, 9.039484, 10.050402
51200, 155, 88, 0.500000, 0.500000, 10, 100, 9.260106, 10.281889
51200, 155, 89, 0.500000, 0.500000, 10, 100, 9.474396, 10.505284
51200, 155, 90, 0.500000, 0.500000, 10, 100, 9.681381, 10.719272
51200, 155, 91, 0.500000, 0.500000, 10, 100, 9.902458, 10.952546
51200, 155, 92, 0.500000, 0.500000, 10, 100, 10.116079, 11.177179
51200, 155, 93, 0.500000, 0.500000, 10, 100, 10.332028, 11.405058
51200, 155, 94, 0.500000, 0.500000, 10, 100, 10.547063, 11.627770
51200, 155, 95, 0.500000, 0.500000, 10, 100, 10.758985, 11.849129
51200, 155, 96, 0.500000, 0.500000, 10, 100, 10.984834, 12.090867
51200, 155, 97, 0.500000, 0.500000, 10, 100, 11.192971, 12.303463
51200, 155, 98, 0.500000, 0.500000, 10, 100, 11.407589, 12.528856
51200, 155, 99, 0.500000, 0.500000, 10, 100, 11.622701, 12.753812
51200, 155, 60, 0.500000, 0.500000, 10, 100, 3.215882, 3.950497
51200, 155, 61, 0.500000, 0.500000, 10, 100, 3.429834, 4.181178
51200, 155, 62, 0.500000, 0.500000, 10, 100, 3.647440, 4.404704
51200, 155, 63, 0.500000, 0.500000, 10, 100, 3.865812, 4.630538
51200, 155, 64, 0.500000, 0.500000, 10, 100, 4.078874, 4.855006
51200, 155, 65, 0.500000, 0.500000, 10, 100, 4.289151, 5.075288
51200, 155, 66, 0.500000, 0.500000, 10, 100, 4.506602, 5.300547
51200, 155, 67, 0.500000, 0.500000, 10, 100, 4.716443, 5.521703
51200, 155, 68, 0.500000, 0.500000, 10, 100, 4.931272, 5.745322
51200, 155, 69, 0.500000, 0.500000, 10, 100, 5.156367, 5.982854
51200, 155, 70, 0.500000, 0.500000, 10, 100, 5.368743, 6.207403
51200, 155, 71, 0.500000, 0.500000, 10, 100, 5.589016, 6.436317
51200, 155, 72, 0.500000, 0.500000, 10, 100, 5.800950, 6.659421
51200, 155, 73, 0.500000, 0.500000, 10, 100, 6.011754, 6.880785
