tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.128126, 1.254990, 1.129284, 2.528149
256, 155, 50, 0.500000, 0.500000, 10, 100, 1.097768, 1.280124, 1.098977, 2.558209
512, 155, 50, 0.500000, 0.500000, 10, 100, 0.978968, 1.376957, 0.980143, 2.648313
768, 155, 50, 0.500000, 0.500000, 10, 100, 0.896313, 1.449650, 0.897668, 2.727702
1024, 155, 50, 0.500000, 0.500000, 10, 100, 0.815197, 1.523495, 0.816419, 2.794960
1280, 155, 50, 0.500000, 0.500000, 10, 100, 0.728159, 1.559612, 0.729279, 2.832059
1536, 155, 50, 0.500000, 0.500000, 10, 100, 0.670368, 1.624817, 0.671527, 2.901619
1792, 155, 50, 0.500000, 0.500000, 10, 100, 0.614140, 1.662659, 0.615485, 2.939713
2048, 155, 50, 0.500000, 0.500000, 10, 100, 0.572038, 1.719220, 0.573206, 2.991209
2304, 155, 50, 0.500000, 0.500000, 10, 100, 0.526799, 1.743751, 0.528063, 3.017949
2560, 155, 50, 0.500000, 0.500000, 10, 100, 0.489572, 1.771284, 0.490802, 3.047087
2816, 155, 50, 0.500000, 0.500000, 10, 100, 0.456320, 1.788144, 0.457561, 3.056263
3072, 155, 50, 0.500000, 0.500000, 10, 100, 0.428110, 1.805520, 0.429360, 3.079348
3328, 155, 50, 0.500000, 0.500000, 10, 100, 0.403676, 1.838274, 0.404866, 3.117222
3584, 155, 50, 0.500000, 0.500000, 10, 100, 0.382448, 1.849456, 0.383664, 3.117965
3840, 155, 50, 0.500000, 0.500000, 10, 100, 0.361342, 1.860730, 0.362476, 3.129637
4096, 155, 50, 0.500000, 0.500000, 10, 100, 0.344785, 1.874829, 0.345922, 3.142865
4352, 155, 50, 0.500000, 0.500000, 10, 100, 0.327491, 1.881725, 0.328609, 3.153688
