tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,average_loss_pure,average_loss_all
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.191558, 1.828717
256, 155, 50, 0.500000, 0.500000, 10, 100, 1.188946, 1.828593
512, 155, 50, 0.500000, 0.500000, 10, 100, 1.177963, 1.814228
768, 155, 50, 0.500000, 0.500000, 10, 100, 1.172981, 1.812685
1024, 155, 50, 0.500000, 0.500000, 10, 100, 1.169346, 1.805689
1280, 155, 50, 0.500000, 0.500000, 10, 100, 1.143885, 1.780669
1536, 155, 50, 0.500000, 0.500000, 10, 100, 1.147592, 1.786573
1792, 155, 50, 0.500000, 0.500000, 10, 100, 1.138400, 1.777599
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.145629, 1.782208
2304, 155, 50, 0.500000, 0.500000, 10, 100, 1.135275, 1.773006
2560, 155, 50, 0.500000, 0.500000, 10, 100, 1.130428, 1.768944
2816, 155, 50, 0.500000, 0.500000, 10, 100, 1.122232, 1.756912
3072, 155, 50, 0.500000, 0.500000, 10, 100, 1.116815, 1.754354
3328, 155, 50, 0.500000, 0.500000, 10, 100, 1.120975, 1.761044
3584, 155, 50, 0.500000, 0.500000, 10, 100, 1.115952, 1.750815
3840, 155, 50, 0.500000, 0.500000, 10, 100, 1.111036, 1.746057
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.109807, 1.744393
4352, 155, 50, 0.500000, 0.500000, 10, 100, 1.104608, 1.741149
4608, 155, 50, 0.500000, 0.500000, 10, 100, 1.107740, 1.745831
4864, 155, 50, 0.500000, 0.500000, 10, 100, 1.096770, 1.731278
5120, 155, 50, 0.500000, 0.500000, 10, 100, 1.103777, 1.739553
5376, 155, 50, 0.500000, 0.500000, 10, 100, 1.110110, 1.746696
5632, 155, 50, 0.500000, 0.500000, 10, 100, 1.102138, 1.736989
5888, 155, 50, 0.500000, 0.500000, 10, 100, 1.101369, 1.735299
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.101611, 1.735644
6400, 155, 50, 0.500000, 0.500000, 10, 100, 1.100029, 1.733758
6656, 155, 50, 0.500000, 0.500000, 10, 100, 1.098831, 1.736087
6912, 155, 50, 0.500000, 0.500000, 10, 100, 1.089442, 1.724941
7168, 155, 50, 0.500000, 0.500000, 10, 100, 1.098052, 1.733530
7424, 155, 50, 0.500000, 0.500000, 10, 100, 1.089997, 1.724307
7680, 155, 50, 0.500000, 0.500000, 10, 100, 1.092927, 1.729379
7936, 155, 50, 0.500000, 0.500000, 10, 100, 1.103365, 1.738164
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.091271, 1.724853
8448, 155, 50, 0.500000, 0.500000, 10, 100, 1.095358, 1.730013
8704, 155, 50, 0.500000, 0.500000, 10, 100, 1.095345, 1.730411
8960, 155, 50, 0.500000, 0.500000, 10, 100, 1.085272, 1.717983
9216, 155, 50, 0.500000, 0.500000, 10, 100, 1.093160, 1.727302
9472, 155, 50, 0.500000, 0.500000, 10, 100, 1.081077, 1.714187
9728, 155, 50, 0.500000, 0.500000, 10, 100, 1.092785, 1.730369
9984, 155, 50, 0.500000, 0.500000, 10, 100, 1.097703, 1.736036
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.077901, 1.710382
10496, 155, 50, 0.500000, 0.500000, 10, 100, 1.080764, 1.714512
10752, 155, 50, 0.500000, 0.500000, 10, 100, 1.094929, 1.730896
11008, 155, 50, 0.500000, 0.500000, 10, 100, 1.092510, 1.727061
11264, 155, 50, 0.500000, 0.500000, 10, 100, 1.080737, 1.714147
11520, 155, 50, 0.500000, 0.500000, 10, 100, 1.085685, 1.720621
11776, 155, 50, 0.500000, 0.500000, 10, 100, 1.092651, 1.727817
12032, 155, 50, 0.500000, 0.500000, 10, 100, 1.096992, 1.729709
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.085500, 1.722080
12544, 155, 50, 0.500000, 0.500000, 10, 100, 1.095876, 1.729164
12800, 155, 50, 0.500000, 0.500000, 10, 100, 1.086069, 1.720673
13056, 155, 50, 0.500000, 0.500000, 10, 100, 1.095027, 1.731013
13312, 155, 50, 0.500000, 0.500000, 10, 100, 1.093954, 1.729982
13568, 155, 50, 0.500000, 0.500000, 10, 100, 1.085935, 1.720892
13824, 155, 50, 0.500000, 0.500000, 10, 100, 1.075496, 1.709167
14080, 155, 50, 0.500000, 0.500000, 10, 100, 1.090970, 1.725420
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.079619, 1.712850
14592, 155, 50, 0.500000, 0.500000, 10, 100, 1.083105, 1.714788
14848, 155, 50, 0.500000, 0.500000, 10, 100, 1.088526, 1.722032
15104, 155, 50, 0.500000, 0.500000, 10, 100, 1.080465, 1.713241
15360, 155, 50, 0.500000, 0.500000, 10, 100, 1.073369, 1.706449
15616, 155, 50, 0.500000, 0.500000, 10, 100, 1.077819, 1.712192
15872, 155, 50, 0.500000, 0.500000, 10, 100, 1.091196, 1.727479
16128, 155, 50, 0.500000, 0.500000, 10, 100, 1.090192, 1.727052
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.084787, 1.721183
16640, 155, 50, 0.500000, 0.500000, 10, 100, 1.080651, 1.716234
16896, 155, 50, 0.500000, 0.500000, 10, 100, 1.085488, 1.720921
17152, 155, 50, 0.500000, 0.500000, 10, 100, 1.085751, 1.723232
17408, 155, 50, 0.500000, 0.500000, 10, 100, 1.086240, 1.722378
17664, 155, 50, 0.500000, 0.500000, 10, 100, 1.087813, 1.723410
17920, 155, 50, 0.500000, 0.500000, 10, 100, 1.077924, 1.711725
18176, 155, 50, 0.500000, 0.500000, 10, 100, 1.087903, 1.722265
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.077188, 1.710637
18688, 155, 50, 0.500000, 0.500000, 10, 100, 1.087279, 1.719937
18944, 155, 50, 0.500000, 0.500000, 10, 100, 1.080268, 1.712821
19200, 155, 50, 0.500000, 0.500000, 10, 100, 1.079262, 1.715292
19456, 155, 50, 0.500000, 0.500000, 10, 100, 1.087353, 1.720503
19712, 155, 50, 0.500000, 0.500000, 10, 100, 1.085213, 1.718752
19968, 155, 50, 0.500000, 0.500000, 10, 100, 1.081065, 1.715424
20224, 155, 50, 0.500000, 0.500000, 10, 100, 1.088445, 1.724380
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.086955, 1.722625
20736, 155, 50, 0.500000, 0.500000, 10, 100, 1.086229, 1.719175
20992, 155, 50, 0.500000, 0.500000, 10, 100, 1.093358, 1.728767
21248, 155, 50, 0.500000, 0.500000, 10, 100, 1.081663, 1.717396
21504, 155, 50, 0.500000, 0.500000, 10, 100, 1.072777, 1.705106
21760, 155, 50, 0.500000, 0.500000, 10, 100, 1.087807, 1.723416
22016, 155, 50, 0.500000, 0.500000, 10, 100, 1.081698, 1.716921
22272, 155, 50, 0.500000, 0.500000, 10, 100, 1.084859, 1.721111
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.078901, 1.712731
22784, 155, 50, 0.500000, 0.500000, 10, 100, 1.081842, 1.715680
23040, 155, 50, 0.500000, 0.500000, 10, 100, 1.085468, 1.719674
23296, 155, 50, 0.500000, 0.500000, 10, 100, 1.082853, 1.716000
23552, 155, 50, 0.500000, 0.500000, 10, 100, 1.089569, 1.722648
23808, 155, 50, 0.500000, 0.500000, 10, 100, 1.085840, 1.722062
24064, 155, 50, 0.500000, 0.500000, 10, 100, 1.078052, 1.712992
24320, 155, 50, 0.500000, 0.500000, 10, 100, 1.084727, 1.721190
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.086164, 1.722687
24832, 155, 50, 0.500000, 0.500000, 10, 100, 1.081320, 1.715831
25088, 155, 50, 0.500000, 0.500000, 10, 100, 1.081946, 1.716265
25344, 155, 50, 0.500000, 0.500000, 10, 100, 1.079434, 1.713758
25600, 155, 50, 0.500000, 0.500000, 10, 100, 1.079053, 1.713434
25856, 155, 50, 0.500000, 0.500000, 10, 100, 1.080167, 1.715253
26112, 155, 50, 0.500000, 0.500000, 10, 100, 1.081282, 1.716236
26368, 155, 50, 0.500000, 0.500000, 10, 100, 1.074823, 1.707658
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.080557, 1.714436
26880, 155, 50, 0.500000, 0.500000, 10, 100, 1.073112, 1.710482
27136, 155, 50, 0.500000, 0.500000, 10, 100, 1.083058, 1.717794
27392, 155, 50, 0.500000, 0.500000, 10, 100, 1.082035, 1.715568
27648, 155, 50, 0.500000, 0.500000, 10, 100, 1.082451, 1.715685
27904, 155, 50, 0.500000, 0.500000, 10, 100, 1.081408, 1.715646
28160, 155, 50, 0.500000, 0.500000, 10, 100, 1.081716, 1.716515
28416, 155, 50, 0.500000, 0.500000, 10, 100, 1.085069, 1.720669
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.079402, 1.714236
28928, 155, 50, 0.500000, 0.500000, 10, 100, 1.077295, 1.710417
29184, 155, 50, 0.500000, 0.500000, 10, 100, 1.076914, 1.713581
29440, 155, 50, 0.500000, 0.500000, 10, 100, 1.084776, 1.719830
29696, 155, 50, 0.500000, 0.500000, 10, 100, 1.086711, 1.724203
29952, 155, 50, 0.500000, 0.500000, 10, 100, 1.091559, 1.728264
30208, 155, 50, 0.500000, 0.500000, 10, 100, 1.090160, 1.725689
30464, 155, 50, 0.500000, 0.500000, 10, 100, 1.080057, 1.713829
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.072043, 1.704706
