tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.046686, 1.159843, 1.047937, 2.435883
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.525124, 1.567992, 0.526398, 2.839127
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.319920, 1.726708, 0.321169, 2.999701
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.231500, 1.810768, 0.232771, 3.076886
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.182673, 1.845590, 0.184012, 3.114150
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.148961, 1.858960, 0.150280, 3.123885
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.127273, 1.874586, 0.128408, 3.142829
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.109764, 1.879897, 0.111041, 3.156918
16384, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.098827, 1.889072, 0.100043, 3.161363
18432, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.090288, 1.907037, 0.091529, 3.182001
20480, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.081250, 1.906899, 0.082519, 3.184362
22528, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.074106, 1.896102, 0.075233, 3.165053
24576, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.071289, 1.928400, 0.072451, 3.198873
26624, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.067703, 1.919230, 0.068876, 3.187780
28672, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.062549, 1.928757, 0.063752, 3.198293
30720, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.057473, 1.904977, 0.058718, 3.170688
32768, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.056579, 1.931076, 0.057820, 3.198739
34816, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.052851, 1.923807, 0.054021, 3.190179
36864, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.050478, 1.936761, 0.051770, 3.210748
38912, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.047429, 1.914529, 0.048597, 3.182349
40960, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.048393, 1.953545, 0.049666, 3.225347
43008, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.045833, 1.938416, 0.047107, 3.208252
45056, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.042730, 1.934897, 0.043930, 3.205827
47104, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.041502, 1.940796, 0.042556, 3.204300
