tau,compliant_loss_pure,noncompliant_loss_pure,compliant_loss_all,noncompliant_loss_all
0, 1.039239, 1.151072, 1.040337, 2.431308
512, 0.897041, 1.258724, 0.898188, 2.533894
1024, 0.742165, 1.383866, 0.743373, 2.656403
1536, 0.616158, 1.492385, 0.617395, 2.770473
2048, 0.520081, 1.557141, 0.521279, 2.829975
2560, 0.448693, 1.613304, 0.449938, 2.882897
3072, 0.395745, 1.660940, 0.396957, 2.933832
3584, 0.352708, 1.698359, 0.353904, 2.969440
4096, 0.314040, 1.705216, 0.315222, 2.975186
4608, 0.292730, 1.755864, 0.293875, 3.031436
5120, 0.264439, 1.746885, 0.265492, 3.016564
5632, 0.244255, 1.771606, 0.245462, 3.038546
6144, 0.231226, 1.807748, 0.232546, 3.077804
6656, 0.213247, 1.801416, 0.214533, 3.075168
7168, 0.200769, 1.820886, 0.201927, 3.087009
7680, 0.191727, 1.834840, 0.192900, 3.110321
8192, 0.179937, 1.829372, 0.181095, 3.105034
8704, 0.173620, 1.862471, 0.174759, 3.134256
9216, 0.165366, 1.863621, 0.166610, 3.134808
9728, 0.157372, 1.859712, 0.158655, 3.129943
10240, 0.149156, 1.859599, 0.150318, 3.130084
10752, 0.143247, 1.868332, 0.144494, 3.142196
11264, 0.136620, 1.865038, 0.137849, 3.140752
11776, 0.130378, 1.866409, 0.131575, 3.139669
12288, 0.126556, 1.872137, 0.127765, 3.142475
12800, 0.123159, 1.890924, 0.124591, 3.165446
13312, 0.116709, 1.864184, 0.117873, 3.134847
13824, 0.114777, 1.882139, 0.115881, 3.152494
14336, 0.111838, 1.892084, 0.112971, 3.164490
14848, 0.108985, 1.902061, 0.110175, 3.174021
15360, 0.105017, 1.898983, 0.106256, 3.161099
15872, 0.101347, 1.894923, 0.102576, 3.165399
16384, 0.098093, 1.886235, 0.099331, 3.160603
16896, 0.097407, 1.910042, 0.098690, 3.179526
17408, 0.092276, 1.888122, 0.093409, 3.155250
17920, 0.092961, 1.914530, 0.094086, 3.190377
18432, 0.091194, 1.915374, 0.092460, 3.178923
18944, 0.087222, 1.903078, 0.088400, 3.178574
19456, 0.086772, 1.916850, 0.087956, 3.187210
19968, 0.084464, 1.912419, 0.085774, 3.179560
20480, 0.082367, 1.906802, 0.083585, 3.173129
20992, 0.080377, 1.907039, 0.081468, 3.179202
21504, 0.078316, 1.901266, 0.079479, 3.168029
22016, 0.075306, 1.900437, 0.076477, 3.171365
22528, 0.076154, 1.928988, 0.077317, 3.198839
23040, 0.073793, 1.912432, 0.074980, 3.183868
23552, 0.073534, 1.915250, 0.074669, 3.182084
24064, 0.071629, 1.922443, 0.072788, 3.190252
24576, 0.072140, 1.938229, 0.073337, 3.206752
25088, 0.068923, 1.916557, 0.070079, 3.186518
25600, 0.067388, 1.919891, 0.068564, 3.189856
