tau,noncompliant_mean,noncompliant_tenant_number,state_r,noncompliant_state_r,upper_queue_buffer,link_queue_buffer,ratio,average_loss_pure,average_loss_all
0, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.110157, 1.751145
512, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.087059, 1.728159
1024, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.068199, 1.707311
1536, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.056747, 1.694785
2048, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.030584, 1.668352
2560, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.029727, 1.665259
3072, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.026199, 1.663943
3584, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.024021, 1.662200
4096, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.025579, 1.659347
4608, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.015472, 1.652194
5120, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.014971, 1.651004
5632, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.017513, 1.655055
6144, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.010019, 1.645932
6656, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.010236, 1.646521
7168, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.017828, 1.656356
7680, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.009745, 1.649739
8192, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.996482, 1.631342
8704, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.015007, 1.651176
9216, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.009196, 1.645357
9728, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.011796, 1.650448
10240, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.002672, 1.640373
10752, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.004363, 1.640300
11264, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.004074, 1.642558
11776, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.004916, 1.642752
12288, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.006049, 1.643315
12800, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.997365, 1.631774
13312, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.001539, 1.636614
13824, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 0.988170, 1.622921
14336, 155, 50, 0.500000, 0.500000, 10, 100, 1.001000, 1.000546, 1.637555
