tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 155, 50, 0.987500, 1, 100, 1.915820
32, 155, 50, 0.987500, 1, 100, 1.920615
64, 155, 50, 0.987500, 1, 100, 1.920318
96, 155, 50, 0.987500, 1, 100, 1.915793
128, 155, 50, 0.987500, 1, 100, 1.918310
160, 155, 50, 0.987500, 1, 100, 1.897288
192, 155, 50, 0.987500, 1, 100, 1.895051
224, 155, 50, 0.987500, 1, 100, 1.894257
256, 155, 50, 0.987500, 1, 100, 1.897381
288, 155, 50, 0.987500, 1, 100, 1.876262
320, 155, 50, 0.987500, 1, 100, 1.878123
352, 155, 50, 0.987500, 1, 100, 1.876974
384, 155, 50, 0.987500, 1, 100, 1.877500
416, 155, 50, 0.987500, 1, 100, 1.850655
448, 155, 50, 0.987500, 1, 100, 1.851158
480, 155, 50, 0.987500, 1, 100, 1.853899
512, 155, 50, 0.987500, 1, 100, 1.854741
544, 155, 50, 0.987500, 1, 100, 1.840581
576, 155, 50, 0.987500, 1, 100, 1.835244
608, 155, 50, 0.987500, 1, 100, 1.833238
640, 155, 50, 0.987500, 1, 100, 1.835743
672, 155, 50, 0.987500, 1, 100, 1.816146
704, 155, 50, 0.987500, 1, 100, 1.813865
736, 155, 50, 0.987500, 1, 100, 1.818869
768, 155, 50, 0.987500, 1, 100, 1.816082
800, 155, 50, 0.987500, 1, 100, 1.806121
832, 155, 50, 0.987500, 1, 100, 1.808174
864, 155, 50, 0.987500, 1, 100, 1.803940
896, 155, 50, 0.987500, 1, 100, 1.804071
928, 155, 50, 0.987500, 1, 100, 1.793923
960, 155, 50, 0.987500, 1, 100, 1.792303
992, 155, 50, 0.987500, 1, 100, 1.795437
1024, 155, 50, 0.987500, 1, 100, 1.795322
1056, 155, 50, 0.987500, 1, 100, 1.785195
1088, 155, 50, 0.987500, 1, 100, 1.783521
1120, 155, 50, 0.987500, 1, 100, 1.788148
1152, 155, 50, 0.987500, 1, 100, 1.782946
1184, 155, 50, 0.987500, 1, 100, 1.784099
1216, 155, 50, 0.987500, 1, 100, 1.775328
1248, 155, 50, 0.987500, 1, 100, 1.777485
1280, 155, 50, 0.987500, 1, 100, 1.781325
1312, 155, 50, 0.987500, 1, 100, 1.770065
1344, 155, 50, 0.987500, 1, 100, 1.766593
1376, 155, 50, 0.987500, 1, 100, 1.772477
1408, 155, 50, 0.987500, 1, 100, 1.772475
1440, 155, 50, 0.987500, 1, 100, 1.767673
1472, 155, 50, 0.987500, 1, 100, 1.761967
1504, 155, 50, 0.987500, 1, 100, 1.764496
1536, 155, 50, 0.987500, 1, 100, 1.757451
1568, 155, 50, 0.987500, 1, 100, 1.747634
1600, 155, 50, 0.987500, 1, 100, 1.748364
1632, 155, 50, 0.987500, 1, 100, 1.740845
1664, 155, 50, 0.987500, 1, 100, 1.748025
1696, 155, 50, 0.987500, 1, 100, 1.733718
1728, 155, 50, 0.987500, 1, 100, 1.736383
1760, 155, 50, 0.987500, 1, 100, 1.733796
1792, 155, 50, 0.987500, 1, 100, 1.727390
1824, 155, 50, 0.987500, 1, 100, 1.723237
1856, 155, 50, 0.987500, 1, 100, 1.718998
1888, 155, 50, 0.987500, 1, 100, 1.720456
1920, 155, 50, 0.987500, 1, 100, 1.719118
1952, 155, 50, 0.987500, 1, 100, 1.717880
1984, 155, 50, 0.987500, 1, 100, 1.714370
2016, 155, 50, 0.987500, 1, 100, 1.717103
2048, 155, 50, 0.987500, 1, 100, 1.716508
2080, 155, 50, 0.987500, 1, 100, 1.715503
2112, 155, 50, 0.987500, 1, 100, 1.712137
2144, 155, 50, 0.987500, 1, 100, 1.711829
2176, 155, 50, 0.987500, 1, 100, 1.716545
2208, 155, 50, 0.987500, 1, 100, 1.715226
2240, 155, 50, 0.987500, 1, 100, 1.718782
2272, 155, 50, 0.987500, 1, 100, 1.713823
2304, 155, 50, 0.987500, 1, 100, 1.709808
2336, 155, 50, 0.987500, 1, 100, 1.709798
2368, 155, 50, 0.987500, 1, 100, 1.714305
2400, 155, 50, 0.987500, 1, 100, 1.714610
2432, 155, 50, 0.987500, 1, 100, 1.717431
2464, 155, 50, 0.987500, 1, 100, 1.712747
2496, 155, 50, 0.987500, 1, 100, 1.713697
2528, 155, 50, 0.987500, 1, 100, 1.716269
2560, 155, 50, 0.987500, 1, 100, 1.710230
2592, 155, 50, 0.987500, 1, 100, 1.710176
2624, 155, 50, 0.987500, 1, 100, 1.711363
2656, 155, 50, 0.987500, 1, 100, 1.714078
2688, 155, 50, 0.987500, 1, 100, 1.711066
2720, 155, 50, 0.987500, 1, 100, 1.710422
2752, 155, 50, 0.987500, 1, 100, 1.713712
2784, 155, 50, 0.987500, 1, 100, 1.712863
2816, 155, 50, 0.987500, 1, 100, 1.708704
2848, 155, 50, 0.987500, 1, 100, 1.710471
2880, 155, 50, 0.987500, 1, 100, 1.718791
2912, 155, 50, 0.987500, 1, 100, 1.710718
2944, 155, 50, 0.987500, 1, 100, 1.710186
2976, 155, 50, 0.987500, 1, 100, 1.712164
3008, 155, 50, 0.987500, 1, 100, 1.708082
3040, 155, 50, 0.987500, 1, 100, 1.706413
3072, 155, 50, 0.987500, 1, 100, 1.710214
3104, 155, 50, 0.987500, 1, 100, 1.710340
