tau,regular_loss,naughty_loss
0, 0.964003, 0.951816
32, 0.966964, 0.953651
64, 0.966782, 0.953535
96, 0.964105, 0.951688
128, 0.963735, 0.954575
160, 0.874901, 1.022387
192, 0.874817, 1.020234
224, 0.874977, 1.019280
256, 0.875698, 1.021683
288, 0.785369, 1.090893
320, 0.791504, 1.086619
352, 0.791927, 1.085047
384, 0.792557, 1.084944
416, 0.682519, 1.168136
448, 0.684830, 1.166329
480, 0.688082, 1.165817
512, 0.688523, 1.166218
544, 0.598832, 1.241749
576, 0.599222, 1.236022
608, 0.598690, 1.234548
640, 0.599274, 1.236469
672, 0.527460, 1.288687
704, 0.524240, 1.289625
736, 0.525429, 1.293440
768, 0.525007, 1.291074
800, 0.476870, 1.329251
832, 0.471878, 1.336296
864, 0.470693, 1.333246
896, 0.469189, 1.334882
928, 0.431757, 1.362167
960, 0.423331, 1.368971
992, 0.425515, 1.369922
1024, 0.427002, 1.368320
1056, 0.394655, 1.390540
1088, 0.384927, 1.398594
1120, 0.388582, 1.399566
1152, 0.384306, 1.398640
1184, 0.363789, 1.420310
1216, 0.351214, 1.424114
1248, 0.348842, 1.428643
1280, 0.352953, 1.428371
1312, 0.333596, 1.436469
1344, 0.323492, 1.443101
1376, 0.324462, 1.448016
1408, 0.325942, 1.446533
1440, 0.307694, 1.459979
1472, 0.296473, 1.465494
1504, 0.277439, 1.487056
1536, 0.272343, 1.485108
1568, 0.239918, 1.507716
1600, 0.227162, 1.521202
1632, 0.200661, 1.540184
1664, 0.209869, 1.538156
1696, 0.170206, 1.563512
1728, 0.144461, 1.591921
1760, 0.137455, 1.596341
1792, 0.122864, 1.604525
1824, 0.108690, 1.614547
1856, 0.090191, 1.628807
1888, 0.094543, 1.625913
1920, 0.086978, 1.632139
1952, 0.092041, 1.625839
1984, 0.071811, 1.642559
2016, 0.074944, 1.642160
2048, 0.081110, 1.635398
2080, 0.074968, 1.640535
2112, 0.073162, 1.638975
2144, 0.072885, 1.638944
2176, 0.079411, 1.637134
2208, 0.075021, 1.640205
2240, 0.079008, 1.639775
2272, 0.064821, 1.649001
2304, 0.065635, 1.644174
2336, 0.065447, 1.644351
2368, 0.064206, 1.650100
2400, 0.063523, 1.651087
2432, 0.061668, 1.655762
2464, 0.060826, 1.651921
2496, 0.065642, 1.648054
2528, 0.069475, 1.646793
2560, 0.055443, 1.654788
2592, 0.059215, 1.650961
2624, 0.054364, 1.656999
2656, 0.065374, 1.648705
2688, 0.060137, 1.650929
2720, 0.056309, 1.654113
2752, 0.054749, 1.658963
2784, 0.050923, 1.661939
2816, 0.054444, 1.654260
2848, 0.051116, 1.659356
2880, 0.061115, 1.657676
2912, 0.051362, 1.659356
2944, 0.059251, 1.650934
2976, 0.054832, 1.657332
3008, 0.049983, 1.658099
3040, 0.056331, 1.650082
3072, 0.057047, 1.653166
3104, 0.061051, 1.649288
3136, 0.051175, 1.660052
3168, 0.054611, 1.659076
3200, 0.048929, 1.660989
3232, 0.044633, 1.667224
3264, 0.049524, 1.662751
3296, 0.048689, 1.660796
3328, 0.051962, 1.657224
3360, 0.045644, 1.664042
3392, 0.047380, 1.661816
3424, 0.045256, 1.663763
3456, 0.053268, 1.656500
3488, 0.051986, 1.654841
3520, 0.040787, 1.669630
3552, 0.044863, 1.662307
3584, 0.047790, 1.666856
3616, 0.046177, 1.662237
3648, 0.046767, 1.661401
3680, 0.043620, 1.662599
3712, 0.041152, 1.670711
3744, 0.042638, 1.663392
3776, 0.046130, 1.667575
3808, 0.040546, 1.665686
3840, 0.043577, 1.666713
3872, 0.046431, 1.663462
3904, 0.043006, 1.668456
3936, 0.040906, 1.669878
3968, 0.040636, 1.664789
4000, 0.039453, 1.666172
4032, 0.043000, 1.664358
4064, 0.039005, 1.668649
4096, 0.037234, 1.666428
4128, 0.038123, 1.667488
4160, 0.036684, 1.670033
4192, 0.042397, 1.665871
4224, 0.037826, 1.668942
4256, 0.034805, 1.666739
4288, 0.037642, 1.672082
4320, 0.039661, 1.669799
4352, 0.037596, 1.667520
4384, 0.040578, 1.669300
4416, 0.036889, 1.669025
4448, 0.035363, 1.671560
4480, 0.032797, 1.667879
4512, 0.033507, 1.675278
4544, 0.034655, 1.672129
4576, 0.044421, 1.663010
4608, 0.034337, 1.672276
4640, 0.034030, 1.675094
4672, 0.037923, 1.664658
4704, 0.034183, 1.665614
4736, 0.034944, 1.668470
4768, 0.032477, 1.671666
4800, 0.033890, 1.671955
4832, 0.031163, 1.675645
4864, 0.033878, 1.674607
4896, 0.037134, 1.671321
4928, 0.031358, 1.673440
4960, 0.033389, 1.676755
4992, 0.032341, 1.674046
5024, 0.033107, 1.674948
5056, 0.031595, 1.672469
5088, 0.031734, 1.671465
5120, 0.031560, 1.675680
5152, 0.033638, 1.668327
5184, 0.030350, 1.672079
5216, 0.032590, 1.674183
5248, 0.031987, 1.675985
5280, 0.030070, 1.671469
5312, 0.028785, 1.672288
5344, 0.027309, 1.671380
5376, 0.028512, 1.678574
5408, 0.031580, 1.672621
5440, 0.030751, 1.677281
5472, 0.028138, 1.674162
5504, 0.030057, 1.675520
5536, 0.029490, 1.673334
5568, 0.029457, 1.674692
5600, 0.029238, 1.678284
5632, 0.030552, 1.672728
5664, 0.026705, 1.675536
5696, 0.028097, 1.677124
5728, 0.028889, 1.678651
5760, 0.036330, 1.668370
5792, 0.028041, 1.676832
5824, 0.028417, 1.675799
5856, 0.027694, 1.682254
5888, 0.028846, 1.675470
5920, 0.028632, 1.674275
5952, 0.026413, 1.676744
5984, 0.025869, 1.676648
6016, 0.034599, 1.675466
6048, 0.025148, 1.677495
6080, 0.029148, 1.673457
6112, 0.025513, 1.677212
6144, 0.027223, 1.675934
6176, 0.029844, 1.674399
6208, 0.027602, 1.671241
6240, 0.025216, 1.678069
6272, 0.029478, 1.674003
6304, 0.028875, 1.674754
6336, 0.024576, 1.676347
6368, 0.023561, 1.677066
6400, 0.026019, 1.682394
6432, 0.029044, 1.675510
6464, 0.023415, 1.684829
6496, 0.028234, 1.676524
6528, 0.025576, 1.677504
6560, 0.024485, 1.679602
6592, 0.025353, 1.684808
6624, 0.025937, 1.679482
6656, 0.025038, 1.679044
6688, 0.025837, 1.675267
6720, 0.026125, 1.679793
6752, 0.026575, 1.679225
6784, 0.033354, 1.679342
6816, 0.025479, 1.678041
6848, 0.026319, 1.676228
6880, 0.024077, 1.680544
6912, 0.023218, 1.684026
6944, 0.025129, 1.677522
6976, 0.023385, 1.676914
7008, 0.022593, 1.677711
7040, 0.022945, 1.683092
7072, 0.023946, 1.678990
7104, 0.025713, 1.678322
7136, 0.025318, 1.683102
7168, 0.025751, 1.678223
7200, 0.023262, 1.678166
7232, 0.025125, 1.680245
7264, 0.025587, 1.682506
7296, 0.022581, 1.683440
7328, 0.023849, 1.679930
7360, 0.022878, 1.680449
7392, 0.024483, 1.681005
7424, 0.022798, 1.680703
7456, 0.025344, 1.676160
7488, 0.021796, 1.686182
7520, 0.023700, 1.687042
7552, 0.023336, 1.684160
7584, 0.022937, 1.679792
7616, 0.022848, 1.681994
7648, 0.021607, 1.680793
7680, 0.023745, 1.681192
7712, 0.027312, 1.674050
7744, 0.024012, 1.684352
7776, 0.024959, 1.680923
7808, 0.023522, 1.682700
7840, 0.022387, 1.674289
7872, 0.022381, 1.677849
7904, 0.020830, 1.679007
