tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 155, 1, 0.987500, 1, 100, 0.000000
32, 155, 1, 0.987500, 1, 100, 0.000000
64, 155, 1, 0.987500, 1, 100, 0.000000
96, 155, 1, 0.987500, 1, 100, 0.000000
128, 155, 1, 0.987500, 1, 100, 0.000000
160, 155, 1, 0.987500, 1, 100, 0.000000
192, 155, 1, 0.987500, 1, 100, 0.000000
224, 155, 1, 0.987500, 1, 100, 0.000000
256, 155, 1, 0.987500, 1, 100, 0.000000
288, 155, 1, 0.987500, 1, 100, 0.000000
320, 155, 1, 0.987500, 1, 100, 0.000000
352, 155, 1, 0.987500, 1, 100, 0.000000
384, 155, 1, 0.987500, 1, 100, 0.000000
416, 155, 1, 0.987500, 1, 100, 0.000000
448, 155, 1, 0.987500, 1, 100, 0.000000
480, 155, 1, 0.987500, 1, 100, 0.000000
512, 155, 1, 0.987500, 1, 100, 0.000000
544, 155, 1, 0.987500, 1, 100, 0.000000
576, 155, 1, 0.987500, 1, 100, 0.000000
608, 155, 1, 0.987500, 1, 100, 0.000000
640, 155, 1, 0.987500, 1, 100, 0.000000
672, 155, 1, 0.987500, 1, 100, 0.000000
704, 155, 1, 0.987500, 1, 100, 0.000000
736, 155, 1, 0.987500, 1, 100, 0.000000
768, 155, 1, 0.987500, 1, 100, 0.000000
800, 155, 1, 0.987500, 1, 100, 0.000000
832, 155, 1, 0.987500, 1, 100, 0.000000
864, 155, 1, 0.987500, 1, 100, 0.000000
896, 155, 1, 0.987500, 1, 100, 0.000000
928, 155, 1, 0.987500, 1, 100, 0.000000
960, 155, 1, 0.987500, 1, 100, 0.000000
992, 155, 1, 0.987500, 1, 100, 0.000000
1024, 155, 1, 0.987500, 1, 100, 0.000000
1056, 155, 1, 0.987500, 1, 100, 0.000000
1088, 155, 1, 0.987500, 1, 100, 0.000000
1120, 155, 1, 0.987500, 1, 100, 0.000000
1152, 155, 1, 0.987500, 1, 100, 0.000000
1184, 155, 1, 0.987500, 1, 100, 0.000000
1216, 155, 1, 0.987500, 1, 100, 0.000000
1248, 155, 1, 0.987500, 1, 100, 0.000000
1280, 155, 1, 0.987500, 1, 100, 0.000000
1312, 155, 1, 0.987500, 1, 100, 0.000000
1344, 155, 1, 0.987500, 1, 100, 0.000000
1376, 155, 1, 0.987500, 1, 100, 0.000000
1408, 155, 1, 0.987500, 1, 100, 0.000000
1440, 155, 1, 0.987500, 1, 100, 0.000000
1472, 155, 1, 0.987500, 1, 100, 0.000000
1504, 155, 1, 0.987500, 1, 100, 0.000000
1536, 155, 1, 0.987500, 1, 100, 0.000000
1568, 155, 1, 0.987500, 1, 100, 0.000000
1600, 155, 1, 0.987500, 1, 100, 0.000000
1632, 155, 1, 0.987500, 1, 100, 0.000000
1664, 155, 1, 0.987500, 1, 100, 0.000000
1696, 155, 1, 0.987500, 1, 100, 0.000000
1728, 155, 1, 0.987500, 1, 100, 0.000000
1760, 155, 1, 0.987500, 1, 100, 0.000000
1792, 155, 1, 0.987500, 1, 100, 0.000000
1824, 155, 1, 0.987500, 1, 100, 0.000000
1856, 155, 1, 0.987500, 1, 100, 0.000000
1888, 155, 1, 0.987500, 1, 100, 0.000000
1920, 155, 1, 0.987500, 1, 100, 0.000000
1952, 155, 1, 0.987500, 1, 100, 0.000000
1984, 155, 1, 0.987500, 1, 100, 0.000000
2016, 155, 1, 0.987500, 1, 100, 0.000000
2048, 155, 1, 0.987500, 1, 100, 0.000000
2080, 155, 1, 0.987500, 1, 100, 0.000000
2112, 155, 1, 0.987500, 1, 100, 0.000000
2144, 155, 1, 0.987500, 1, 100, 0.000000
2176, 155, 1, 0.987500, 1, 100, 0.000000
2208, 155, 1, 0.987500, 1, 100, 0.000000
2240, 155, 1, 0.987500, 1, 100, 0.000000
2272, 155, 1, 0.987500, 1, 100, 0.000000
2304, 155, 1, 0.987500, 1, 100, 0.000000
2336, 155, 1, 0.987500, 1, 100, 0.000000
2368, 155, 1, 0.987500, 1, 100, 0.000000
2400, 155, 1, 0.987500, 1, 100, 0.000000
2432, 155, 1, 0.987500, 1, 100, 0.000000
2464, 155, 1, 0.987500, 1, 100, 0.000000
2496, 155, 1, 0.987500, 1, 100, 0.000000
2528, 155, 1, 0.987500, 1, 100, 0.000000
2560, 155, 1, 0.987500, 1, 100, 0.000000
2592, 155, 1, 0.987500, 1, 100, 0.000000
2624, 155, 1, 0.987500, 1, 100, 0.000000
2656, 155, 1, 0.987500, 1, 100, 0.000000
2688, 155, 1, 0.987500, 1, 100, 0.000000
2720, 155, 1, 0.987500, 1, 100, 0.000000
2752, 155, 1, 0.987500, 1, 100, 0.000000
2784, 155, 1, 0.987500, 1, 100, 0.000000
2816, 155, 1, 0.987500, 1, 100, 0.000000
2848, 155, 1, 0.987500, 1, 100, 0.000000
2880, 155, 1, 0.987500, 1, 100, 0.000000
2912, 155, 1, 0.987500, 1, 100, 0.000000
2944, 155, 1, 0.987500, 1, 100, 0.000000
2976, 155, 1, 0.987500, 1, 100, 0.000000
3008, 155, 1, 0.987500, 1, 100, 0.000000
3040, 155, 1, 0.987500, 1, 100, 0.000000
3072, 155, 1, 0.987500, 1, 100, 0.000000
3104, 155, 1, 0.987500, 1, 100, 0.000000
3136, 155, 1, 0.987500, 1, 100, 0.000000
3168, 155, 1, 0.987500, 1, 100, 0.000000
3200, 155, 1, 0.987500, 1, 100, 0.000000
3232, 155, 1, 0.987500, 1, 100, 0.000000
3264, 155, 1, 0.987500, 1, 100, 0.000000
3296, 155, 1, 0.987500, 1, 100, 0.000000
3328, 155, 1, 0.987500, 1, 100, 0.000000
3360, 155, 1, 0.987500, 1, 100, 0.000000
3392, 155, 1, 0.987500, 1, 100, 0.000000
3424, 155, 1, 0.987500, 1, 100, 0.000000
3456, 155, 1, 0.987500, 1, 100, 0.000000
3488, 155, 1, 0.987500, 1, 100, 0.000000
3520, 155, 1, 0.987500, 1, 100, 0.000000
3552, 155, 1, 0.987500, 1, 100, 0.000000
3584, 155, 1, 0.987500, 1, 100, 0.000000
3616, 155, 1, 0.987500, 1, 100, 0.000000
3648, 155, 1, 0.987500, 1, 100, 0.000000
3680, 155, 1, 0.987500, 1, 100, 0.000000
