tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 155, 50, 0.987500, 1, 100, 2.193131
32, 155, 50, 0.987500, 1, 100, 2.194582
64, 155, 50, 0.987500, 1, 100, 2.189470
96, 155, 50, 0.987500, 1, 100, 2.192301
128, 155, 50, 0.987500, 1, 100, 2.191085
160, 155, 50, 0.987500, 1, 100, 2.182019
192, 155, 50, 0.987500, 1, 100, 2.188115
224, 155, 50, 0.987500, 1, 100, 2.190470
256, 155, 50, 0.987500, 1, 100, 2.176669
288, 155, 50, 0.987500, 1, 100, 2.135721
320, 155, 50, 0.987500, 1, 100, 2.133280
352, 155, 50, 0.987500, 1, 100, 2.129890
384, 155, 50, 0.987500, 1, 100, 2.138000
416, 155, 50, 0.987500, 1, 100, 2.086272
448, 155, 50, 0.987500, 1, 100, 2.087517
480, 155, 50, 0.987500, 1, 100, 2.091545
512, 155, 50, 0.987500, 1, 100, 2.090220
544, 155, 50, 0.987500, 1, 100, 2.048269
576, 155, 50, 0.987500, 1, 100, 2.050767
608, 155, 50, 0.987500, 1, 100, 2.048548
640, 155, 50, 0.987500, 1, 100, 2.048520
672, 155, 50, 0.987500, 1, 100, 2.017467
704, 155, 50, 0.987500, 1, 100, 2.008251
736, 155, 50, 0.987500, 1, 100, 2.010538
768, 155, 50, 0.987500, 1, 100, 2.011374
800, 155, 50, 0.987500, 1, 100, 1.989707
832, 155, 50, 0.987500, 1, 100, 1.977067
864, 155, 50, 0.987500, 1, 100, 1.976212
896, 155, 50, 0.987500, 1, 100, 1.990087
928, 155, 50, 0.987500, 1, 100, 1.957704
960, 155, 50, 0.987500, 1, 100, 1.956755
992, 155, 50, 0.987500, 1, 100, 1.959800
1024, 155, 50, 0.987500, 1, 100, 1.953894
1056, 155, 50, 0.987500, 1, 100, 1.940458
1088, 155, 50, 0.987500, 1, 100, 1.937023
1120, 155, 50, 0.987500, 1, 100, 1.929959
1152, 155, 50, 0.987500, 1, 100, 1.927476
1184, 155, 50, 0.987500, 1, 100, 1.925900
1216, 155, 50, 0.987500, 1, 100, 1.914738
1248, 155, 50, 0.987500, 1, 100, 1.913463
1280, 155, 50, 0.987500, 1, 100, 1.911315
1312, 155, 50, 0.987500, 1, 100, 1.904097
1344, 155, 50, 0.987500, 1, 100, 1.895301
1376, 155, 50, 0.987500, 1, 100, 1.899265
1408, 155, 50, 0.987500, 1, 100, 1.893283
