tau,regular_loss,naughty_loss
0, 2.193097, 0.000035
32, 2.194536, 0.000046
64, 2.189436, 0.000034
96, 2.192258, 0.000043
128, 2.191048, 0.000037
160, 2.146254, 0.035765
192, 2.152297, 0.035818
224, 2.154117, 0.036353
256, 2.140924, 0.035745
288, 1.932148, 0.203574
320, 1.931845, 0.201435
352, 1.928602, 0.201288
384, 1.936535, 0.201465
416, 1.734549, 0.351724
448, 1.735437, 0.352081
480, 1.740819, 0.350726
512, 1.740093, 0.350127
544, 1.552089, 0.496180
576, 1.553849, 0.496918
608, 1.552742, 0.495805
640, 1.553573, 0.494947
672, 1.397633, 0.619834
704, 1.386455, 0.621796
736, 1.385038, 0.625500
768, 1.385791, 0.625583
800, 1.270498, 0.719209
832, 1.250285, 0.726782
864, 1.250543, 0.725669
896, 1.259855, 0.730232
928, 1.154644, 0.803060
960, 1.145305, 0.811450
992, 1.142972, 0.816828
1024, 1.127177, 0.826717
1056, 1.062462, 0.877996
1088, 1.046024, 0.890999
1120, 1.046268, 0.883692
1152, 1.030782, 0.896694
1184, 0.997196, 0.928704
1216, 0.968391, 0.946347
1248, 0.961883, 0.951579
1280, 0.946714, 0.964602
1312, 0.909375, 0.994723
1344, 0.878615, 1.016686
1376, 0.880571, 1.018694
1408, 0.866296, 1.026987
1440, 0.837705, 1.047602
1472, 0.772330, 1.098803
1504, 0.710678, 1.145528
1536, 0.741691, 1.122539
1568, 0.644659, 1.198563
1600, 0.648339, 1.188707
1632, 0.661055, 1.180756
1664, 0.628134, 1.211263
1696, 0.499963, 1.310225
1728, 0.497501, 1.310292
1760, 0.419955, 1.377501
1792, 0.410778, 1.380296
1824, 0.372919, 1.411605
1856, 0.330938, 1.441942
1888, 0.325929, 1.446881
1920, 0.323433, 1.445401
1952, 0.319589, 1.452800
1984, 0.315046, 1.457372
2016, 0.306939, 1.457817
2048, 0.306364, 1.463065
2080, 0.300947, 1.467282
2112, 0.297621, 1.473548
2144, 0.290258, 1.477284
2176, 0.288182, 1.472000
2208, 0.286145, 1.479738
2240, 0.279871, 1.480885
2272, 0.276584, 1.486092
2304, 0.276039, 1.487120
2336, 0.270271, 1.486817
2368, 0.265613, 1.493370
2400, 0.263833, 1.492171
2432, 0.262356, 1.496253
2464, 0.256701, 1.499033
2496, 0.251236, 1.500624
2528, 0.250359, 1.506537
2560, 0.250966, 1.504963
2592, 0.247187, 1.505948
2624, 0.244364, 1.507522
2656, 0.239660, 1.508870
2688, 0.239680, 1.513434
2720, 0.234458, 1.515750
2752, 0.233187, 1.518590
2784, 0.229567, 1.516838
2816, 0.227298, 1.519129
2848, 0.226793, 1.527053
2880, 0.223771, 1.527743
2912, 0.220438, 1.530865
2944, 0.218800, 1.528172
2976, 0.218173, 1.529498
3008, 0.214779, 1.530333
