tau,naughty_mean,naughty_tenant_number,state_r,upper_queue_buffer,link_queue_buffer,average_loss
0, 150, 50, 0.987500, 1, 100, 0.000000
32, 150, 50, 0.987500, 1, 100, 0.000000
64, 150, 50, 0.987500, 1, 100, 0.000000
96, 150, 50, 0.987500, 1, 100, 0.000000
128, 150, 50, 0.987500, 1, 100, 0.000000
160, 150, 50, 0.987500, 1, 100, 0.000000
192, 150, 50, 0.987500, 1, 100, 0.000000
224, 150, 50, 0.987500, 1, 100, 0.000000
256, 150, 50, 0.987500, 1, 100, 0.000000
288, 150, 50, 0.987500, 1, 100, 0.000000
320, 150, 50, 0.987500, 1, 100, 0.000000
352, 150, 50, 0.987500, 1, 100, 0.000000
384, 150, 50, 0.987500, 1, 100, 0.000000
416, 150, 50, 0.987500, 1, 100, 0.000000
448, 150, 50, 0.987500, 1, 100, 0.000000
480, 150, 50, 0.987500, 1, 100, 0.000000
512, 150, 50, 0.987500, 1, 100, 0.000000
544, 150, 50, 0.987500, 1, 100, 0.000000
576, 150, 50, 0.987500, 1, 100, 0.000000
608, 150, 50, 0.987500, 1, 100, 0.000000
640, 150, 50, 0.987500, 1, 100, 0.000000
672, 150, 50, 0.987500, 1, 100, 0.000000
704, 150, 50, 0.987500, 1, 100, 0.000000
736, 150, 50, 0.987500, 1, 100, 0.000000
768, 150, 50, 0.987500, 1, 100, 0.000000
800, 150, 50, 0.987500, 1, 100, 0.000000
832, 150, 50, 0.987500, 1, 100, 0.000000
864, 150, 50, 0.987500, 1, 100, 0.000000
896, 150, 50, 0.987500, 1, 100, 0.000000
928, 150, 50, 0.987500, 1, 100, 0.000000
960, 150, 50, 0.987500, 1, 100, 0.000000
992, 150, 50, 0.987500, 1, 100, 0.000000
1024, 150, 50, 0.987500, 1, 100, 0.000000
1056, 150, 50, 0.987500, 1, 100, 0.000000
1088, 150, 50, 0.987500, 1, 100, 0.000000
1120, 150, 50, 0.987500, 1, 100, 0.000000
1152, 150, 50, 0.987500, 1, 100, 0.000000
1184, 150, 50, 0.987500, 1, 100, 0.000000
1216, 150, 50, 0.987500, 1, 100, 0.000000
1248, 150, 50, 0.987500, 1, 100, 0.000000
1280, 150, 50, 0.987500, 1, 100, 0.000000
1312, 150, 50, 0.987500, 1, 100, 0.000000
1344, 150, 50, 0.987500, 1, 100, 0.000000
1376, 150, 50, 0.987500, 1, 100, 0.000000
1408, 150, 50, 0.987500, 1, 100, 0.000000
1440, 150, 50, 0.987500, 1, 100, 0.000000
1472, 150, 50, 0.987500, 1, 100, 0.000000
1504, 150, 50, 0.987500, 1, 100, 0.000000
1536, 150, 50, 0.987500, 1, 100, 0.000000
1568, 150, 50, 0.987500, 1, 100, 0.000000
1600, 150, 50, 0.987500, 1, 100, 0.000000
1632, 150, 50, 0.987500, 1, 100, 0.000000
1664, 150, 50, 0.987500, 1, 100, 0.000000
1696, 150, 50, 0.987500, 1, 100, 0.000000
1728, 150, 50, 0.987500, 1, 100, 0.000000
1760, 150, 50, 0.987500, 1, 100, 0.000000
1792, 150, 50, 0.987500, 1, 100, 0.000000
1824, 150, 50, 0.987500, 1, 100, 0.000000
1856, 150, 50, 0.987500, 1, 100, 0.000000
1888, 150, 50, 0.987500, 1, 100, 0.000000
1920, 150, 50, 0.987500, 1, 100, 0.000000
1952, 150, 50, 0.987500, 1, 100, 0.000000
1984, 150, 50, 0.987500, 1, 100, 0.000000
2016, 150, 50, 0.987500, 1, 100, 0.000000
2048, 150, 50, 0.987500, 1, 100, 0.000000
2080, 150, 50, 0.987500, 1, 100, 0.000000
2112, 150, 50, 0.987500, 1, 100, 0.000000
2144, 150, 50, 0.987500, 1, 100, 0.000000
2176, 150, 50, 0.987500, 1, 100, 0.000000
2208, 150, 50, 0.987500, 1, 100, 0.000000
2240, 150, 50, 0.987500, 1, 100, 0.000000
2272, 150, 50, 0.987500, 1, 100, 0.000000
2304, 150, 50, 0.987500, 1, 100, 0.000000
2336, 150, 50, 0.987500, 1, 100, 0.000000
2368, 150, 50, 0.987500, 1, 100, 0.000000
2400, 150, 50, 0.987500, 1, 100, 0.000000
2432, 150, 50, 0.987500, 1, 100, 0.000000
2464, 150, 50, 0.987500, 1, 100, 0.000000
2496, 150, 50, 0.987500, 1, 100, 0.000000
2528, 150, 50, 0.987500, 1, 100, 0.000000
2560, 150, 50, 0.987500, 1, 100, 0.000000
2592, 150, 50, 0.987500, 1, 100, 0.000000
2624, 150, 50, 0.987500, 1, 100, 0.000000
2656, 150, 50, 0.987500, 1, 100, 0.000000
2688, 150, 50, 0.987500, 1, 100, 0.000000
2720, 150, 50, 0.987500, 1, 100, 0.000000
2752, 150, 50, 0.987500, 1, 100, 0.000000
2784, 150, 50, 0.987500, 1, 100, 0.000000
2816, 150, 50, 0.987500, 1, 100, 0.000000
2848, 150, 50, 0.987500, 1, 100, 0.000000
2880, 150, 50, 0.987500, 1, 100, 0.000000
2912, 150, 50, 0.987500, 1, 100, 0.000000
2944, 150, 50, 0.987500, 1, 100, 0.000000
2976, 150, 50, 0.987500, 1, 100, 0.000000
3008, 150, 50, 0.987500, 1, 100, 0.000000
3040, 150, 50, 0.987500, 1, 100, 0.000000
3072, 150, 50, 0.987500, 1, 100, 0.000000
3104, 150, 50, 0.987500, 1, 100, 0.000000
3136, 150, 50, 0.987500, 1, 100, 0.000000
3168, 150, 50, 0.987500, 1, 100, 0.000000
3200, 150, 50, 0.987500, 1, 100, 0.000000
3232, 150, 50, 0.987500, 1, 100, 0.000000
3264, 150, 50, 0.987500, 1, 100, 0.000000
3296, 150, 50, 0.987500, 1, 100, 0.000000
3328, 150, 50, 0.987500, 1, 100, 0.000000
3360, 150, 50, 0.987500, 1, 100, 0.000000
3392, 150, 50, 0.987500, 1, 100, 0.000000
3424, 150, 50, 0.987500, 1, 100, 0.000000
3456, 150, 50, 0.987500, 1, 100, 0.000000
3488, 150, 50, 0.987500, 1, 100, 0.000000
3520, 150, 50, 0.987500, 1, 100, 0.000000
3552, 150, 50, 0.987500, 1, 100, 0.000000
3584, 150, 50, 0.987500, 1, 100, 0.000000
3616, 150, 50, 0.987500, 1, 100, 0.000000
3648, 150, 50, 0.987500, 1, 100, 0.000000
3680, 150, 50, 0.987500, 1, 100, 0.000000
3712, 150, 50, 0.987500, 1, 100, 0.000000
3744, 150, 50, 0.987500, 1, 100, 0.000000
3776, 150, 50, 0.987500, 1, 100, 0.000000
3808, 150, 50, 0.987500, 1, 100, 0.000000
3840, 150, 50, 0.987500, 1, 100, 0.000000
3872, 150, 50, 0.987500, 1, 100, 0.000000
3904, 150, 50, 0.987500, 1, 100, 0.000000
3936, 150, 50, 0.987500, 1, 100, 0.000000
3968, 150, 50, 0.987500, 1, 100, 0.000000
4000, 150, 50, 0.987500, 1, 100, 0.000000
4032, 150, 50, 0.987500, 1, 100, 0.000000
4064, 150, 50, 0.987500, 1, 100, 0.000000
4096, 150, 50, 0.987500, 1, 100, 0.000000
4128, 150, 50, 0.987500, 1, 100, 0.000000
